<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
8555.N,D,20180205,000000,991.6,991.6,991.6,991.6,0,0
8555.N,D,20180206,000000,991.51,991.51,991.51,991.51,0,0
8555.N,D,20180207,000000,991.48,991.48,991.48,991.48,0,0
8555.N,D,20180208,000000,991.45,991.45,991.45,991.45,0,0
8555.N,D,20180209,000000,991.42,991.42,991.42,991.42,0,0
8555.N,D,20180212,000000,991.33,991.33,991.33,991.33,0,0
8555.N,D,20180213,000000,991.34,991.34,991.34,991.34,0,0
8555.N,D,20180214,000000,991.32,991.32,991.32,991.32,0,0
8555.N,D,20180215,000000,991.3,991.3,991.3,991.3,0,0
8555.N,D,20180216,000000,990.88,990.88,990.88,990.88,0,0
8555.N,D,20180219,000000,990.81,990.81,990.81,990.81,0,0
8555.N,D,20180220,000000,990.35,990.35,990.35,990.35,0,0
8555.N,D,20180221,000000,990.19,990.19,990.19,990.19,0,0
8555.N,D,20180222,000000,989.68,989.68,989.68,989.68,0,0
8555.N,D,20180223,000000,989.02,989.02,989.02,989.02,0,0
8555.N,D,20180226,000000,989.33,989.33,989.33,989.33,0,0
8555.N,D,20180227,000000,989.29,989.29,989.29,989.29,0,0
8555.N,D,20180228,000000,989.45,989.45,989.45,989.45,0,0
8555.N,D,20180301,000000,989.39,989.39,989.39,989.39,0,0
8555.N,D,20180302,000000,988.61,988.61,988.61,988.61,0,0
8555.N,D,20180305,000000,988.04,988.04,988.04,988.04,0,0
8555.N,D,20180306,000000,988.69,988.69,988.69,988.69,0,0
8555.N,D,20180307,000000,988.53,988.53,988.53,988.53,0,0
8555.N,D,20180308,000000,988.73,988.73,988.73,988.73,0,0
8555.N,D,20180309,000000,988.61,988.61,988.61,988.61,0,0
8555.N,D,20180312,000000,988.35,988.35,988.35,988.35,0,0
8555.N,D,20180313,000000,988.59,988.59,988.59,988.59,0,0
8555.N,D,20180314,000000,987.96,987.96,987.96,987.96,0,0
8555.N,D,20180315,000000,987.46,987.46,987.46,987.46,0,0
8555.N,D,20180316,000000,987.06,987.06,987.06,987.06,0,0
8555.N,D,20180319,000000,986.8,986.8,986.8,986.8,0,0
8555.N,D,20180320,000000,985.58,985.58,985.58,985.58,0,0
8555.N,D,20180321,000000,984.4,984.4,984.4,984.4,0,0
8555.N,D,20180322,000000,984.75,984.75,984.75,984.75,0,0
8555.N,D,20180323,000000,983.72,983.72,983.72,983.72,0,0
8555.N,D,20180326,000000,983.03,983.03,983.03,983.03,0,0
8555.N,D,20180327,000000,983.27,983.27,983.27,983.27,0,0
8555.N,D,20180328,000000,983.71,983.71,983.71,983.71,0,0
8555.N,D,20180329,000000,983.46,983.46,983.46,983.46,0,0
8555.N,D,20180403,000000,983.03,983.03,983.03,983.03,0,0
8555.N,D,20180404,000000,983.16,983.16,983.16,983.16,0,0
8555.N,D,20180405,000000,983.24,983.24,983.24,983.24,0,0
8555.N,D,20180406,000000,984.05,984.05,984.05,984.05,0,0
8555.N,D,20180409,000000,983.75,983.75,983.75,983.75,0,0
8555.N,D,20180410,000000,984.19,984.19,984.19,984.19,0,0
8555.N,D,20180411,000000,984.52,984.52,984.52,984.52,0,0
8555.N,D,20180412,000000,984.06,984.06,984.06,984.06,0,0
8555.N,D,20180413,000000,984.56,984.56,984.56,984.56,0,0
8555.N,D,20180416,000000,984.44,984.44,984.44,984.44,0,0
8555.N,D,20180417,000000,984.97,984.97,984.97,984.97,0,0
8555.N,D,20180418,000000,984.84,984.84,984.84,984.84,0,0
8555.N,D,20180419,000000,982.82,982.82,982.82,982.82,0,0
8555.N,D,20180420,000000,982.48,982.48,982.48,982.48,0,0
8555.N,D,20180423,000000,981.48,981.48,981.48,981.48,0,0
8555.N,D,20180424,000000,980.86,980.86,980.86,980.86,0,0
8555.N,D,20180425,000000,979.59,979.59,979.59,979.59,0,0
8555.N,D,20180426,000000,979.54,979.54,979.54,979.54,0,0
8555.N,D,20180427,000000,980.27,980.27,980.27,980.27,0,0
8555.N,D,20180430,000000,980.45,980.45,980.45,980.45,0,0
8555.N,D,20180502,000000,979.83,979.83,979.83,979.83,0,0
8555.N,D,20180504,000000,978.94,978.94,978.94,978.94,0,0
8555.N,D,20180507,000000,978.71,978.71,978.71,978.71,0,0
8555.N,D,20180508,000000,977.57,977.57,977.57,977.57,0,0
8555.N,D,20180509,000000,977.54,977.54,977.54,977.54,0,0
8555.N,D,20180510,000000,978.1,978.1,978.1,978.1,0,0
8555.N,D,20180511,000000,979.01,979.01,979.01,979.01,0,0
8555.N,D,20180514,000000,979.18,979.18,979.18,979.18,0,0
8555.N,D,20180515,000000,977.62,977.62,977.62,977.62,0,0
