<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
4160.N,D,20070927,000000,188.143,188.143,188.143,188.143,0,0
4160.N,D,20070928,000000,190.919,190.919,190.919,190.919,0,0
4160.N,D,20071001,000000,192.553,192.553,192.553,192.553,0,0
4160.N,D,20071002,000000,192.553,192.553,192.553,192.553,0,0
4160.N,D,20071003,000000,194.434,194.434,194.434,194.434,0,0
4160.N,D,20071004,000000,197.568,197.568,197.568,197.568,0,0
4160.N,D,20071005,000000,199.216,199.216,199.216,199.216,0,0
4160.N,D,20071008,000000,193.432,193.432,193.432,193.432,0,0
4160.N,D,20071009,000000,197.229,197.229,197.229,197.229,0,0
4160.N,D,20071010,000000,204.586,204.586,204.586,204.586,0,0
4160.N,D,20071011,000000,206.377,206.377,206.377,206.377,0,0
4160.N,D,20071012,000000,207.119,207.119,207.119,207.119,0,0
4160.N,D,20071015,000000,211.392,211.392,211.392,211.392,0,0
4160.N,D,20071016,000000,212.601,212.601,212.601,212.601,0,0
4160.N,D,20071017,000000,205.92,205.92,205.92,205.92,0,0
4160.N,D,20071018,000000,207.756,207.756,207.756,207.756,0,0
4160.N,D,20071019,000000,197.126,197.126,197.126,197.126,0,0
4160.N,D,20071022,000000,195.378,195.378,195.378,195.378,0,0
4160.N,D,20071023,000000,202.958,202.958,202.958,202.958,0,0
4160.N,D,20071024,000000,206.899,206.899,206.899,206.899,0,0
4160.N,D,20071025,000000,208.296,208.296,208.296,208.296,0,0
4160.N,D,20071026,000000,211.072,211.072,211.072,211.072,0,0
4160.N,D,20071029,000000,216.135,216.135,216.135,216.135,0,0
4160.N,D,20071030,000000,216.556,216.556,216.556,216.556,0,0
4160.N,D,20071031,000000,221.502,221.502,221.502,221.502,0,0
4160.N,D,20071102,000000,221.271,221.271,221.271,221.271,0,0
4160.N,D,20071105,000000,221.16,221.16,221.16,221.16,0,0
4160.N,D,20071106,000000,219.213,219.213,219.213,219.213,0,0
4160.N,D,20071107,000000,217.238,217.238,217.238,217.238,0,0
4160.N,D,20071108,000000,213.683,213.683,213.683,213.683,0,0
4160.N,D,20071109,000000,213.683,213.683,213.683,213.683,0,0
4160.N,D,20071112,000000,210.024,210.024,210.024,210.024,0,0
4160.N,D,20071113,000000,210.125,210.125,210.125,210.125,0,0
4160.N,D,20071114,000000,216.284,216.284,216.284,216.284,0,0
4160.N,D,20071115,000000,216.447,216.447,216.447,216.447,0,0
4160.N,D,20071116,000000,217.124,217.124,217.124,217.124,0,0
4160.N,D,20071119,000000,220.406,220.406,220.406,220.406,0,0
4160.N,D,20071120,000000,216.397,216.397,216.397,216.397,0,0
4160.N,D,20071121,000000,207.806,207.806,207.806,207.806,0,0
4160.N,D,20071122,000000,207.479,207.479,207.479,207.479,0,0
4160.N,D,20071123,000000,209.944,209.944,209.944,209.944,0,0
4160.N,D,20071126,000000,217.428,217.428,217.428,217.428,0,0
4160.N,D,20071127,000000,215.011,215.011,215.011,215.011,0,0
4160.N,D,20071128,000000,212.769,212.769,212.769,212.769,0,0
4160.N,D,20071129,000000,212.996,212.996,212.996,212.996,0,0
4160.N,D,20071130,000000,219.386,219.386,219.386,219.386,0,0
4160.N,D,20071203,000000,223.963,223.963,223.963,223.963,0,0
4160.N,D,20071204,000000,228.157,228.157,228.157,228.157,0,0
4160.N,D,20071205,000000,230.6,230.6,230.6,230.6,0,0
4160.N,D,20071206,000000,233.026,233.026,233.026,233.026,0,0
4160.N,D,20071207,000000,234.223,234.223,234.223,234.223,0,0
4160.N,D,20071210,000000,234.2,234.2,234.2,234.2,0,0
4160.N,D,20071211,000000,237.404,237.404,237.404,237.404,0,0
4160.N,D,20071212,000000,241.661,241.661,241.661,241.661,0,0
4160.N,D,20071213,000000,241.875,241.875,241.875,241.875,0,0
4160.N,D,20071214,000000,242.468,242.468,242.468,242.468,0,0
4160.N,D,20071217,000000,231.651,231.651,231.651,231.651,0,0
4160.N,D,20071218,000000,230.297,230.297,230.297,230.297,0,0
4160.N,D,20071219,000000,229.362,229.362,229.362,229.362,0,0
4160.N,D,20071220,000000,229.842,229.842,229.842,229.842,0,0
4160.N,D,20071221,000000,229.842,229.842,229.842,229.842,0,0
4160.N,D,20071224,000000,238.192,238.192,238.192,238.192,0,0
4160.N,D,20071227,000000,243.247,243.247,243.247,243.247,0,0
4160.N,D,20071228,000000,245.693,245.693,245.693,245.693,0,0
4160.N,D,20071231,000000,249.103,249.103,249.103,249.103,0,0
4160.N,D,20080102,000000,252.024,252.024,252.024,252.024,0,0
4160.N,D,20080103,000000,251.108,251.108,251.108,251.108,0,0
4160.N,D,20080104,000000,252.691,252.691,252.691,252.691,0,0
4160.N,D,20080107,000000,249.097,249.097,249.097,249.097,0,0
4160.N,D,20080108,000000,247.36,247.36,247.36,247.36,0,0
4160.N,D,20080109,000000,246.262,246.262,246.262,246.262,0,0
4160.N,D,20080110,000000,241.861,241.861,241.861,241.861,0,0
4160.N,D,20080111,000000,241.591,241.591,241.591,241.591,0,0
4160.N,D,20080114,000000,242.126,242.126,242.126,242.126,0,0
4160.N,D,20080115,000000,238.527,238.527,238.527,238.527,0,0
4160.N,D,20080116,000000,233.213,233.213,233.213,233.213,0,0
4160.N,D,20080117,000000,233.375,233.375,233.375,233.375,0,0
4160.N,D,20080118,000000,224.104,224.104,224.104,224.104,0,0
4160.N,D,20080121,000000,201.729,201.729,201.729,201.729,0,0
4160.N,D,20080122,000000,189.669,189.669,189.669,189.669,0,0
4160.N,D,20080123,000000,200.788,200.788,200.788,200.788,0,0
4160.N,D,20080124,000000,193.559,193.559,193.559,193.559,0,0
4160.N,D,20080125,000000,206.605,206.605,206.605,206.605,0,0
4160.N,D,20080128,000000,203.821,203.821,203.821,203.821,0,0
4160.N,D,20080129,000000,206.848,206.848,206.848,206.848,0,0
4160.N,D,20080130,000000,202.318,202.318,202.318,202.318,0,0
4160.N,D,20080131,000000,203.226,203.226,203.226,203.226,0,0
4160.N,D,20080201,000000,206.26,206.26,206.26,206.26,0,0
4160.N,D,20080204,000000,212.973,212.973,212.973,212.973,0,0
4160.N,D,20080205,000000,214.32,214.32,214.32,214.32,0,0
4160.N,D,20080206,000000,207.533,207.533,207.533,207.533,0,0
4160.N,D,20080207,000000,201.172,201.172,201.172,201.172,0,0
4160.N,D,20080208,000000,199.168,199.168,199.168,199.168,0,0
4160.N,D,20080211,000000,191.544,191.544,191.544,191.544,0,0
4160.N,D,20080212,000000,190.417,190.417,190.417,190.417,0,0
4160.N,D,20080213,000000,191.846,191.846,191.846,191.846,0,0
4160.N,D,20080214,000000,200.059,200.059,200.059,200.059,0,0
4160.N,D,20080215,000000,202.897,202.897,202.897,202.897,0,0
4160.N,D,20080218,000000,202.463,202.463,202.463,202.463,0,0
4160.N,D,20080219,000000,202.437,202.437,202.437,202.437,0,0
4160.N,D,20080220,000000,197.559,197.559,197.559,197.559,0,0
4160.N,D,20080221,000000,202.708,202.708,202.708,202.708,0,0
4160.N,D,20080222,000000,199.195,199.195,199.195,199.195,0,0
4160.N,D,20080225,000000,201.41,201.41,201.41,201.41,0,0
4160.N,D,20080226,000000,205.272,205.272,205.272,205.272,0,0
4160.N,D,20080227,000000,206.157,206.157,206.157,206.157,0,0
4160.N,D,20080228,000000,206.431,206.431,206.431,206.431,0,0
4160.N,D,20080229,000000,203.159,203.159,203.159,203.159,0,0
4160.N,D,20080303,000000,193.918,193.918,193.918,193.918,0,0
4160.N,D,20080304,000000,191.201,191.201,191.201,191.201,0,0
4160.N,D,20080305,000000,191.62,191.62,191.62,191.62,0,0
4160.N,D,20080306,000000,191.62,191.62,191.62,191.62,0,0
4160.N,D,20080307,000000,184.745,184.745,184.745,184.745,0,0
4160.N,D,20080310,000000,183.629,183.629,183.629,183.629,0,0
4160.N,D,20080311,000000,188.556,188.556,188.556,188.556,0,0
4160.N,D,20080312,000000,191.939,191.939,191.939,191.939,0,0
4160.N,D,20080313,000000,179.577,179.577,179.577,179.577,0,0
4160.N,D,20080314,000000,181.035,181.035,181.035,181.035,0,0
4160.N,D,20080317,000000,173.149,173.149,173.149,173.149,0,0
4160.N,D,20080318,000000,171.959,171.959,171.959,171.959,0,0
4160.N,D,20080319,000000,172.33,172.33,172.33,172.33,0,0
4160.N,D,20080320,000000,172.33,172.33,172.33,172.33,0,0
4160.N,D,20080325,000000,179.941,179.941,179.941,179.941,0,0
4160.N,D,20080326,000000,179.601,179.601,179.601,179.601,0,0
4160.N,D,20080327,000000,179.683,179.683,179.683,179.683,0,0
4160.N,D,20080328,000000,188.068,188.068,188.068,188.068,0,0
4160.N,D,20080331,000000,182.741,182.741,182.741,182.741,0,0
4160.N,D,20080401,000000,181.671,181.671,181.671,181.671,0,0
4160.N,D,20080402,000000,181.345,181.345,181.345,181.345,0,0
4160.N,D,20080403,000000,180.8,180.8,180.8,180.8,0,0
4160.N,D,20080404,000000,178.675,178.675,178.675,178.675,0,0
4160.N,D,20080407,000000,181.548,181.548,181.548,181.548,0,0
4160.N,D,20080408,000000,179.751,179.751,179.751,179.751,0,0
4160.N,D,20080409,000000,179.045,179.045,179.045,179.045,0,0
4160.N,D,20080410,000000,181.179,181.179,181.179,181.179,0,0
4160.N,D,20080411,000000,182.024,182.024,182.024,182.024,0,0
4160.N,D,20080414,000000,182.024,182.024,182.024,182.024,0,0
4160.N,D,20080415,000000,184.616,184.616,184.616,184.616,0,0
4160.N,D,20080416,000000,188.282,188.282,188.282,188.282,0,0
4160.N,D,20080417,000000,191.761,191.761,191.761,191.761,0,0
4160.N,D,20080418,000000,191.761,191.761,191.761,191.761,0,0
4160.N,D,20080421,000000,194.93,194.93,194.93,194.93,0,0
4160.N,D,20080422,000000,194.828,194.828,194.828,194.828,0,0
4160.N,D,20080423,000000,195.65,195.65,195.65,195.65,0,0
4160.N,D,20080424,000000,194.574,194.574,194.574,194.574,0,0
4160.N,D,20080425,000000,194.664,194.664,194.664,194.664,0,0
4160.N,D,20080428,000000,196.62,196.62,196.62,196.62,0,0
4160.N,D,20080429,000000,199.692,199.692,199.692,199.692,0,0
4160.N,D,20080430,000000,199.725,199.725,199.725,199.725,0,0
4160.N,D,20080502,000000,201.317,201.317,201.317,201.317,0,0
4160.N,D,20080505,000000,202.695,202.695,202.695,202.695,0,0
4160.N,D,20080506,000000,199.422,199.422,199.422,199.422,0,0
4160.N,D,20080507,000000,198.614,198.614,198.614,198.614,0,0
4160.N,D,20080508,000000,194.799,194.799,194.799,194.799,0,0
4160.N,D,20080509,000000,195.204,195.204,195.204,195.204,0,0
4160.N,D,20080512,000000,195.204,195.204,195.204,195.204,0,0
4160.N,D,20080513,000000,192.769,192.769,192.769,192.769,0,0
4160.N,D,20080514,000000,193.032,193.032,193.032,193.032,0,0
4160.N,D,20080515,000000,195.327,195.327,195.327,195.327,0,0
4160.N,D,20080516,000000,197.302,197.302,197.302,197.302,0,0
4160.N,D,20080519,000000,197.302,197.302,197.302,197.302,0,0
4160.N,D,20080520,000000,196.41,196.41,196.41,196.41,0,0
4160.N,D,20080521,000000,198.63,198.63,198.63,198.63,0,0
4160.N,D,20080522,000000,194.234,194.234,194.234,194.234,0,0
4160.N,D,20080523,000000,193.183,193.183,193.183,193.183,0,0
4160.N,D,20080526,000000,190.51,190.51,190.51,190.51,0,0
4160.N,D,20080527,000000,188.729,188.729,188.729,188.729,0,0
4160.N,D,20080528,000000,188.935,188.935,188.935,188.935,0,0
4160.N,D,20080529,000000,192.367,192.367,192.367,192.367,0,0
4160.N,D,20080530,000000,191.578,191.578,191.578,191.578,0,0
4160.N,D,20080602,000000,191.151,191.151,191.151,191.151,0,0
4160.N,D,20080603,000000,186.371,186.371,186.371,186.371,0,0
4160.N,D,20080604,000000,181.982,181.982,181.982,181.982,0,0
4160.N,D,20080605,000000,181.625,181.625,181.625,181.625,0,0
4160.N,D,20080606,000000,184.335,184.335,184.335,184.335,0,0
4160.N,D,20080609,000000,178.882,178.882,178.882,178.882,0,0
4160.N,D,20080610,000000,175.505,175.505,175.505,175.505,0,0
4160.N,D,20080611,000000,177.365,177.365,177.365,177.365,0,0
4160.N,D,20080612,000000,178.679,178.679,178.679,178.679,0,0
4160.N,D,20080613,000000,178.314,178.314,178.314,178.314,0,0
4160.N,D,20080616,000000,179.506,179.506,179.506,179.506,0,0
4160.N,D,20080617,000000,181.581,181.581,181.581,181.581,0,0
4160.N,D,20080618,000000,179.324,179.324,179.324,179.324,0,0
