<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
2774.N,D,20160122,000000,111.22,111.22,111.22,111.22,0,0
2774.N,D,20160125,000000,110.98,110.98,110.98,110.98,0,0
2774.N,D,20160126,000000,111.39,111.39,111.39,111.39,0,0
2774.N,D,20160127,000000,111.28,111.28,111.28,111.28,0,0
2774.N,D,20160128,000000,111.26,111.26,111.26,111.26,0,0
2774.N,D,20160129,000000,112.75,112.75,112.75,112.75,0,0
2774.N,D,20160201,000000,112.24,112.24,112.24,112.24,0,0
2774.N,D,20160202,000000,111.99,111.99,111.99,111.99,0,0
2774.N,D,20160203,000000,111.95,111.95,111.95,111.95,0,0
2774.N,D,20160204,000000,111.44,111.44,111.44,111.44,0,0
2774.N,D,20160205,000000,110.73,110.73,110.73,110.73,0,0
2774.N,D,20160208,000000,110.39,110.39,110.39,110.39,0,0
2774.N,D,20160209,000000,109.74,109.74,109.74,109.74,0,0
2774.N,D,20160210,000000,109.94,109.94,109.94,109.94,0,0
2774.N,D,20160211,000000,109.7,109.7,109.7,109.7,0,0
2774.N,D,20160212,000000,109.56,109.56,109.56,109.56,0,0
2774.N,D,20160215,000000,110.29,110.29,110.29,110.29,0,0
2774.N,D,20160216,000000,110.4,110.4,110.4,110.4,0,0
2774.N,D,20160217,000000,110.71,110.71,110.71,110.71,0,0
2774.N,D,20160218,000000,111.07,111.07,111.07,111.07,0,0
2774.N,D,20160219,000000,111.03,111.03,111.03,111.03,0,0
2774.N,D,20160222,000000,111.55,111.55,111.55,111.55,0,0
2774.N,D,20160223,000000,111.3,111.3,111.3,111.3,0,0
2774.N,D,20160224,000000,111.21,111.21,111.21,111.21,0,0
2774.N,D,20160225,000000,111.74,111.74,111.74,111.74,0,0
2774.N,D,20160226,000000,111.88,111.88,111.88,111.88,0,0
2774.N,D,20160229,000000,111.99,111.99,111.99,111.99,0,0
2774.N,D,20160301,000000,112.46,112.46,112.46,112.46,0,0
2774.N,D,20160302,000000,112.6,112.6,112.6,112.6,0,0
2774.N,D,20160303,000000,112.57,112.57,112.57,112.57,0,0
2774.N,D,20160304,000000,112.56,112.56,112.56,112.56,0,0
2774.N,D,20160307,000000,112.52,112.52,112.52,112.52,0,0
2774.N,D,20160308,000000,112.31,112.31,112.31,112.31,0,0
2774.N,D,20160309,000000,112.23,112.23,112.23,112.23,0,0
2774.N,D,20160310,000000,111.93,111.93,111.93,111.93,0,0
2774.N,D,20160311,000000,112.52,112.52,112.52,112.52,0,0
2774.N,D,20160314,000000,112.61,112.61,112.61,112.61,0,0
2774.N,D,20160315,000000,112.42,112.42,112.42,112.42,0,0
2774.N,D,20160316,000000,112.6,112.6,112.6,112.6,0,0
2774.N,D,20160317,000000,113,113,113,113,0,0
2774.N,D,20160318,000000,113.02,113.02,113.02,113.02,0,0
2774.N,D,20160321,000000,113,113,113,113,0,0
2774.N,D,20160322,000000,113.02,113.02,113.02,113.02,0,0
2774.N,D,20160323,000000,112.93,112.93,112.93,112.93,0,0
2774.N,D,20160324,000000,112.69,112.69,112.69,112.69,0,0
2774.N,D,20160329,000000,113.02,113.02,113.02,113.02,0,0
2774.N,D,20160330,000000,113.18,113.18,113.18,113.18,0,0
2774.N,D,20160331,000000,113.17,113.17,113.17,113.17,0,0
2774.N,D,20160401,000000,113.12,113.12,113.12,113.12,0,0
2774.N,D,20160404,000000,113.14,113.14,113.14,113.14,0,0
2774.N,D,20160405,000000,112.8,112.8,112.8,112.8,0,0
2774.N,D,20160406,000000,113.07,113.07,113.07,113.07,0,0
2774.N,D,20160407,000000,112.85,112.85,112.85,112.85,0,0
2774.N,D,20160408,000000,113.08,113.08,113.08,113.08,0,0
2774.N,D,20160411,000000,112.98,112.98,112.98,112.98,0,0
2774.N,D,20160412,000000,113.14,113.14,113.14,113.14,0,0
2774.N,D,20160413,000000,113.61,113.61,113.61,113.61,0,0
2774.N,D,20160414,000000,113.58,113.58,113.58,113.58,0,0
2774.N,D,20160415,000000,113.53,113.53,113.53,113.53,0,0
2774.N,D,20160418,000000,113.62,113.62,113.62,113.62,0,0
2774.N,D,20160419,000000,113.65,113.65,113.65,113.65,0,0
2774.N,D,20160420,000000,113.75,113.75,113.75,113.75,0,0
2774.N,D,20160421,000000,113.52,113.52,113.52,113.52,0,0
2774.N,D,20160422,000000,113.49,113.49,113.49,113.49,0,0
2774.N,D,20160425,000000,113.47,113.47,113.47,113.47,0,0
2774.N,D,20160426,000000,113.33,113.33,113.33,113.33,0,0
2774.N,D,20160427,000000,113.42,113.42,113.42,113.42,0,0
2774.N,D,20160428,000000,113.52,113.52,113.52,113.52,0,0
2774.N,D,20160429,000000,113.11,113.11,113.11,113.11,0,0
2774.N,D,20160502,000000,113.05,113.05,113.05,113.05,0,0
2774.N,D,20160504,000000,112.74,112.74,112.74,112.74,0,0
2774.N,D,20160505,000000,112.92,112.92,112.92,112.92,0,0
2774.N,D,20160506,000000,112.95,112.95,112.95,112.95,0,0
2774.N,D,20160509,000000,113.06,113.06,113.06,113.06,0,0
2774.N,D,20160510,000000,113.44,113.44,113.44,113.44,0,0
2774.N,D,20160511,000000,113.21,113.21,113.21,113.21,0,0
2774.N,D,20160512,000000,113.13,113.13,113.13,113.13,0,0
2774.N,D,20160513,000000,113.21,113.21,113.21,113.21,0,0
2774.N,D,20160516,000000,113.37,113.37,113.37,113.37,0,0
2774.N,D,20160517,000000,113.3,113.3,113.3,113.3,0,0
2774.N,D,20160518,000000,113.23,113.23,113.23,113.23,0,0
2774.N,D,20160519,000000,112.92,112.92,112.92,112.92,0,0
2774.N,D,20160520,000000,113.21,113.21,113.21,113.21,0,0
2774.N,D,20160523,000000,113.21,113.21,113.21,113.21,0,0
2774.N,D,20160524,000000,113.62,113.62,113.62,113.62,0,0
2774.N,D,20160525,000000,113.79,113.79,113.79,113.79,0,0
2774.N,D,20160527,000000,114.01,114.01,114.01,114.01,0,0
2774.N,D,20160530,000000,114.04,114.04,114.04,114.04,0,0
2774.N,D,20160531,000000,114.02,114.02,114.02,114.02,0,0
2774.N,D,20160601,000000,113.91,113.91,113.91,113.91,0,0
2774.N,D,20160602,000000,113.97,113.97,113.97,113.97,0,0
2774.N,D,20160603,000000,113.87,113.87,113.87,113.87,0,0
2774.N,D,20160606,000000,113.99,113.99,113.99,113.99,0,0
2774.N,D,20160607,000000,114.22,114.22,114.22,114.22,0,0
2774.N,D,20160608,000000,114.4,114.4,114.4,114.4,0,0
