<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
7FT_MV,D,20120604,000000,4.7731,4.7731,4.7731,4.7731,0,0
7FT_MV,D,20120605,000000,5.6828,5.6828,3.7559,3.7559,0,0
7FT_MV,D,20120606,000000,4.1178,4.1178,3.3353,3.3353,0,0
7FT_MV,D,20120608,000000,3.1593,4.5384,3.1593,4.5384,0,0
7FT_MV,D,20120611,000000,5.1546,6.1718,5.1546,6.1034,0,0
7FT_MV,D,20120612,000000,7.2771,8.7345,5.8686,8.7345,0,0
7FT_MV,D,20120613,000000,10.466,12.451,8.3823,10.045,0,0
7FT_MV,D,20120614,000000,12.04,12.04,9.468,12.04,0,0
7FT_MV,D,20120615,000000,14.359,16.99,11.591,16.99,0,0
7FT_MV,D,20120618,000000,20.511,20.746,16.833,20.746,0,0
7FT_MV,D,20120619,000000,21.039,21.636,16.833,20.687,0,0
7FT_MV,D,20120620,000000,19.816,19.816,16.481,18.936,0,0
7FT_MV,D,20120621,000000,15.17,15.601,15.151,15.151,0,0
7FT_MV,D,20120622,000000,12.128,14.006,12.128,12.275,0,0
7FT_MV,D,20120625,000000,11.395,14.73,9.82,13.312,0,0
7FT_MV,D,20120626,000000,10.661,12.784,8.5388,8.5388,0,0
7FT_MV,D,20120627,000000,8.2356,9.644,7.013,7.013,0,0
7FT_MV,D,20120628,000000,7.013,7.013,7.013,7.013,0,0
7FT_MV,D,20120629,000000,7.013,7.7172,7.013,7.013,0,0
7FT_MV,D,20120702,000000,7.013,7.8053,7.013,7.8053,0,0
7FT_MV,D,20120703,000000,7.013,7.8053,7.013,7.7857,0,0
7FT_MV,D,20120704,000000,9.3311,11.189,7.7857,7.7857,0,0
7FT_MV,D,20120705,000000,7.7857,8.0693,6.6804,7.101,0,0
7FT_MV,D,20120706,000000,6.6804,7.8053,6.5924,7.8053,0,0
7FT_MV,D,20120709,000000,6.5924,8.7345,6.5924,8.7345,0,0
7FT_MV,D,20120710,000000,9.82,9.82,9.82,9.82,0,0
7FT_MV,D,20120711,000000,8.7442,9.732,8.7442,9.732,0,0
7FT_MV,D,20120712,000000,9.781,11.679,9.781,11.679,0,0
7FT_MV,D,20120713,000000,10.524,10.524,10.524,10.524,0,0
7FT_MV,D,20120716,000000,10.505,10.505,10.505,10.505,0,0
7FT_MV,D,20120717,000000,10.329,15.082,10.329,15.082,0,0
7FT_MV,D,20120718,000000,17.518,21,14.378,20.247,0,0
7FT_MV,D,20120719,000000,23.934,28.717,19.141,28.717,0,0
7FT_MV,D,20120720,000000,23.67,23.67,21.215,21.215,0,0
7FT_MV,D,20120723,000000,17.537,20.071,17.537,19.728,0,0
7FT_MV,D,20120724,000000,17.537,18.936,15.601,18.936,0,0
7FT_MV,D,20120725,000000,15.777,18.936,15.777,18.936,0,0
