<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPX_PB,D,20081105,000000,3.16,3.16,3.16,3.16,0,0
BPX_PB,D,20081106,000000,3.94,4.92,3.94,4.92,0,0
BPX_PB,D,20081107,000000,4.65,6.07,4.65,5.52,0,0
BPX_PB,D,20081110,000000,5.52,5.52,4.97,5.41,0,0
BPX_PB,D,20081112,000000,4.93,5.46,4.89,5.46,0,0
BPX_PB,D,20081113,000000,5.39,5.39,5.29,5.29,0,0
BPX_PB,D,20081114,000000,4.38,4.69,4.38,4.38,0,0
BPX_PB,D,20081117,000000,4.73,4.73,4.26,4.68,0,0
BPX_PB,D,20081118,000000,4.66,4.73,4.66,4.73,0,0
BPX_PB,D,20081119,000000,4.88,4.88,4.88,4.88,0,0
BPX_PB,D,20081120,000000,4.42,4.88,4.42,4.69,0,0
BPX_PB,D,20081121,000000,4.73,5.03,4.69,4.77,0,0
BPX_PB,D,20081124,000000,5.1,5.1,4.65,4.65,0,0
BPX_PB,D,20081125,000000,4.65,4.65,3.98,4.58,0,0
BPX_PB,D,20081126,000000,4.81,4.81,4.02,4.8,0,0
BPX_PB,D,20081127,000000,4.34,4.73,4.34,4.73,0,0
BPX_PB,D,20081201,000000,4.42,4.8,4.42,4.73,0,0
BPX_PB,D,20081202,000000,4.42,4.73,4.42,4.73,0,0
BPX_PB,D,20081205,000000,4.42,4.7,4.42,4.69,0,0
BPX_PB,D,20081208,000000,4.42,4.65,4.42,4.65,0,0
BPX_PB,D,20081209,000000,4.33,4.65,3.94,3.94,0,0
BPX_PB,D,20081211,000000,3.94,4.34,3.17,3.17,0,0
BPX_PB,D,20081212,000000,3.8,4.06,3.8,3.94,0,0
BPX_PB,D,20081216,000000,3.16,3.94,3.16,3.94,0,0
BPX_PB,D,20081223,000000,4.02,4.14,4.02,4.14,0,0
BPX_PB,D,20081229,000000,4.54,4.54,4.54,4.54,0,0
BPX_PB,D,20081230,000000,4.09,4.5,4.09,4.5,0,0
BPX_PB,D,20090105,000000,4.46,5.13,4.46,5.13,0,0
BPX_PB,D,20090106,000000,4.88,4.88,4.88,4.88,0,0
BPX_PB,D,20090107,000000,4.73,4.73,4.34,4.34,0,0
BPX_PB,D,20090109,000000,4.62,4.73,4.62,4.73,0,0
BPX_PB,D,20090112,000000,4.73,5.48,4.73,5.48,0,0
BPX_PB,D,20090113,000000,5.48,6.3,5.48,6.3,0,0
BPX_PB,D,20090114,000000,5.92,6.23,5.92,6.23,0,0
BPX_PB,D,20090121,000000,6.08,6.3,6.08,6.3,0,0
BPX_PB,D,20090122,000000,7.01,7.01,5.04,5.04,0,0
BPX_PB,D,20090123,000000,5.04,7.01,5.04,7.01,0,0
BPX_PB,D,20090127,000000,5.68,5.68,5.68,5.68,0,0
BPX_PB,D,20090128,000000,4.89,5.92,4.89,5.92,0,0
BPX_PB,D,20090130,000000,6.82,6.82,6.82,6.82,0,0
BPX_PB,D,20090202,000000,6.13,7.1,6.13,7.1,0,0
BPX_PB,D,20090203,000000,7.01,7.01,6.94,6.94,0,0
BPX_PB,D,20090204,000000,6.94,7.81,6.94,7.81,0,0
BPX_PB,D,20090205,000000,7.89,7.89,7.5,7.5,0,0
BPX_PB,D,20090206,000000,8.05,8.6,8.05,8.6,0,0
BPX_PB,D,20090209,000000,9.31,9.47,9.31,9.47,0,0
BPX_PB,D,20090304,000000,9.47,9.47,9.47,9.47,0,0
BPX_PB,D,20090323,000000,7.1,7.1,7.1,7.1,0,0
BPX_PB,D,20090330,000000,7.89,7.89,7.89,7.89,0,0
BPX_PB,D,20090331,000000,9.39,9.39,9.39,9.39,0,0
BPX_PB,D,20090401,000000,9.47,10.18,9.47,10.18,0,0
BPX_PB,D,20090406,000000,10.06,10.06,10.06,10.06,0,0
BPX_PB,D,20090409,000000,8.28,10.1,8.28,10.1,0,0
BPX_PB,D,20090414,000000,8.68,8.68,8.68,8.68,0,0
BPX_PB,D,20090422,000000,7.1,7.5,7.1,7.5,0,0
BPX_PB,D,20090427,000000,7.5,7.5,7.5,7.5,0,0
BPX_PB,D,20090430,000000,7.73,7.73,7.73,7.73,0,0
BPX_PB,D,20090504,000000,8.99,9.47,8.99,9.47,0,0
BPX_PB,D,20090505,000000,11.36,11.36,11.36,11.36,0,0
BPX_PB,D,20090507,000000,10.33,10.33,10.33,10.33,0,0
BPX_PB,D,20090511,000000,9.31,11.36,8.27,8.27,0,0
BPX_PB,D,20090512,000000,8.28,9.78,7.89,7.89,0,0
BPX_PB,D,20090522,000000,6.39,6.39,6.39,6.39,0,0
BPX_PB,D,20090526,000000,6.3,6.3,6.3,6.3,0,0
BPX_PB,D,20090602,000000,5.51,5.51,5.13,5.13,0,0
BPX_PB,D,20090610,000000,5.13,5.13,5.13,5.13,0,0
BPX_PB,D,20090616,000000,5.72,5.72,5.72,5.72,0,0
BPX_PB,D,20090715,000000,5.1,6.63,5.1,6.63,0,0
BPX_PB,D,20090807,000000,6.31,6.31,5.74,5.74,0,0
BPX_PB,D,20090821,000000,5.59,5.59,5.59,5.59,0,0
BPX_PB,D,20090826,000000,5.16,5.16,5.16,5.16,0,0
BPX_PB,D,20090827,000000,4.73,4.73,4.73,4.73,0,0
BPX_PB,D,20090828,000000,4.73,4.73,3.79,3.8,0,0
BPX_PB,D,20090831,000000,3.8,3.8,3.58,3.58,0,0
BPX_PB,D,20090901,000000,3.58,3.58,3.58,3.58,0,0
BPX_PB,D,20090902,000000,3.58,3.8,3.58,3.8,0,0
BPX_PB,D,20090903,000000,3.8,3.8,3.8,3.8,0,0
BPX_PB,D,20090904,000000,3.8,3.8,3.8,3.8,0,0
BPX_PB,D,20090907,000000,3.3,3.58,3.3,3.58,0,0
BPX_PB,D,20090908,000000,3.58,3.59,3.58,3.59,0,0
BPX_PB,D,20090909,000000,3.79,3.79,3.79,3.79,0,0
BPX_PB,D,20090914,000000,3.58,3.58,3.58,3.58,0,0
BPX_PB,D,20090915,000000,3.58,3.73,3.58,3.73,0,0
BPX_PB,D,20090922,000000,3.58,3.58,3.58,3.58,0,0
BPX_PB,D,20090923,000000,3.3,3.73,3.23,3.73,0,0
BPX_PB,D,20090928,000000,3.01,3.73,3.01,3.73,0,0
BPX_PB,D,20090930,000000,3.01,3.58,3.01,3.58,0,0
BPX_PB,D,20091008,000000,3.73,3.73,3.73,3.73,0,0
BPX_PB,D,20091021,000000,3.3,3.72,3.3,3.72,0,0
BPX_PB,D,20091026,000000,2.98,2.98,2.98,2.98,0,0
BPX_PB,D,20091027,000000,3.58,3.73,3.23,3.23,0,0
BPX_PB,D,20091028,000000,3.58,3.58,3.01,3.01,0,0
BPX_PB,D,20091030,000000,3.57,3.57,3.57,3.57,0,0
BPX_PB,D,20091102,000000,3.51,3.51,3.51,3.51,0,0
BPX_PB,D,20091106,000000,3.51,3.58,3.51,3.58,0,0
BPX_PB,D,20091109,000000,3.58,3.58,3.58,3.58,0,0
BPX_PB,D,20091124,000000,3.58,3.58,3.58,3.58,0,0
BPX_PB,D,20091125,000000,3.28,3.28,3.28,3.28,0,0
BPX_PB,D,20091208,000000,3.14,3.14,2.79,3.14,0,0
BPX_PB,D,20091209,000000,3.49,3.49,3.49,3.49,0,0
BPX_PB,D,20091229,000000,3.46,3.49,3.46,3.49,0,0
BPX_PB,D,20100115,000000,3.46,3.48,3.46,3.48,0,0
BPX_PB,D,20100119,000000,3.47,3.47,3.47,3.47,0,0
BPX_PB,D,20100122,000000,3.47,3.47,3.47,3.47,0,0
BPX_PB,D,20100125,000000,3.46,3.46,3.46,3.46,0,0
BPX_PB,D,20100129,000000,3.21,3.28,3.21,3.28,0,0
BPX_PB,D,20100202,000000,3.28,3.28,3.28,3.28,0,0
BPX_PB,D,20100203,000000,3.46,3.46,3.46,3.46,0,0
BPX_PB,D,20100204,000000,3.42,3.42,3.42,3.42,0,0
BPX_PB,D,20100215,000000,3.42,3.46,3.42,3.46,0,0
BPX_PB,D,20100305,000000,3.37,3.37,3.19,3.19,0,0
BPX_PB,D,20100309,000000,3.19,3.19,2.83,2.83,0,0
BPX_PB,D,20100310,000000,2.85,3.18,2.83,3.18,0,0
BPX_PB,D,20100315,000000,2.87,3.19,2.86,3.19,0,0
BPX_PB,D,20100316,000000,2.87,3.17,2.87,3.15,0,0
BPX_PB,D,20100317,000000,2.93,3.17,2.93,2.93,0,0
BPX_PB,D,20100318,000000,2.93,3.17,2.93,2.93,0,0
BPX_PB,D,20100319,000000,3.15,3.15,3.15,3.15,0,0
BPX_PB,D,20100324,000000,2.96,2.96,2.96,2.96,0,0
BPX_PB,D,20100325,000000,3.08,3.08,3.08,3.08,0,0
