<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDA_MV,D,20190508,000000,119.34,119.34,119.34,119.34,0,0
CDA_MV,D,20190509,000000,143.21,168.48,135.72,161.93,0,0
CDA_MV,D,20190510,000000,142.27,149.75,121.68,121.68,0,0
CDA_MV,D,20190513,000000,115.12,115.12,79.555,93.131,0,0
CDA_MV,D,20190514,000000,92.662,126.27,87.048,102.96,0,0
CDA_MV,D,20190515,000000,120.64,142.27,120.64,140.31,0,0
CDA_MV,D,20190516,000000,150.69,175.22,126.36,132.92,0,0
CDA_MV,D,20190517,000000,146.95,156.3,143.21,148.82,0,0
CDA_MV,D,20190520,000000,149.75,152.56,140.4,146.95,0,0
CDA_MV,D,20190521,000000,123.73,137.13,123.73,133.75,0,0
CDA_MV,D,20190522,000000,134.87,134.87,110.44,110.44,0,0
CDA_MV,D,20190523,000000,116.53,132.92,116.53,126.27,0,0
CDA_MV,D,20190524,000000,129.16,129.16,116.06,122.33,0,0
CDA_MV,D,20190527,000000,123.45,124.49,120.74,124.49,0,0
CDA_MV,D,20190528,000000,118.03,130.85,112.32,113.72,0,0
CDA_MV,D,20190529,000000,121.11,121.11,105.77,112.32,0,0
CDA_MV,D,20190530,000000,110.44,112.32,109.04,109.04,0,0
CDA_MV,D,20190531,000000,103.43,116.06,102.96,105.02,0,0
CDA_MV,D,20190603,000000,105.77,112.32,103.06,107.64,0,0
CDA_MV,D,20190604,000000,102.96,107.64,99.214,101.09,0,0
CDA_MV,D,20190605,000000,103.9,104.83,95.943,100.14,0,0
CDA_MV,D,20190606,000000,100.14,100.14,88.92,93.601,0,0
CDA_MV,D,20190607,000000,89.85,98.274,88.92,98.274,0,0
CDA_MV,D,20190610,000000,97.344,98.274,86.394,88.92,0,0
CDA_MV,D,20190611,000000,89.012,98.186,88.92,97.344,0,0
CDA_MV,D,20190612,000000,95.473,96.874,85.177,87.048,0,0
CDA_MV,D,20190613,000000,87.324,92.569,87.324,92.569,0,0
CDA_MV,D,20190614,000000,91.731,93.601,89.85,93.601,0,0
CDA_MV,D,20190617,000000,93.601,93.601,86.127,87.98,0,0
CDA_MV,D,20190618,000000,86.394,87.98,77.877,80.311,0,0
CDA_MV,D,20190619,000000,80.219,83.49,78.246,78.246,0,0
CDA_MV,D,20190621,000000,79.001,83.306,79.001,83.306,0,0
CDA_MV,D,20190624,000000,81.435,81.435,77.877,78.153,0,0
CDA_MV,D,20190625,000000,79.555,84.237,79.555,79.555,0,0
CDA_MV,D,20190626,000000,83.306,83.306,76.753,78.439,0,0
CDA_MV,D,20190627,000000,70.199,73.01,70.199,73.01,0,0
CDA_MV,D,20190628,000000,73.01,82.274,71.508,82.274,0,0
CDA_MV,D,20190701,000000,80.495,87.888,80.495,84.237,0,0
CDA_MV,D,20190702,000000,82.551,82.551,74.882,75.812,0,0
CDA_MV,D,20190703,000000,74.992,80.403,74.882,79.001,0,0
CDA_MV,D,20190704,000000,79.093,80.495,75.812,80.485,0,0
CDA_MV,D,20190705,000000,76.375,79.463,75.158,79.463,0,0
CDA_MV,D,20190708,000000,79.463,79.555,75.075,79.463,0,0
CDA_MV,D,20190709,000000,83.544,83.544,73.593,76.081,0,0
CDA_MV,D,20190710,000000,76.071,77.971,75.591,76.58,0,0
CDA_MV,D,20190711,000000,76.58,76.58,75.591,75.591,0,0
CDA_MV,D,20190712,000000,74.592,76.982,71.605,76.982,0,0
CDA_MV,D,20190715,000000,72.614,73.573,71.624,73.573,0,0
CDA_MV,D,20190716,000000,74.994,74.994,71.624,74.572,0,0
CDA_MV,D,20190717,000000,74.435,74.435,71.624,74.298,0,0
CDA_MV,D,20190718,000000,71.81,73.995,71.81,73.593,0,0
CDA_MV,D,20190719,000000,72.202,73.103,72.104,72.604,0,0
CDA_MV,D,20190722,000000,69.822,72.604,65.64,65.758,0,0
CDA_MV,D,20190723,000000,66.042,66.14,59.676,65.64,0,0
CDA_MV,D,20190724,000000,65.601,71.605,64.651,67.628,0,0
CDA_MV,D,20190725,000000,67.433,67.433,61.86,64.651,0,0
CDA_MV,D,20190726,000000,64.651,65.64,61.86,61.86,0,0
CDA_MV,D,20190729,000000,61.86,64.151,61.86,64.151,0,0
CDA_MV,D,20190730,000000,65.141,65.141,61.899,65.141,0,0
CDA_MV,D,20190731,000000,64.445,64.445,62.653,64.24,0,0
CDA_MV,D,20190801,000000,64.24,64.24,64.24,64.24,0,0
CDA_MV,D,20190802,000000,63.554,63.554,60.665,60.665,0,0
CDA_MV,D,20190805,000000,63.456,64.651,60.792,61.664,0,0
CDA_MV,D,20190806,000000,61.664,65.141,60.675,65.141,0,0
CDA_MV,D,20190807,000000,64.651,87.52,64.651,81.556,0,0
