<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGH_PE,D,20081114,000000,24.237,24.237,24.237,24.237,0,0
EGH_PE,D,20081117,000000,21.261,23.8,19.862,23.8,0,0
EGH_PE,D,20081118,000000,23.098,23.186,22.486,22.486,0,0
EGH_PE,D,20081119,000000,23.098,23.098,21.261,23.098,0,0
EGH_PE,D,20081120,000000,21.261,21.261,17.06,20.912,0,0
EGH_PE,D,20081121,000000,20.999,20.999,20.912,20.912,0,0
EGH_PE,D,20081124,000000,21.787,21.872,18.724,21.787,0,0
EGH_PE,D,20081125,000000,18.81,19.948,17.499,19.948,0,0
EGH_PE,D,20081126,000000,20.036,21.699,20.036,21.699,0,0
EGH_PE,D,20081127,000000,18.724,21.088,18.199,20.738,0,0
EGH_PE,D,20081128,000000,20.647,20.647,18.199,20.298,0,0
EGH_PE,D,20081201,000000,18.375,18.81,16.626,18.724,0,0
EGH_PE,D,20081202,000000,20.036,20.036,20.036,20.036,0,0
EGH_PE,D,20081203,000000,19.511,19.599,16.626,17.236,0,0
EGH_PE,D,20081204,000000,19.511,19.511,16.974,18.724,0,0
EGH_PE,D,20081205,000000,17.06,18.199,16.8,17.937,0,0
EGH_PE,D,20081208,000000,16.712,17.499,14.348,17.499,0,0
EGH_PE,D,20081209,000000,14.961,17.236,14.961,17.236,0,0
EGH_PE,D,20081210,000000,15.049,15.136,15.049,15.049,0,0
EGH_PE,D,20081211,000000,14.961,15.924,12.512,15.312,0,0
EGH_PE,D,20081212,000000,13.213,15.312,13.213,15.312,0,0
EGH_PE,D,20081215,000000,15.225,17.499,15.225,17.499,0,0
EGH_PE,D,20081216,000000,15.662,17.499,15.662,17.499,0,0
EGH_PE,D,20081217,000000,15.312,17.149,15.312,17.149,0,0
EGH_PE,D,20081218,000000,15.049,17.06,15.049,16.974,0,0
EGH_PE,D,20081219,000000,16.887,16.974,16.887,16.974,0,0
EGH_PE,D,20081222,000000,17.499,18.287,17.499,18.287,0,0
EGH_PE,D,20081223,000000,14.523,17.761,14.261,17.761,0,0
EGH_PE,D,20081229,000000,18.199,18.199,18.199,18.199,0,0
EGH_PE,D,20081231,000000,17.413,18.199,17.413,18.199,0,0
EGH_PE,D,20090105,000000,15.049,21.261,15.049,20.036,0,0
EGH_PE,D,20090106,000000,19.688,19.688,16.275,18.548,0,0
EGH_PE,D,20090107,000000,18.548,19.337,16.8,19.337,0,0
EGH_PE,D,20090108,000000,19.25,19.948,17.585,18.81,0,0
EGH_PE,D,20090109,000000,19.337,19.337,18.637,18.637,0,0
EGH_PE,D,20090112,000000,19.599,19.599,16.887,17.85,0,0
EGH_PE,D,20090113,000000,18.111,18.111,17.761,17.85,0,0
EGH_PE,D,20090114,000000,17.85,17.85,15.924,16.974,0,0
EGH_PE,D,20090115,000000,17.323,17.323,15.4,16.275,0,0
EGH_PE,D,20090116,000000,17.06,17.06,15.049,15.573,0,0
EGH_PE,D,20090119,000000,16.187,16.361,14.437,15.662,0,0
EGH_PE,D,20090120,000000,13.649,15.662,13.649,15.225,0,0
EGH_PE,D,20090121,000000,14.613,14.699,14.613,14.699,0,0
EGH_PE,D,20090122,000000,15.312,15.4,15.312,15.4,0,0
EGH_PE,D,20090123,000000,12.599,14.961,12.599,14.788,0,0
EGH_PE,D,20090126,000000,14.875,14.961,14.875,14.961,0,0
EGH_PE,D,20090127,000000,14.437,14.875,14.437,14.875,0,0
EGH_PE,D,20090128,000000,14.788,15.835,13.475,15.835,0,0
EGH_PE,D,20090129,000000,15.835,15.835,13.736,13.736,0,0
EGH_PE,D,20090130,000000,15.4,15.486,13.213,15.486,0,0
EGH_PE,D,20090202,000000,15.835,15.835,15.835,15.835,0,0
