<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FVE_PB,D,20130711,000000,3.24,3.24,3.24,3.24,0,0
FVE_PB,D,20130712,000000,3.24,3.4425,2.5939,2.5939,0,0
FVE_PB,D,20130715,000000,2.5554,2.6325,2.5168,2.6325,0,0
FVE_PB,D,20130717,000000,2.6325,2.6325,2.5168,2.5168,0,0
FVE_PB,D,20130718,000000,2.5168,2.835,2.3046,2.835,0,0
FVE_PB,D,20130719,000000,2.7964,3.2014,2.7964,3.2014,0,0
FVE_PB,D,20130723,000000,3.2014,3.2014,2.835,2.835,0,0
FVE_PB,D,20130730,000000,2.8736,2.8736,2.7964,2.7964,0,0
FVE_PB,D,20130806,000000,2.835,2.835,2.6711,2.6711,0,0
FVE_PB,D,20130807,000000,2.5168,2.5168,2.43,2.43,0,0
FVE_PB,D,20130812,000000,2.5554,2.5554,2.5554,2.5554,0,0
FVE_PB,D,20130814,000000,2.8061,2.8061,2.7193,2.7193,0,0
FVE_PB,D,20130816,000000,2.8543,3.0279,2.8543,3.0279,0,0
FVE_PB,D,20130827,000000,3.0279,3.0279,3.0279,3.0279,0,0
FVE_PB,D,20130829,000000,3.0279,3.0279,3.0279,3.0279,0,0
FVE_PB,D,20131021,000000,3.2979,3.3846,3.2496,3.2496,0,0
FVE_PB,D,20131022,000000,3.2014,3.2014,3.2014,3.2014,0,0
FVE_PB,D,20131023,000000,3.2014,3.2014,3.2014,3.2014,0,0
FVE_PB,D,20131126,000000,3.5679,3.5679,3.4329,3.4329,0,0
FVE_PB,D,20131206,000000,3.4329,3.4329,3.2014,3.2496,0,0
FVE_PB,D,20131209,000000,3.2882,3.4811,3.2882,3.4811,0,0
FVE_PB,D,20131210,000000,3.4329,3.4811,3.4329,3.4811,0,0
FVE_PB,D,20131220,000000,3.4811,3.4811,3.0182,3.0182,0,0
FVE_PB,D,20131230,000000,3.0182,3.0182,3.0182,3.0182,0,0
FVE_PB,D,20140203,000000,3.0182,3.0182,3.0182,3.0182,0,0
FVE_PB,D,20140320,000000,3.3268,3.3268,3.3268,3.3268,0,0
FVE_PB,D,20140321,000000,3.3268,3.3268,3.3268,3.3268,0,0
FVE_PB,D,20140324,000000,3.3268,3.3268,3.3268,3.3268,0,0
FVE_PB,D,20140325,000000,3.3268,3.3268,3.3268,3.3268,0,0
FVE_PB,D,20140326,000000,3.3268,3.3268,3.3268,3.3268,0,0
FVE_PB,D,20140327,000000,3.3268,3.3268,3.3268,3.3268,0,0
FVE_PB,D,20140328,000000,3.3268,3.3268,3.3268,3.3268,0,0
FVE_PB,D,20140331,000000,3.3268,3.3268,3.3268,3.3268,0,0
FVE_PB,D,20140403,000000,3.375,3.375,3.375,3.375,0,0
FVE_PB,D,20140513,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140514,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140515,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140516,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140519,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140520,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140521,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140522,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140523,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140526,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140527,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140528,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140529,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140530,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140609,000000,3.4329,3.4329,3.4329,3.4329,0,0
FVE_PB,D,20140610,000000,3.5871,3.5871,3.5871,3.5871,0,0
FVE_PB,D,20140611,000000,3.5871,3.7318,3.5871,3.7318,0,0
FVE_PB,D,20140711,000000,3.7993,3.7993,3.7993,3.7993,0,0
FVE_PB,D,20140714,000000,3.5004,3.5004,3.5004,3.5004,0,0
FVE_PB,D,20140715,000000,3.5004,3.5004,3.5004,3.5004,0,0
