<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEM_PB,D,20110826,000000,19,19,19,19,0,0
GEM_PB,D,20110829,000000,17.7,18.7,15.2,16.4,0,0
GEM_PB,D,20110830,000000,16,16,15.5,15.5,0,0
GEM_PB,D,20110831,000000,14.5,15.9,13.8,15.9,0,0
GEM_PB,D,20110901,000000,14,15,14,14.1,0,0
GEM_PB,D,20110902,000000,13.5,13.5,12.5,12.5,0,0
GEM_PB,D,20110906,000000,11,11.5,10,11,0,0
GEM_PB,D,20110908,000000,9.7,9.7,8.8,9.1,0,0
GEM_PB,D,20110909,000000,8.5,10,8.5,8.7,0,0
GEM_PB,D,20110912,000000,8.6,8.6,7,8,0,0
GEM_PB,D,20110914,000000,6.6,6.8,6.1,6.1,0,0
GEM_PB,D,20110915,000000,5.6,6.1,4.9,5,0,0
GEM_PB,D,20110916,000000,5.6,5.6,4.5,4.9,0,0
GEM_PB,D,20110919,000000,4.5,5.3,4.4,5.2,0,0
GEM_PB,D,20110920,000000,5.5,6.5,4.5,5.8,0,0
GEM_PB,D,20110921,000000,5.4,6.4,5.4,6.1,0,0
GEM_PB,D,20110922,000000,5.3,5.6,5,5.6,0,0
GEM_PB,D,20110923,000000,5.1,6.2,4.5,6.2,0,0
GEM_PB,D,20110926,000000,5.3,5.4,5.1,5.3,0,0
GEM_PB,D,20110927,000000,5.4,5.9,5.4,5.8,0,0
GEM_PB,D,20110928,000000,5.6,6.8,5.6,6.8,0,0
GEM_PB,D,20110929,000000,6.4,9,6.4,9,0,0
GEM_PB,D,20110930,000000,9.2,9.2,9.2,9.2,0,0
GEM_PB,D,20111003,000000,8.4,8.9,8,8.3,0,0
GEM_PB,D,20111004,000000,8,9.9,8,9.9,0,0
GEM_PB,D,20111005,000000,10,10,9,9,0,0
GEM_PB,D,20111006,000000,8.1,10,8.1,10,0,0
GEM_PB,D,20111007,000000,8.4,9.8,8.4,8.7,0,0
GEM_PB,D,20111010,000000,9.6,9.6,9.2,9.2,0,0
GEM_PB,D,20111011,000000,8.3,8.8,8.3,8.8,0,0
GEM_PB,D,20111012,000000,7.9,9.9,7.9,9.9,0,0
GEM_PB,D,20111017,000000,8.5,9.5,8.3,9.5,0,0
GEM_PB,D,20111018,000000,8.1,8.1,8.1,8.1,0,0
GEM_PB,D,20111019,000000,7.5,7.5,7.5,7.5,0,0
GEM_PB,D,20111020,000000,7.1,7.6,7.1,7.6,0,0
GEM_PB,D,20111024,000000,6.7,7.2,6.7,6.8,0,0
GEM_PB,D,20111025,000000,6.4,7.7,6.4,7.7,0,0
GEM_PB,D,20111026,000000,7,8.1,7,7.5,0,0
GEM_PB,D,20111027,000000,6.8,6.8,6.8,6.8,0,0
GEM_PB,D,20111028,000000,6.6,6.7,6.6,6.7,0,0
GEM_PB,D,20111031,000000,6.8,7.5,6.8,7.5,0,0
GEM_PB,D,20111102,000000,7.1,7.1,7.1,7.1,0,0
GEM_PB,D,20111103,000000,7.4,7.4,7.4,7.4,0,0
GEM_PB,D,20111104,000000,7.6,9.5,7.6,9.5,0,0
GEM_PB,D,20111108,000000,7.1,7.1,7.1,7.1,0,0
GEM_PB,D,20111109,000000,7.1,8.9,7.1,8.9,0,0
GEM_PB,D,20111115,000000,7.1,7.1,7.1,7.1,0,0
GEM_PB,D,20111116,000000,7.2,8,7.2,8,0,0
GEM_PB,D,20111117,000000,7.1,7.1,7.1,7.1,0,0
GEM_PB,D,20111118,000000,7.1,7.1,6.7,6.9,0,0
GEM_PB,D,20111122,000000,6.3,7.2,6.3,7.2,0,0
GEM_PB,D,20111124,000000,0.55,0.56,0.55,0.56,0,0
GEM_PB,D,20111128,000000,0.51,0.56,0.51,0.56,0,0
GEM_PB,D,20111130,000000,0.53,0.66,0.53,0.66,0,0
GEM_PB,D,20111206,000000,0.58,0.58,0.58,0.58,0,0
GEM_PB,D,20111209,000000,0.58,0.73,0.58,0.73,0,0
GEM_PB,D,20111212,000000,0.68,0.82,0.68,0.82,0,0
GEM_PB,D,20111216,000000,0.71,0.71,0.71,0.71,0,0
GEM_PB,D,20111219,000000,0.73,0.73,0.73,0.73,0,0
GEM_PB,D,20111220,000000,0.64,0.68,0.64,0.68,0,0
GEM_PB,D,20111221,000000,0.61,0.61,0.61,0.61,0,0
GEM_PB,D,20111222,000000,0.62,0.62,0.55,0.59,0,0
GEM_PB,D,20111223,000000,0.58,0.58,0.47,0.47,0,0
GEM_PB,D,20111227,000000,0.47,0.58,0.47,0.58,0,0
GEM_PB,D,20111228,000000,0.58,0.58,0.58,0.58,0,0
GEM_PB,D,20111229,000000,0.54,0.54,0.54,0.54,0,0
GEM_PB,D,20120102,000000,0.55,0.55,0.53,0.55,0,0
GEM_PB,D,20120103,000000,0.56,0.56,0.56,0.56,0,0
GEM_PB,D,20120104,000000,0.56,0.56,0.56,0.56,0,0
GEM_PB,D,20120105,000000,0.57,0.57,0.45,0.5,0,0
GEM_PB,D,20120109,000000,0.53,0.54,0.45,0.45,0,0
GEM_PB,D,20120110,000000,0.45,0.45,0.42,0.45,0,0
GEM_PB,D,20120111,000000,0.42,0.45,0.4,0.4,0,0
