<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GWR_PE,D,20100217,000000,4.1673,4.1673,4.1673,4.1673,0,0
GWR_PE,D,20100218,000000,4.4477,4.6081,4.4477,4.6081,0,0
GWR_PE,D,20100219,000000,4.5279,4.5279,4.2474,4.2474,0,0
GWR_PE,D,20100222,000000,4.5279,4.5279,4.2873,4.2873,0,0
GWR_PE,D,20100223,000000,4.2873,4.4477,4.1271,4.4477,0,0
GWR_PE,D,20100224,000000,4.4477,4.4477,4.3275,4.3275,0,0
GWR_PE,D,20100225,000000,4.3275,4.3275,4.1271,4.1271,0,0
GWR_PE,D,20100226,000000,4.2873,4.2873,4.1271,4.1271,0,0
GWR_PE,D,20100301,000000,4.2873,4.2873,4.2073,4.2073,0,0
GWR_PE,D,20100302,000000,4.3676,4.3676,4.1271,4.1271,0,0
GWR_PE,D,20100303,000000,4.2474,4.2474,4.2474,4.2474,0,0
GWR_PE,D,20100304,000000,4.2474,4.2474,4.2474,4.2474,0,0
GWR_PE,D,20100305,000000,4.3275,4.3275,4.2474,4.2474,0,0
GWR_PE,D,20100308,000000,4.3676,4.3676,4.2474,4.2474,0,0
GWR_PE,D,20100309,000000,4.3676,4.4879,4.3676,4.4879,0,0
GWR_PE,D,20100310,000000,4.7683,5.169,4.5679,5.169,0,0
GWR_PE,D,20100311,000000,4.8084,4.8084,4.6881,4.6881,0,0
GWR_PE,D,20100312,000000,4.8084,4.8084,4.2873,4.4879,0,0
GWR_PE,D,20100315,000000,4.5679,4.6081,4.4076,4.4076,0,0
GWR_PE,D,20100316,000000,4.6081,4.6081,4.1271,4.3275,0,0
GWR_PE,D,20100317,000000,4.4076,4.4076,4.0471,4.0471,0,0
GWR_PE,D,20100318,000000,4.1271,4.1271,3.9269,3.9669,0,0
GWR_PE,D,20100319,000000,4.2474,4.2474,4.1271,4.1271,0,0
GWR_PE,D,20100322,000000,4.2474,4.2474,4.1673,4.2073,0,0
