<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGT_MV,D,20111207,000000,2.3,2.3,2.3,2.3,0,0
IGT_MV,D,20111208,000000,2.7,3.2,2.6,3,0,0
IGT_MV,D,20111209,000000,3,3,2.4,2.6,0,0
IGT_MV,D,20111212,000000,2.4,2.4,1.6,1.6,0,0
IGT_MV,D,20111213,000000,1.8,2.2,1.6,2,0,0
IGT_MV,D,20111214,000000,1.9,2.3,1.8,1.8,0,0
IGT_MV,D,20111215,000000,1.7,1.8,1.6,1.8,0,0
IGT_MV,D,20111216,000000,1.7,1.8,1.5,1.7,0,0
IGT_MV,D,20111219,000000,1.5,1.6,1.2,1.5,0,0
IGT_MV,D,20111220,000000,1.3,1.3,1.2,1.2,0,0
IGT_MV,D,20111221,000000,1.4,1.6,1.3,1.6,0,0
IGT_MV,D,20111222,000000,1.8,1.8,1.4,1.4,0,0
IGT_MV,D,20111223,000000,1.3,1.5,1.3,1.5,0,0
IGT_MV,D,20111227,000000,1.3,1.5,1.2,1.5,0,0
IGT_MV,D,20111228,000000,1.3,1.5,1.3,1.4,0,0
IGT_MV,D,20111229,000000,1.3,1.3,1.2,1.3,0,0
IGT_MV,D,20111230,000000,1.2,1.5,1.2,1.5,0,0
IGT_MV,D,20120102,000000,1.5,1.5,1.3,1.5,0,0
IGT_MV,D,20120103,000000,1.4,2.1,1.3,2.1,0,0
IGT_MV,D,20120104,000000,2.1,2.1,1.7,1.8,0,0
IGT_MV,D,20120105,000000,1.6,1.8,1.5,1.8,0,0
IGT_MV,D,20120109,000000,1.7,1.9,1.7,1.8,0,0
IGT_MV,D,20120110,000000,1.8,2.1,1.5,2,0,0
IGT_MV,D,20120111,000000,2,2.1,2,2.1,0,0
IGT_MV,D,20120112,000000,1.9,2.1,1.8,2.1,0,0
IGT_MV,D,20120113,000000,1.8,1.8,1.8,1.8,0,0
IGT_MV,D,20120116,000000,1.7,2.1,1.6,2.1,0,0
IGT_MV,D,20120117,000000,2.4,2.4,1.9,2,0,0
IGT_MV,D,20120118,000000,1.9,2.2,1.9,2.2,0,0
IGT_MV,D,20120119,000000,2.2,2.2,2,2.2,0,0
IGT_MV,D,20120120,000000,2.1,3.1,2.1,2.3,0,0
IGT_MV,D,20120123,000000,2.3,3.1,2.3,2.7,0,0
IGT_MV,D,20120124,000000,3.1,3.2,2.3,2.5,0,0
IGT_MV,D,20120125,000000,2.6,2.7,2.2,2.2,0,0
