<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTG_PB,D,20071130,000000,16.614,16.614,16.614,16.614,0,0
LTG_PB,D,20071203,000000,16.614,17.677,14.138,16.263,0,0
LTG_PB,D,20071204,000000,16.965,16.965,13.436,14.138,0,0
LTG_PB,D,20071205,000000,14.216,14.216,12.656,12.734,0,0
LTG_PB,D,20071206,000000,13.085,14.001,11.31,13.436,0,0
LTG_PB,D,20071207,000000,13.787,15.912,13.787,15.054,0,0
LTG_PB,D,20071210,000000,15.62,17.111,15.561,15.698,0,0
LTG_PB,D,20071211,000000,16.049,16.049,14.918,14.918,0,0
LTG_PB,D,20071212,000000,15.269,15.698,14.996,15.415,0,0
LTG_PB,D,20071213,000000,15.415,15.415,14.216,14.635,0,0
LTG_PB,D,20071214,000000,14.216,14.216,13.709,13.787,0,0
LTG_PB,D,20071217,000000,14.635,14.635,13.436,14.489,0,0
LTG_PB,D,20071218,000000,13.436,14.138,12.734,13.504,0,0
LTG_PB,D,20071219,000000,13.572,14.138,13.436,13.504,0,0
LTG_PB,D,20071220,000000,13.572,14.069,13.504,13.504,0,0
LTG_PB,D,20071221,000000,13.787,14.001,12.87,13.436,0,0
LTG_PB,D,20071227,000000,13.572,13.572,13.358,13.358,0,0
LTG_PB,D,20071228,000000,13.436,13.436,12.87,13.007,0,0
LTG_PB,D,20080102,000000,13.007,13.358,12.734,12.938,0,0
LTG_PB,D,20080103,000000,12.734,13.007,12.022,12.578,0,0
LTG_PB,D,20080104,000000,12.373,13.436,12.09,12.158,0,0
LTG_PB,D,20080107,000000,11.456,12.734,11.456,12.305,0,0
LTG_PB,D,20080108,000000,12.373,12.578,11.954,12.373,0,0
LTG_PB,D,20080109,000000,12.158,12.305,11.31,11.31,0,0
LTG_PB,D,20080110,000000,11.456,11.525,10.043,10.462,0,0
LTG_PB,D,20080111,000000,10.462,11.174,10.462,11.174,0,0
LTG_PB,D,20080114,000000,10.608,10.608,10.608,10.608,0,0
LTG_PB,D,20080115,000000,10.608,10.959,9.545,10.959,0,0
LTG_PB,D,20080116,000000,10.247,10.891,10.247,10.891,0,0
LTG_PB,D,20080117,000000,10.394,11.31,9.682,10.608,0,0
LTG_PB,D,20080118,000000,10.608,10.608,10.608,10.608,0,0
LTG_PB,D,20080121,000000,10.325,10.325,9.3308,9.3308,0,0
LTG_PB,D,20080122,000000,9.1943,9.828,8.4825,9.1163,0,0
LTG_PB,D,20080123,000000,9.682,10.462,9.545,9.614,0,0
LTG_PB,D,20080124,000000,10.247,10.247,9.3308,10.043,0,0
LTG_PB,D,20080125,000000,10.394,11.027,10.394,10.53,0,0
LTG_PB,D,20080129,000000,10.53,10.53,9.682,10.53,0,0
LTG_PB,D,20080130,000000,10.53,10.608,9.896,10.608,0,0
LTG_PB,D,20080131,000000,9.545,10.247,9.3308,10.043,0,0
LTG_PB,D,20080201,000000,10.247,10.608,10.179,10.247,0,0
LTG_PB,D,20080204,000000,10.608,10.608,10.462,10.462,0,0
LTG_PB,D,20080205,000000,9.614,10.247,9.477,10.179,0,0
LTG_PB,D,20080206,000000,9.3308,9.614,8.8433,9.3308,0,0
LTG_PB,D,20080207,000000,9.1163,9.682,9.048,9.545,0,0
LTG_PB,D,20080208,000000,9.1943,9.896,9.1163,9.828,0,0
LTG_PB,D,20080211,000000,9.1163,9.1163,9.048,9.048,0,0
LTG_PB,D,20080212,000000,9.2625,9.545,9.048,9.4088,0,0
LTG_PB,D,20080213,000000,9.477,9.477,9.1163,9.1163,0,0
LTG_PB,D,20080214,000000,9.1163,9.3308,9.1163,9.1943,0,0
LTG_PB,D,20080215,000000,9.1943,9.828,9.1943,9.1943,0,0
LTG_PB,D,20080218,000000,9.76,9.76,9.1943,9.4088,0,0
LTG_PB,D,20080219,000000,9.4088,9.76,9.4088,9.76,0,0
LTG_PB,D,20080220,000000,9.2625,9.682,9.2625,9.682,0,0
LTG_PB,D,20080221,000000,9.614,9.682,9.3308,9.682,0,0
LTG_PB,D,20080222,000000,9.2625,9.545,9.2625,9.545,0,0
LTG_PB,D,20080225,000000,9.3308,9.545,9.3308,9.545,0,0
LTG_PB,D,20080226,000000,9.545,9.545,9.3308,9.545,0,0
LTG_PB,D,20080228,000000,9.3308,9.4088,9.3308,9.4088,0,0
LTG_PB,D,20080229,000000,9.3308,9.3308,8.8433,9.2625,0,0
LTG_PB,D,20080304,000000,8.5508,8.5508,8.5508,8.5508,0,0
LTG_PB,D,20080305,000000,7.7708,8.9115,7.7708,8.9115,0,0
LTG_PB,D,20080306,000000,8.8433,9.4088,8.8433,9.4088,0,0
LTG_PB,D,20080307,000000,8.9798,9.1163,8.1998,9.1163,0,0
LTG_PB,D,20080310,000000,8.9115,8.9798,8.9115,8.9798,0,0
LTG_PB,D,20080312,000000,8.8433,9.3308,8.4825,9.3308,0,0
LTG_PB,D,20080314,000000,8.7653,9.1943,8.5508,9.1943,0,0
LTG_PB,D,20080317,000000,8.6288,8.6288,8.6288,8.6288,0,0
LTG_PB,D,20080318,000000,8.2778,8.2778,8.1315,8.1315,0,0
LTG_PB,D,20080319,000000,8.4825,9.2625,8.4825,9.1943,0,0
LTG_PB,D,20080320,000000,8.8433,8.8433,8.8433,8.8433,0,0
LTG_PB,D,20080325,000000,8.697,9.048,8.697,9.048,0,0
LTG_PB,D,20080327,000000,9.048,9.048,9.048,9.048,0,0
