<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAD_MV,D,20120809,000000,11.2,11.2,11.2,11.2,0,0
MAD_MV,D,20120810,000000,11.62,12.03,9.96,12.03,0,0
MAD_MV,D,20120813,000000,11.62,13.69,11.62,13.69,0,0
MAD_MV,D,20120814,000000,12.86,12.86,9.13,11.2,0,0
MAD_MV,D,20120816,000000,11.2,11.2,9.13,10.37,0,0
MAD_MV,D,20120817,000000,9.13,9.13,9.13,9.13,0,0
MAD_MV,D,20120820,000000,8.71,10.37,8.71,10.37,0,0
MAD_MV,D,20120821,000000,10.37,10.37,9.54,9.96,0,0
MAD_MV,D,20120822,000000,9.96,9.96,8.3,9.13,0,0
MAD_MV,D,20120823,000000,9.13,9.54,9.13,9.54,0,0
MAD_MV,D,20120827,000000,9.13,9.96,9.13,9.96,0,0
MAD_MV,D,20120828,000000,9.13,9.54,9.13,9.54,0,0
MAD_MV,D,20120829,000000,8.71,8.71,7.88,8.71,0,0
MAD_MV,D,20120830,000000,8.71,8.71,7.47,8.3,0,0
MAD_MV,D,20120831,000000,7.47,8.71,7.47,7.47,0,0
MAD_MV,D,20120903,000000,7.47,7.47,7.47,7.47,0,0
MAD_MV,D,20120904,000000,7.47,7.88,7.05,7.88,0,0
MAD_MV,D,20120910,000000,7.47,8.3,7.47,8.3,0,0
MAD_MV,D,20120911,000000,7.05,7.88,7.05,7.47,0,0
MAD_MV,D,20120912,000000,7.05,7.05,4.98,6.64,0,0
MAD_MV,D,20120913,000000,6.64,8.71,6.64,8.71,0,0
MAD_MV,D,20120914,000000,8.71,9.96,8.3,9.13,0,0
MAD_MV,D,20120917,000000,9.54,9.54,9.54,9.54,0,0
MAD_MV,D,20120918,000000,9.13,12.86,9.13,10.79,0,0
MAD_MV,D,20120919,000000,10.79,12.86,9.13,12.86,0,0
MAD_MV,D,20120920,000000,12.86,13.28,10.37,11.2,0,0
MAD_MV,D,20120921,000000,9.54,11.2,9.54,11.2,0,0
MAD_MV,D,20120924,000000,11.2,11.2,9.13,11.2,0,0
MAD_MV,D,20120925,000000,11.2,11.2,11.2,11.2,0,0
MAD_MV,D,20120926,000000,11.2,11.2,9.96,9.96,0,0
MAD_MV,D,20120928,000000,9.96,9.96,9.13,9.13,0,0
MAD_MV,D,20121002,000000,9.96,9.96,9.96,9.96,0,0
MAD_MV,D,20121003,000000,9.54,9.54,8.71,8.71,0,0
MAD_MV,D,20121010,000000,9.54,10.37,9.54,10.37,0,0
MAD_MV,D,20121012,000000,9.96,9.96,8.3,8.71,0,0
MAD_MV,D,20121015,000000,9.13,9.13,9.13,9.13,0,0
MAD_MV,D,20121016,000000,8.3,8.71,7.88,8.71,0,0
MAD_MV,D,20121017,000000,8.71,9.13,8.71,9.13,0,0
MAD_MV,D,20121024,000000,7.88,7.88,7.47,7.47,0,0
MAD_MV,D,20121026,000000,7.88,7.88,7.88,7.88,0,0
MAD_MV,D,20121029,000000,8.3,8.3,7.05,7.05,0,0
MAD_MV,D,20121030,000000,7.47,7.88,7.47,7.88,0,0
MAD_MV,D,20121106,000000,8.3,8.71,8.3,8.71,0,0
MAD_MV,D,20121107,000000,9.13,9.13,8.71,8.71,0,0
MAD_MV,D,20121108,000000,9.13,9.13,8.71,8.71,0,0
MAD_MV,D,20121112,000000,8.3,8.71,8.3,8.71,0,0
MAD_MV,D,20121113,000000,9.13,9.13,9.13,9.13,0,0
MAD_MV,D,20121115,000000,8.71,8.71,6.64,8.3,0,0
