<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLM_PE,D,20080208,000000,26.5,26.5,26.5,26.5,0,0
PLM_PE,D,20080211,000000,24.6,29.5,24.6,27.5,0,0
PLM_PE,D,20080212,000000,26.5,27.5,26.5,27.5,0,0
PLM_PE,D,20080213,000000,24.4,27,24.4,27,0,0
PLM_PE,D,20080214,000000,26.9,29.1,26.9,29.1,0,0
PLM_PE,D,20080215,000000,28.8,28.8,28.7,28.7,0,0
PLM_PE,D,20080218,000000,28.7,29.1,27.5,28.9,0,0
PLM_PE,D,20080220,000000,28.6,28.6,28.6,28.6,0,0
PLM_PE,D,20080221,000000,26.7,28.5,26.6,28.5,0,0
PLM_PE,D,20080222,000000,28.1,28.1,27,28.1,0,0
PLM_PE,D,20080225,000000,27.6,28.8,27.6,28.8,0,0
PLM_PE,D,20080226,000000,26.6,27.6,25.5,27.6,0,0
PLM_PE,D,20080227,000000,27.6,27.6,25.4,27,0,0
PLM_PE,D,20080229,000000,28.3,28.3,28.3,28.3,0,0
PLM_PE,D,20080304,000000,24.7,27.6,24.7,27.5,0,0
PLM_PE,D,20080305,000000,27.3,27.3,27.3,27.3,0,0
PLM_PE,D,20080307,000000,25.4,27.5,25.4,27.5,0,0
PLM_PE,D,20080311,000000,25,26.6,25,26.6,0,0
PLM_PE,D,20080312,000000,26.5,26.6,26.5,26.6,0,0
PLM_PE,D,20080313,000000,26.6,26.6,26.6,26.6,0,0
PLM_PE,D,20080314,000000,25.1,26.5,24.9,26.5,0,0
PLM_PE,D,20080317,000000,24.8,25.9,24.7,24.7,0,0
PLM_PE,D,20080318,000000,25.5,25.5,25.4,25.4,0,0
PLM_PE,D,20080319,000000,25.4,25.4,25.3,25.3,0,0
PLM_PE,D,20080320,000000,21.4,21.4,21.4,21.4,0,0
PLM_PE,D,20080325,000000,25.4,25.4,21.7,21.7,0,0
PLM_PE,D,20080326,000000,25.4,25.4,22.2,22.2,0,0
PLM_PE,D,20080327,000000,22.7,23.7,22.2,22.2,0,0
PLM_PE,D,20080328,000000,24.7,24.7,24.2,24.2,0,0
PLM_PE,D,20080402,000000,25.1,25.1,25.1,25.1,0,0
PLM_PE,D,20080404,000000,22.8,24.9,22.8,24.9,0,0
PLM_PE,D,20080407,000000,23.5,24.9,23.5,24.9,0,0
PLM_PE,D,20080410,000000,24.4,24.9,24.4,24.9,0,0
PLM_PE,D,20080411,000000,24.9,24.9,24.9,24.9,0,0
PLM_PE,D,20080414,000000,23.8,24.9,23.8,24.9,0,0
PLM_PE,D,20080415,000000,24.8,24.8,23.8,23.8,0,0
PLM_PE,D,20080416,000000,23.8,23.8,23.8,23.8,0,0
PLM_PE,D,20080421,000000,22.9,24.7,22.9,24.7,0,0
PLM_PE,D,20080422,000000,22.9,24.3,22.8,24.2,0,0
PLM_PE,D,20080423,000000,22.7,22.8,22.7,22.8,0,0
PLM_PE,D,20080424,000000,23.9,23.9,21.7,23.7,0,0
PLM_PE,D,20080429,000000,22.2,24.2,22.2,24.2,0,0
PLM_PE,D,20080505,000000,24.2,24.2,22.4,24.2,0,0
PLM_PE,D,20080506,000000,22.5,24.1,22.5,24.1,0,0
PLM_PE,D,20080507,000000,22.5,24.1,22.4,24.1,0,0
PLM_PE,D,20080509,000000,22.8,22.8,22.7,22.8,0,0
PLM_PE,D,20080513,000000,22.8,24,22.6,23.9,0,0
PLM_PE,D,20080516,000000,23.7,23.7,23.7,23.7,0,0
PLM_PE,D,20080519,000000,22.5,23.5,22.5,23.5,0,0
PLM_PE,D,20080520,000000,22.3,22.3,22.3,22.3,0,0
PLM_PE,D,20080521,000000,24.1,24.1,24.1,24.1,0,0
PLM_PE,D,20080528,000000,22.2,22.2,22.2,22.2,0,0
PLM_PE,D,20080529,000000,24.1,24.1,22,24.1,0,0
PLM_PE,D,20080530,000000,22.1,24.1,22.1,24.1,0,0
PLM_PE,D,20080602,000000,22.1,22.1,21.9,21.9,0,0
PLM_PE,D,20080603,000000,21.9,24.4,19.2,24.4,0,0
