<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRL_PB,D,20121214,000000,1.5768,1.5768,1.5768,1.5768,0,0
PRL_PB,D,20121217,000000,1.5814,1.5814,1.5254,1.5814,0,0
PRL_PB,D,20121218,000000,1.5814,1.5814,1.5814,1.5814,0,0
PRL_PB,D,20121219,000000,1.5814,1.5814,1.5814,1.5814,0,0
PRL_PB,D,20121220,000000,1.5861,1.5861,1.5861,1.5861,0,0
PRL_PB,D,20121227,000000,1.5068,1.5068,1.4135,1.4135,0,0
PRL_PB,D,20130103,000000,1.4135,1.4135,1.4135,1.4135,0,0
PRL_PB,D,20130104,000000,1.4369,1.4369,1.4369,1.4369,0,0
PRL_PB,D,20130108,000000,1.4369,1.6935,1.4369,1.6935,0,0
PRL_PB,D,20130109,000000,1.6935,1.6981,1.6048,1.6187,0,0
PRL_PB,D,20130110,000000,1.6187,1.6328,1.6187,1.6328,0,0
PRL_PB,D,20130114,000000,1.6328,1.6421,1.5955,1.5955,0,0
PRL_PB,D,20130115,000000,1.6001,1.6001,1.5722,1.5722,0,0
PRL_PB,D,20130121,000000,1.4602,1.4742,1.4602,1.4742,0,0
PRL_PB,D,20130122,000000,1.4742,1.4929,1.4742,1.4929,0,0
PRL_PB,D,20130128,000000,1.4929,1.5254,1.4929,1.5254,0,0
PRL_PB,D,20130129,000000,1.4416,1.4835,1.4416,1.4835,0,0
PRL_PB,D,20130130,000000,1.4835,1.4929,1.4835,1.4929,0,0
PRL_PB,D,20130131,000000,1.4929,1.5861,1.4929,1.5861,0,0
PRL_PB,D,20130201,000000,1.5814,1.6001,1.5814,1.6001,0,0
PRL_PB,D,20130212,000000,1.5861,1.5861,1.5861,1.5861,0,0
PRL_PB,D,20130213,000000,1.5955,1.6187,1.5955,1.6187,0,0
PRL_PB,D,20130218,000000,1.6187,1.6234,1.6187,1.6234,0,0
PRL_PB,D,20130222,000000,1.6234,1.6328,1.6234,1.6328,0,0
PRL_PB,D,20130225,000000,1.6328,1.6514,1.6328,1.6514,0,0
PRL_PB,D,20130226,000000,1.6514,1.6514,1.6514,1.6514,0,0
PRL_PB,D,20130227,000000,1.6514,1.6655,1.5955,1.6655,0,0
PRL_PB,D,20130228,000000,1.6093,1.6093,1.5131,1.5718,0,0
PRL_PB,D,20130305,000000,1.5068,1.5068,1.4135,1.4135,0,0
