<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PST_MV,D,20130208,000000,7.035,7.035,7.035,7.035,0,0
PST_MV,D,20130211,000000,7.37,7.37,7.035,7.035,0,0
PST_MV,D,20130212,000000,6.7,6.7,6.03,6.7,0,0
PST_MV,D,20130213,000000,6.365,6.7,6.365,6.7,0,0
PST_MV,D,20130214,000000,6.365,7.035,6.365,7.035,0,0
PST_MV,D,20130215,000000,7.035,7.37,6.7,7.37,0,0
PST_MV,D,20130218,000000,7.37,7.37,6.7,6.7,0,0
PST_MV,D,20130219,000000,6.7,6.7,6.365,6.7,0,0
PST_MV,D,20130220,000000,6.7,6.7,6.7,6.7,0,0
PST_MV,D,20130221,000000,6.7,6.7,6.7,6.7,0,0
PST_MV,D,20130222,000000,6.7,6.7,6.7,6.7,0,0
PST_MV,D,20130225,000000,6.7,6.7,6.365,6.365,0,0
PST_MV,D,20130226,000000,6.03,6.03,5.025,5.025,0,0
PST_MV,D,20130227,000000,5.025,5.695,5.025,5.695,0,0
PST_MV,D,20130301,000000,5.695,6.03,5.695,6.03,0,0
PST_MV,D,20130304,000000,6.03,6.03,6.03,6.03,0,0
PST_MV,D,20130305,000000,6.03,6.03,6.03,6.03,0,0
PST_MV,D,20130306,000000,5.695,5.695,5.695,5.695,0,0
PST_MV,D,20130307,000000,5.695,5.695,5.695,5.695,0,0
PST_MV,D,20130308,000000,5.36,5.36,4.69,5.36,0,0
PST_MV,D,20130311,000000,5.36,5.36,5.36,5.36,0,0
PST_MV,D,20130312,000000,5.36,5.36,5.36,5.36,0,0
PST_MV,D,20130313,000000,5.025,5.695,5.025,5.695,0,0
PST_MV,D,20130314,000000,5.36,5.36,5.36,5.36,0,0
PST_MV,D,20130315,000000,5.36,5.36,5.36,5.36,0,0
PST_MV,D,20130318,000000,5.36,6.03,5.025,6.03,0,0
PST_MV,D,20130319,000000,5.695,5.695,5.36,5.36,0,0
PST_MV,D,20130320,000000,5.36,6.03,5.36,5.695,0,0
PST_MV,D,20130321,000000,5.695,6.03,5.36,5.36,0,0
PST_MV,D,20130325,000000,5.36,5.695,5.36,5.695,0,0
PST_MV,D,20130326,000000,5.695,5.695,5.36,5.695,0,0
PST_MV,D,20130327,000000,5.695,6.7,5.36,5.695,0,0
PST_MV,D,20130328,000000,5.695,5.695,5.36,5.695,0,0
PST_MV,D,20130402,000000,6.03,6.03,5.36,5.36,0,0
PST_MV,D,20130404,000000,5.025,5.025,5.025,5.025,0,0
PST_MV,D,20130405,000000,5.36,5.36,5.36,5.36,0,0
PST_MV,D,20130408,000000,5.36,5.36,5.36,5.36,0,0
PST_MV,D,20130409,000000,5.36,5.36,5.36,5.36,0,0
PST_MV,D,20130410,000000,5.36,5.36,5.36,5.36,0,0
PST_MV,D,20130411,000000,5.36,6.03,5.36,5.36,0,0
PST_MV,D,20130412,000000,6.03,6.03,5.025,5.695,0,0
PST_MV,D,20130415,000000,6.03,6.03,6.03,6.03,0,0
PST_MV,D,20130417,000000,5.695,5.695,5.36,5.36,0,0
PST_MV,D,20130418,000000,5.36,5.36,5.36,5.36,0,0
PST_MV,D,20130419,000000,5.36,5.695,5.36,5.695,0,0
PST_MV,D,20130422,000000,5.695,5.695,5.695,5.695,0,0
PST_MV,D,20130423,000000,5.695,5.695,5.695,5.695,0,0
PST_MV,D,20130424,000000,5.695,5.695,5.36,5.36,0,0
PST_MV,D,20130429,000000,5.36,5.36,5.36,5.36,0,0
PST_MV,D,20130430,000000,5.36,5.36,5.36,5.36,0,0
PST_MV,D,20130502,000000,5.36,5.36,5.36,5.36,0,0
PST_MV,D,20130506,000000,5.36,5.36,4.355,4.355,0,0
PST_MV,D,20130507,000000,4.02,4.69,4.02,4.355,0,0
PST_MV,D,20130508,000000,4.355,4.69,4.355,4.69,0,0
PST_MV,D,20130510,000000,4.355,4.355,3.685,3.685,0,0
PST_MV,D,20130513,000000,4.02,4.355,4.02,4.355,0,0
PST_MV,D,20130515,000000,3.685,3.685,3.685,3.685,0,0
PST_MV,D,20130516,000000,3.685,3.685,3.685,3.685,0,0
PST_MV,D,20130517,000000,3.685,3.685,3.685,3.685,0,0
PST_MV,D,20130520,000000,4.02,4.02,4.02,4.02,0,0
PST_MV,D,20130521,000000,3.685,4.02,3.685,4.02,0,0
PST_MV,D,20130523,000000,3.685,3.685,3.685,3.685,0,0
PST_MV,D,20130524,000000,3.35,3.685,3.35,3.685,0,0
PST_MV,D,20130527,000000,3.35,4.02,3.35,4.02,0,0
PST_MV,D,20130528,000000,3.685,4.02,3.35,3.685,0,0
PST_MV,D,20130531,000000,3.685,4.02,3.685,4.02,0,0
