<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PST_PB,D,20130208,000000,0.8474,0.8474,0.8474,0.8474,0,0
PST_PB,D,20130211,000000,0.8868,0.8868,0.8474,0.8474,0,0
PST_PB,D,20130212,000000,0.8079,0.8079,0.7291,0.8079,0,0
PST_PB,D,20130213,000000,0.7685,0.8079,0.7685,0.8079,0,0
PST_PB,D,20130214,000000,0.7685,0.8474,0.7685,0.8474,0,0
PST_PB,D,20130215,000000,0.8474,0.8868,0.8079,0.8868,0,0
PST_PB,D,20130218,000000,0.8868,0.8868,0.8079,0.8079,0,0
PST_PB,D,20130219,000000,0.8079,0.8079,0.7685,0.8079,0,0
PST_PB,D,20130220,000000,0.8079,0.8079,0.8079,0.8079,0,0
PST_PB,D,20130221,000000,0.8079,0.8079,0.8079,0.8079,0,0
PST_PB,D,20130222,000000,0.8079,0.8079,0.8079,0.8079,0,0
PST_PB,D,20130225,000000,0.8079,0.8079,0.7685,0.7685,0,0
PST_PB,D,20130226,000000,0.7291,0.7291,0.6109,0.6109,0,0
PST_PB,D,20130227,000000,0.6109,0.6897,0.6109,0.6897,0,0
PST_PB,D,20130301,000000,0.6897,0.7291,0.6897,0.7291,0,0
PST_PB,D,20130304,000000,0.7291,0.7291,0.7291,0.7291,0,0
PST_PB,D,20130305,000000,0.7291,0.7291,0.7291,0.7291,0,0
PST_PB,D,20130306,000000,0.6897,0.6897,0.6897,0.6897,0,0
PST_PB,D,20130307,000000,0.6897,0.6897,0.6897,0.6897,0,0
PST_PB,D,20130308,000000,0.6503,0.6503,0.5616,0.6503,0,0
PST_PB,D,20130311,000000,0.6503,0.6503,0.6503,0.6503,0,0
PST_PB,D,20130312,000000,0.6503,0.8375,0.6503,0.8375,0,0
PST_PB,D,20130313,000000,0.7784,0.8868,0.7784,0.8868,0,0
PST_PB,D,20130314,000000,0.8375,0.8375,0.8375,0.8375,0,0
PST_PB,D,20130315,000000,0.8375,0.8375,0.8375,0.8375,0,0
PST_PB,D,20130318,000000,0.8375,0.936,0.7784,0.936,0,0
PST_PB,D,20130319,000000,0.8868,0.8868,0.8375,0.8375,0,0
PST_PB,D,20130320,000000,0.8375,0.936,0.8375,0.8868,0,0
PST_PB,D,20130321,000000,0.8868,0.936,0.8375,0.8375,0,0
PST_PB,D,20130325,000000,0.8375,0.8868,0.8375,0.8868,0,0
PST_PB,D,20130326,000000,0.8868,0.8868,0.8375,0.8868,0,0
PST_PB,D,20130327,000000,0.8868,1.0444,0.8375,0.8868,0,0
PST_PB,D,20130328,000000,0.8868,0.8868,0.8375,0.8868,0,0
