<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEV_MV,D,20110812,000000,12.426,12.426,12.426,12.426,0,0
SEV_MV,D,20110817,000000,12.426,12.426,11.681,11.681,0,0
SEV_MV,D,20110818,000000,11.123,11.123,9.4473,9.699,0,0
SEV_MV,D,20110819,000000,9.885,9.885,9.2612,9.2612,0,0
SEV_MV,D,20110822,000000,9.885,9.885,9.0098,9.0098,0,0
SEV_MV,D,20110823,000000,9.885,9.885,9.317,9.634,0,0
SEV_MV,D,20110824,000000,9.885,9.885,9.634,9.634,0,0
SEV_MV,D,20110825,000000,9.885,11.123,9.885,10.257,0,0
SEV_MV,D,20110826,000000,11.123,11.123,10.564,10.564,0,0
SEV_MV,D,20110829,000000,11.123,11.123,11.058,11.058,0,0
SEV_MV,D,20110830,000000,11.123,11.123,10.871,10.871,0,0
SEV_MV,D,20110831,000000,11.123,11.123,9.885,9.885,0,0
SEV_MV,D,20110901,000000,9.634,9.634,7.7719,9.568,0,0
SEV_MV,D,20110902,000000,9.196,9.2612,9.196,9.196,0,0
SEV_MV,D,20110905,000000,9.82,9.82,9.82,9.82,0,0
SEV_MV,D,20110906,000000,9.82,9.82,9.0098,9.0098,0,0
SEV_MV,D,20110907,000000,9.317,9.317,8.7027,8.7027,0,0
SEV_MV,D,20110908,000000,9.634,9.634,8.0791,8.0791,0,0
SEV_MV,D,20110909,000000,9.634,9.634,7.7719,8.0791,0,0
SEV_MV,D,20110912,000000,9.2612,9.2612,8.7027,8.7027,0,0
SEV_MV,D,20110913,000000,9.2612,9.2612,8.0791,9.0098,0,0
SEV_MV,D,20110914,000000,9.0098,9.0098,9.0098,9.0098,0,0
SEV_MV,D,20110915,000000,9.0098,9.0098,9.0098,9.0098,0,0
SEV_MV,D,20110916,000000,9.0098,9.0098,7.7719,9.0098,0,0
SEV_MV,D,20110919,000000,9.0098,9.0098,9.0098,9.0098,0,0
SEV_MV,D,20110920,000000,9.0098,9.0098,7.1483,7.1483,0,0
SEV_MV,D,20110921,000000,8.5724,8.5724,6.5247,6.8318,0,0
SEV_MV,D,20110922,000000,8.2001,8.2001,8.0791,8.0791,0,0
SEV_MV,D,20110923,000000,9.0098,9.0098,7.4555,7.7719,0,0
SEV_MV,D,20110926,000000,9.0098,9.0098,9.0098,9.0098,0,0
SEV_MV,D,20110927,000000,9.0098,9.0098,9.0098,9.0098,0,0
SEV_MV,D,20110928,000000,8.0791,9.0098,6.8318,8.9447,0,0
SEV_MV,D,20110929,000000,8.6375,8.6375,8.6375,8.6375,0,0
SEV_MV,D,20110930,000000,8.6375,8.6375,7.1483,8.5724,0,0
SEV_MV,D,20111003,000000,8.6375,8.6375,8.6375,8.6375,0,0
SEV_MV,D,20111004,000000,8.4514,8.4514,8.4514,8.4514,0,0
SEV_MV,D,20111005,000000,8.6375,8.6375,8.6375,8.6375,0,0
SEV_MV,D,20111006,000000,8.4514,8.4514,8.4514,8.4514,0,0
SEV_MV,D,20111007,000000,8.4514,8.4514,8.4514,8.4514,0,0
SEV_MV,D,20111010,000000,8.0139,8.0139,8.0139,8.0139,0,0
SEV_MV,D,20111011,000000,8.5724,8.5724,6.6457,7.7719,0,0
SEV_MV,D,20111012,000000,7.4555,7.4555,7.4555,7.4555,0,0
SEV_MV,D,20111013,000000,8.5724,8.5724,8.0791,8.0791,0,0
SEV_MV,D,20111014,000000,8.5724,8.5724,7.3996,8.0139,0,0
SEV_MV,D,20111017,000000,8.0139,8.0139,8.0139,8.0139,0,0
SEV_MV,D,20111018,000000,7.3996,7.3996,6.2734,6.897,0,0
SEV_MV,D,20111019,000000,6.2734,8.0791,6.2734,8.0791,0,0
SEV_MV,D,20111020,000000,7.8278,7.8278,7.8278,7.8278,0,0
SEV_MV,D,20111021,000000,7.8278,7.8278,6.2175,7.3996,0,0
SEV_MV,D,20111024,000000,7.7068,7.7068,6.1524,6.1524,0,0
SEV_MV,D,20111025,000000,5.9662,7.1483,5.9011,5.9011,0,0
SEV_MV,D,20111026,000000,6.9622,6.9622,6.4595,6.4595,0,0
SEV_MV,D,20111027,000000,6.9622,6.9622,6.4037,6.7108,0,0
SEV_MV,D,20111028,000000,6.2175,6.2175,6.1524,6.2175,0,0
SEV_MV,D,20111031,000000,6.2175,6.2175,5.2216,5.3426,0,0
SEV_MV,D,20111102,000000,5.3426,5.3426,5.3426,5.3426,0,0
SEV_MV,D,20111103,000000,6.4037,6.4037,5.3426,5.3426,0,0
SEV_MV,D,20111104,000000,6.2175,6.4037,5.2216,6.4037,0,0
SEV_MV,D,20111107,000000,6.4037,6.4037,6.1524,6.1524,0,0
SEV_MV,D,20111108,000000,6.9622,6.9622,5.5939,6.4595,0,0
SEV_MV,D,20111109,000000,6.4595,6.4595,5.2216,5.4729,0,0
SEV_MV,D,20111110,000000,6.0872,6.0872,5.2868,5.8452,0,0
SEV_MV,D,20111114,000000,5.9011,5.9011,5.9011,5.9011,0,0
SEV_MV,D,20111115,000000,5.9011,6.0872,5.5288,5.9011,0,0
SEV_MV,D,20111116,000000,5.3426,6.1524,5.3426,6.1524,0,0
SEV_MV,D,20111117,000000,6.2175,6.2175,5.4729,6.2175,0,0
