<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THD_PB,D,20180416,000000,5.17,5.17,5.17,5.17,0,0
THD_PB,D,20180417,000000,5.25,5.5,4.32,4.65,0,0
THD_PB,D,20180418,000000,4.7,4.7,4.22,4.34,0,0
THD_PB,D,20180419,000000,4.55,4.55,4.25,4.34,0,0
THD_PB,D,20180420,000000,4.54,4.54,4.16,4.4,0,0
THD_PB,D,20180423,000000,4.4,4.4,4.4,4.4,0,0
THD_PB,D,20180424,000000,4.4,4.59,4.17,4.59,0,0
THD_PB,D,20180425,000000,4.57,4.57,4.57,4.57,0,0
THD_PB,D,20180426,000000,4.57,4.57,4.57,4.57,0,0
THD_PB,D,20180427,000000,4.57,4.57,4.4,4.43,0,0
THD_PB,D,20180430,000000,4.43,4.43,4.4,4.4,0,0
THD_PB,D,20180502,000000,4.4,4.4,4.4,4.4,0,0
THD_PB,D,20180504,000000,4.4,4.4,4.4,4.4,0,0
THD_PB,D,20180507,000000,4.4,4.4,4.4,4.4,0,0
THD_PB,D,20180508,000000,4.4,4.4,4.39,4.39,0,0
THD_PB,D,20180509,000000,4.39,4.39,3.98,3.98,0,0
THD_PB,D,20180510,000000,4.28,4.28,3.98,3.98,0,0
THD_PB,D,20180511,000000,3.98,4.31,3.98,4.31,0,0
THD_PB,D,20180514,000000,4.38,4.38,3.67,3.67,0,0
THD_PB,D,20180515,000000,3.97,3.98,3.95,3.95,0,0
THD_PB,D,20180516,000000,3.93,3.93,3.91,3.91,0,0
THD_PB,D,20180517,000000,3.88,3.88,3.85,3.85,0,0
THD_PB,D,20180518,000000,3.66,3.66,3.64,3.64,0,0
THD_PB,D,20180521,000000,3.88,4.06,3.84,4.06,0,0
THD_PB,D,20180522,000000,4.04,4.04,3.36,3.87,0,0
THD_PB,D,20180523,000000,3.36,3.86,2.87,2.95,0,0
THD_PB,D,20180524,000000,2.95,3.1,2.81,2.81,0,0
THD_PB,D,20180525,000000,3.1,3.1,2.62,2.92,0,0
THD_PB,D,20180528,000000,2.84,2.94,2.49,2.88,0,0
THD_PB,D,20180529,000000,2.92,2.92,2.92,2.92,0,0
