<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALR1221.PL,D,20171219,000000,104.21,104.21,104,104,166,0
ALR1221.PL,D,20171220,000000,103,103,100.05,100.05,500,0
ALR1221.PL,D,20171222,000000,103,105.98,103,105.98,103,0
ALR1221.PL,D,20171228,000000,105,105,105,105,7,0
ALR1221.PL,D,20180109,000000,105.7,105.7,105.7,105.7,4,0
ALR1221.PL,D,20180110,000000,105.69,105.69,105.69,105.69,3,0
ALR1221.PL,D,20180116,000000,105.62,105.62,103.6,103.6,6,0
ALR1221.PL,D,20180119,000000,105.5,105.5,105.5,105.5,3,0
ALR1221.PL,D,20180126,000000,104,104,104,104,10,0
ALR1221.PL,D,20180129,000000,105.4,105.4,105.3,105.3,11,0
ALR1221.PL,D,20180202,000000,104.5,104.5,104.5,104.5,20,0
ALR1221.PL,D,20180209,000000,104.15,104.15,104.15,104.15,10,0
ALR1221.PL,D,20180215,000000,104.2,104.2,104.2,104.2,55,0
ALR1221.PL,D,20180216,000000,104.01,104.01,104,104,20,0
ALR1221.PL,D,20180219,000000,104.2,104.25,104.2,104.25,210,0
ALR1221.PL,D,20180221,000000,104.29,104.3,104.29,104.29,60,0
ALR1221.PL,D,20180222,000000,104.21,104.21,104.21,104.21,5,0
ALR1221.PL,D,20180223,000000,104.16,104.16,104.16,104.16,10,0
ALR1221.PL,D,20180226,000000,104.17,104.97,104.17,104.97,36,0
ALR1221.PL,D,20180227,000000,104.9,104.9,104.9,104.9,2,0
ALR1221.PL,D,20180228,000000,104.01,104.01,104,104,60,0
ALR1221.PL,D,20180301,000000,104,104,104,104,3,0
ALR1221.PL,D,20180302,000000,104.1,104.15,104,104,16,0
ALR1221.PL,D,20180305,000000,104.37,104.37,104.37,104.37,3,0
ALR1221.PL,D,20180306,000000,104.25,104.25,104.1,104.1,11,0
ALR1221.PL,D,20180308,000000,104,104,103.91,104,29,0
ALR1221.PL,D,20180309,000000,103.98,103.99,103.98,103.99,20,0
ALR1221.PL,D,20180312,000000,104,104,103.53,104,172,0
ALR1221.PL,D,20180313,000000,103.99,104,103.7,104,892,0
ALR1221.PL,D,20180314,000000,104.27,104.27,104.27,104.27,100,0
ALR1221.PL,D,20180315,000000,104.87,104.87,104.87,104.87,75,0
ALR1221.PL,D,20180319,000000,104.85,104.85,104.85,104.85,5,0
ALR1221.PL,D,20180322,000000,104.83,104.83,104.83,104.83,7,0
ALR1221.PL,D,20180327,000000,104.9,105.1,104.9,105.1,18,0
ALR1221.PL,D,20180403,000000,105,105,105,105,2,0
ALR1221.PL,D,20180404,000000,105.06,105.06,105.06,105.06,3,0
ALR1221.PL,D,20180406,000000,105.02,105.04,105.02,105.04,115,0
ALR1221.PL,D,20180409,000000,104.99,104.99,104.99,104.99,47,0
ALR1221.PL,D,20180410,000000,104.75,104.75,104.75,104.75,5,0
ALR1221.PL,D,20180417,000000,104.49,104.49,104.31,104.31,15,0
ALR1221.PL,D,20180418,000000,104.48,104.5,104.48,104.5,1007,0
ALR1221.PL,D,20180424,000000,104.98,104.98,104.12,104.12,21,0
ALR1221.PL,D,20180426,000000,104.11,104.11,104.11,104.11,40,0
ALR1221.PL,D,20180427,000000,103.5,104,103.5,104,219,0
ALR1221.PL,D,20180430,000000,104.38,104.38,104.38,104.38,1,0
ALR1221.PL,D,20180504,000000,104,104,104,104,27,0
ALR1221.PL,D,20180508,000000,103.99,104,103.99,104,12,0
ALR1221.PL,D,20180509,000000,103.99,103.99,103.99,103.99,5,0
ALR1221.PL,D,20180510,000000,104,104,104,104,157,0
ALR1221.PL,D,20180511,000000,104,104.98,104,104.98,61,0
ALR1221.PL,D,20180516,000000,103.99,104,103.99,104,151,0
ALR1221.PL,D,20180517,000000,104.5,104.5,104.5,104.5,30,0
ALR1221.PL,D,20180521,000000,103.5,103.5,103.5,103.5,100,0
ALR1221.PL,D,20180524,000000,103.26,104.69,103.26,104.69,8,0
ALR1221.PL,D,20180530,000000,104.63,104.63,104.63,104.63,4,0
ALR1221.PL,D,20180604,000000,104.1,104.1,100.3,104,210,0
ALR1221.PL,D,20180605,000000,104.64,104.84,104.64,104.84,95,0
ALR1221.PL,D,20180606,000000,104.89,104.89,104.89,104.89,95,0
ALR1221.PL,D,20180611,000000,103.65,103.65,101.5,101.5,150,0
ALR1221.PL,D,20180618,000000,103.11,103.11,103.11,103.11,100,0
ALR1221.PL,D,20180619,000000,103.3,103.3,103.3,103.3,110,0
ALR1221.PL,D,20180620,000000,103.5,103.5,103.5,103.5,100,0
ALR1221.PL,D,20180622,000000,103.8,103.8,103.8,103.8,2,0
ALR1221.PL,D,20180625,000000,103.35,103.35,103.2,103.2,40,0
ALR1221.PL,D,20180626,000000,103.8,103.8,103.8,103.8,8,0
ALR1221.PL,D,20180627,000000,103.46,104.24,103.46,104.24,137,0
ALR1221.PL,D,20180628,000000,104.1,104.1,104.1,104.1,3,0
ALR1221.PL,D,20180629,000000,104.24,104.5,104.24,104.5,42,0
ALR1221.PL,D,20180702,000000,104.47,104.47,104.47,104.47,10,0
ALR1221.PL,D,20180711,000000,104.47,104.47,104.47,104.47,150,0
ALR1221.PL,D,20180716,000000,104.47,104.47,104.47,104.47,4,0
ALR1221.PL,D,20180719,000000,104.87,104.87,104.87,104.87,35,0
ALR1221.PL,D,20180723,000000,104.83,105.5,104.83,105.5,100,0
ALR1221.PL,D,20180801,000000,103.66,103.66,103.66,103.66,50,0
ALR1221.PL,D,20180806,000000,105.18,105.18,105.18,105.18,10,0
ALR1221.PL,D,20180807,000000,105,105,105,105,82,0
ALR1221.PL,D,20180903,000000,105.17,105.17,105.17,105.17,12,0
ALR1221.PL,D,20180910,000000,105,105,105,105,32,0
ALR1221.PL,D,20180911,000000,104.99,105,104.99,105,65,0
ALR1221.PL,D,20180924,000000,105.5,105.5,105.5,105.5,10,0
ALR1221.PL,D,20181003,000000,104.1,104.1,104.1,104.1,15,0
ALR1221.PL,D,20181016,000000,103.8,103.8,103.8,103.8,10,0
ALR1221.PL,D,20181017,000000,103.8,103.8,103.8,103.8,10,0
ALR1221.PL,D,20181120,000000,103.5,103.5,103.5,103.5,50,0
ALR1221.PL,D,20181129,000000,103,103.01,103,103,123,0
ALR1221.PL,D,20181130,000000,103,103,103,103,137,0
ALR1221.PL,D,20181204,000000,103.7,103.7,103.7,103.7,2,0
ALR1221.PL,D,20181205,000000,103.7,103.79,103.7,103.79,17,0
ALR1221.PL,D,20181206,000000,103.89,103.98,103.89,103.98,5,0
ALR1221.PL,D,20181207,000000,103.97,103.97,103.97,103.97,1,0
ALR1221.PL,D,20181211,000000,103.95,103.95,103.95,103.95,19,0
ALR1221.PL,D,20181218,000000,103.11,103.11,103,103,41,0
ALR1221.PL,D,20181220,000000,103.02,103.02,103,103,50,0
ALR1221.PL,D,20181221,000000,103.02,103.02,103,103,100,0
ALR1221.PL,D,20181227,000000,103,103,103,103,53,0
ALR1221.PL,D,20181228,000000,103.01,103.5,103,103.5,50,0
ALR1221.PL,D,20190103,000000,103.1,103.3,103.01,103.3,144,0
ALR1221.PL,D,20190107,000000,104.24,104.24,103.02,103.02,57,0
ALR1221.PL,D,20190110,000000,103.1,103.1,103,103,162,0
ALR1221.PL,D,20190114,000000,103.2,103.2,103.2,103.2,15,0
ALR1221.PL,D,20190116,000000,103.2,103.2,103.2,103.2,30,0
ALR1221.PL,D,20190118,000000,103.19,103.2,103.19,103.2,210,0
ALR1221.PL,D,20190121,000000,103.5,103.5,103.5,103.5,2,0
ALR1221.PL,D,20190123,000000,103.01,103.01,103,103,45,0
ALR1221.PL,D,20190124,000000,103,103,103,103,23,0
ALR1221.PL,D,20190125,000000,103.75,103.77,103.75,103.77,100,0
ALR1221.PL,D,20190128,000000,103.71,103.71,103.71,103.71,10,0
ALR1221.PL,D,20190201,000000,103.7,103.7,103.7,103.7,5,0
ALR1221.PL,D,20190204,000000,103.77,103.77,103.77,103.77,10,0
ALR1221.PL,D,20190206,000000,103.95,103.95,103.95,103.95,1,0
ALR1221.PL,D,20190211,000000,103.95,103.96,103.95,103.96,10,0
ALR1221.PL,D,20190212,000000,103.99,104.2,103.99,104.2,163,0
ALR1221.PL,D,20190214,000000,104,104.2,104,104.2,209,0
ALR1221.PL,D,20190222,000000,103.55,103.55,103.55,103.55,220,0
ALR1221.PL,D,20190226,000000,104,104,104,104,20,0
ALR1221.PL,D,20190401,000000,103.51,104.5,103.51,104.5,60,0
ALR1221.PL,D,20190405,000000,103.51,104.5,103.51,104.5,60,0
ALR1221.PL,D,20190408,000000,104.5,104.5,104.5,104.5,32,0
ALR1221.PL,D,20190409,000000,104.5,104.5,104.5,104.5,23,0
ALR1221.PL,D,20190411,000000,104.5,104.5,104,104,17,0
ALR1221.PL,D,20190412,000000,103.91,103.91,103.75,103.75,700,0
ALR1221.PL,D,20190417,000000,104.74,104.74,104.74,104.74,327,0
ALR1221.PL,D,20190424,000000,104.06,104.06,104.06,104.06,1,0
ALR1221.PL,D,20190425,000000,104.74,104.75,104.7,104.7,108,0
ALR1221.PL,D,20190502,000000,104.62,104.62,104.62,104.62,8,0
ALR1221.PL,D,20190506,000000,104.88,104.88,104.88,104.88,2,0
ALR1221.PL,D,20190507,000000,104.84,104.84,104.84,104.84,4,0
ALR1221.PL,D,20190508,000000,104.83,104.83,104.83,104.83,4,0
ALR1221.PL,D,20190509,000000,104.82,104.82,104.82,104.82,1,0
ALR1221.PL,D,20190529,000000,104.8,104.8,104.8,104.8,2,0
ALR1221.PL,D,20190605,000000,105.2,105.4,105.2,105.4,90,0
ALR1221.PL,D,20190617,000000,105.2,105.2,105.2,105.2,1,0
ALR1221.PL,D,20190627,000000,105.2,105.2,105.2,105.2,1,0
ALR1221.PL,D,20190719,000000,104.1,104.1,104,104,100,0
ALR1221.PL,D,20190730,000000,104.84,104.88,104.84,104.88,100,0
ALR1221.PL,D,20190819,000000,104.89,105.6,104.89,105.6,117,0
ALR1221.PL,D,20190903,000000,103.6,103.6,103.5,103.5,39,0
ALR1221.PL,D,20190909,000000,103.5,103.5,103.4,103.4,140,0
ALR1221.PL,D,20190919,000000,104.16,104.16,104.16,104.16,2,0
ALR1221.PL,D,20190923,000000,103.6,103.6,103.6,103.6,15,0
ALR1221.PL,D,20190927,000000,103.01,103.01,103,103,115,0
ALR1221.PL,D,20191004,000000,102.01,102.01,102,102,35,0
ALR1221.PL,D,20191010,000000,102.35,102.35,102,102,50,0
ALR1221.PL,D,20191014,000000,103,103,103,103,7,0
ALR1221.PL,D,20191015,000000,103,103,103,103,3,0
ALR1221.PL,D,20191017,000000,103,103,103,103,12,0
ALR1221.PL,D,20191018,000000,103,103,103,103,40,0
ALR1221.PL,D,20191025,000000,102.5,102.5,102,102,167,0
ALR1221.PL,D,20191030,000000,101.8,101.8,101.22,101.22,110,0
ALR1221.PL,D,20191105,000000,101.48,101.48,101.48,101.48,15,0
ALR1221.PL,D,20191106,000000,101.48,101.48,101.48,101.48,213,0
ALR1221.PL,D,20191107,000000,101.58,102.09,101.58,102.09,230,0
ALR1221.PL,D,20191112,000000,101.8,101.8,101.8,101.8,25,0
ALR1221.PL,D,20191115,000000,101.58,101.8,101.58,101.8,413,0
ALR1221.PL,D,20191119,000000,101.48,101.48,101.48,101.48,222,0
ALR1221.PL,D,20191120,000000,102,102,101.68,101.8,444,0
ALR1221.PL,D,20191121,000000,101.58,101.78,101.5,101.78,896,0
ALR1221.PL,D,20191122,000000,101.68,101.68,101.68,101.68,43,0
ALR1221.PL,D,20191125,000000,101.68,102,101.68,102,801,0
ALR1221.PL,D,20191126,000000,102.75,102.75,102.75,102.75,5,0
ALR1221.PL,D,20191127,000000,102.75,102.75,102.75,102.75,3,0
ALR1221.PL,D,20191129,000000,101.9,101.9,101.9,101.9,2,0
ALR1221.PL,D,20191202,000000,103.12,103.14,103.12,103.14,3,0
ALR1221.PL,D,20191203,000000,103.14,103.14,103.14,103.14,5,0
ALR1221.PL,D,20191206,000000,102.7,102.7,102.7,102.7,4,0
ALR1221.PL,D,20191210,000000,102.7,102.7,102.7,102.7,5,0
ALR1221.PL,D,20191211,000000,102.7,102.7,102.7,102.7,5,0
ALR1221.PL,D,20191217,000000,102.99,102.99,102.99,102.99,6,0
ALR1221.PL,D,20191218,000000,102.99,102.99,102.99,102.99,30,0
ALR1221.PL,D,20191220,000000,102.07,102.07,102,102,100,0
ALR1221.PL,D,20191223,000000,102.01,102.01,102.01,102.01,2,0
ALR1221.PL,D,20191227,000000,102.97,102.97,102.97,102.97,5,0
ALR1221.PL,D,20200102,000000,102.5,102.5,102.5,102.5,160,0
ALR1221.PL,D,20200108,000000,102.55,102.55,102.55,102.55,217,0
ALR1221.PL,D,20200109,000000,102.53,102.53,102.53,102.53,10,0
ALR1221.PL,D,20200110,000000,102.91,102.91,102.91,102.91,2,0
ALR1221.PL,D,20200115,000000,102.86,102.86,102.86,102.86,3,0
ALR1221.PL,D,20200116,000000,102.82,102.83,102.82,102.83,51,0
ALR1221.PL,D,20200120,000000,102,102,102,102,15,0
ALR1221.PL,D,20200203,000000,102.2,102.2,102.2,102.2,2,0
ALR1221.PL,D,20200214,000000,102.7,102.7,102.7,102.7,2,0
ALR1221.PL,D,20200218,000000,102.5,102.5,102.5,102.5,4,0
ALR1221.PL,D,20200221,000000,102.59,102.59,102.59,102.59,10,0
ALR1221.PL,D,20200224,000000,102.57,102.57,102.57,102.57,20,0
ALR1221.PL,D,20200225,000000,102.4,102.4,102.4,102.4,54,0
ALR1221.PL,D,20200227,000000,102.31,102.31,102.31,102.31,8,0
ALR1221.PL,D,20200228,000000,102,102,102,102,4,0
ALR1221.PL,D,20200302,000000,102,102,101.5,101.5,106,0
ALR1221.PL,D,20200303,000000,102,102,102,102,6,0
ALR1221.PL,D,20200304,000000,101,101,101,101,47,0
ALR1221.PL,D,20200306,000000,101.08,101.08,101.07,101.07,86,0
ALR1221.PL,D,20200309,000000,101.7,101.7,101,101.45,58,0
ALR1221.PL,D,20200311,000000,101.4,101.4,101.4,101.4,8,0
ALR1221.PL,D,20200312,000000,100.7,100.7,100.1,100.11,5,0
ALR1221.PL,D,20200316,000000,99.5,99.5,99,99,43,0
ALR1221.PL,D,20200320,000000,97,97,97,97,1,0
ALR1221.PL,D,20200323,000000,97,97,97,97,1,0
ALR1221.PL,D,20200326,000000,98,98,98,98,10,0
ALR1221.PL,D,20200327,000000,97,97,92,95,56,0
ALR1221.PL,D,20200330,000000,95.03,95.03,95.03,95.03,30,0
ALR1221.PL,D,20200331,000000,97.7,98.5,97.7,98.5,55,0
ALR1221.PL,D,20200401,000000,99.4,99.4,99.4,99.4,3,0
ALR1221.PL,D,20200406,000000,99.4,99.4,99.4,99.4,2,0
ALR1221.PL,D,20200408,000000,99.7,99.7,99.7,99.7,10,0
ALR1221.PL,D,20200415,000000,99.89,100,99.89,100,30,0
ALR1221.PL,D,20200416,000000,99.99,100,99.99,100,10,0
ALR1221.PL,D,20200507,000000,100.2,100.2,100.2,100.2,4,0
ALR1221.PL,D,20200511,000000,100.5,100.5,100.5,100.5,10,0
ALR1221.PL,D,20200515,000000,100.5,100.9,100.5,100.9,50,0
ALR1221.PL,D,20200519,000000,100.8,100.9,100.8,100.9,32,0
ALR1221.PL,D,20200529,000000,101,101,101,101,4,0
ALR1221.PL,D,20200603,000000,100.9,100.9,100.9,100.9,20,0
ALR1221.PL,D,20200630,000000,101.5,101.8,101.5,101.8,876,0
ALR1221.PL,D,20200804,000000,102.3,102.3,102.3,102.3,22,0
ALR1221.PL,D,20200831,000000,101.3,101.3,100,100,20,0
ALR1221.PL,D,20200901,000000,101,102,101,102,120,0
ALR1221.PL,D,20201013,000000,102,102,102,102,10,0
ALR1221.PL,D,20201016,000000,101.31,101.31,101.31,101.31,5,0
