<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAP0621.PL,D,20180720,000000,100,100,100,100,2500,0
CAP0621.PL,D,20180905,000000,100,100,100,100,950,0
CAP0621.PL,D,20180907,000000,100.3,100.3,100.3,100.3,1000,0
CAP0621.PL,D,20181012,000000,100.3,100.3,100.3,100.3,590,0
CAP0621.PL,D,20181015,000000,100,100,100,100,300,0
CAP0621.PL,D,20181024,000000,100,100,100,100,1000,0
CAP0621.PL,D,20190118,000000,100,100,100,100,1000,0
CAP0621.PL,D,20190311,000000,100,100,100,100,2000,0
CAP0621.PL,D,20190329,000000,99.5,99.5,99.5,99.5,5690,0
CAP0621.PL,D,20190405,000000,99.5,99.5,99.5,99.5,5690,0
CAP0621.PL,D,20190627,000000,99.5,99.5,99.5,99.5,5690,0
CAP0621.PL,D,20191211,000000,99.5,99.5,99.5,99.5,5690,0
