<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEK0321.PL,D,20180417,000000,101,101.6,101,101,42,0
DEK0321.PL,D,20180418,000000,101.54,101.54,101.54,101.54,3,0
DEK0321.PL,D,20180424,000000,101.54,101.54,101.54,101.54,7,0
DEK0321.PL,D,20180502,000000,102.17,102.17,102.17,102.17,1,0
DEK0321.PL,D,20180504,000000,101.87,101.87,101.87,101.87,10,0
DEK0321.PL,D,20180509,000000,101.5,101.5,101.5,101.5,15,0
DEK0321.PL,D,20180510,000000,101.5,101.5,101.5,101.5,6,0
DEK0321.PL,D,20180514,000000,101.4,101.4,101.4,101.4,7,0
DEK0321.PL,D,20180516,000000,101.4,101.4,101.4,101.4,3,0
DEK0321.PL,D,20180517,000000,100.5,100.5,100.5,100.5,20,0
DEK0321.PL,D,20180518,000000,100.5,100.5,100.5,100.5,130,0
DEK0321.PL,D,20180522,000000,100.6,100.6,100.5,100.5,40,0
DEK0321.PL,D,20180605,000000,100.5,100.5,100.5,100.5,3,0
DEK0321.PL,D,20180607,000000,100.5,100.5,100.5,100.5,1,0
DEK0321.PL,D,20180611,000000,100.5,100.5,100.5,100.5,10,0
DEK0321.PL,D,20180613,000000,100.5,100.6,100.5,100.6,42,0
DEK0321.PL,D,20180614,000000,100.42,100.42,100.1,100.1,27,0
DEK0321.PL,D,20180615,000000,100.6,100.6,100.6,100.6,12,0
DEK0321.PL,D,20180706,000000,100.3,100.3,100.3,100.3,11,0
DEK0321.PL,D,20180709,000000,100.3,100.3,100.3,100.3,3,0
DEK0321.PL,D,20180711,000000,100.29,100.54,100.29,100.54,23,0
DEK0321.PL,D,20180712,000000,100.3,100.3,100.3,100.3,3,0
DEK0321.PL,D,20180717,000000,100.52,100.52,100.52,100.52,4,0
DEK0321.PL,D,20180720,000000,100.52,100.52,100.52,100.52,16,0
DEK0321.PL,D,20180723,000000,100.53,100.53,100.53,100.53,3,0
DEK0321.PL,D,20180724,000000,100.53,100.53,100.53,100.53,7,0
DEK0321.PL,D,20180726,000000,100.5,100.5,100.5,100.5,5,0
DEK0321.PL,D,20180727,000000,100.01,100.01,100.01,100.01,20,0
DEK0321.PL,D,20180731,000000,100.02,100.02,100.02,100.02,25,0
DEK0321.PL,D,20180801,000000,100.02,100.02,100,100,139,0
DEK0321.PL,D,20180803,000000,100.5,100.5,100.5,100.5,3,0
DEK0321.PL,D,20180806,000000,100.5,100.5,100.5,100.5,1,0
DEK0321.PL,D,20180807,000000,100.5,100.5,100.5,100.5,11,0
DEK0321.PL,D,20180808,000000,100.5,100.5,100.5,100.5,7,0
DEK0321.PL,D,20180809,000000,100,100,100,100,23,0
DEK0321.PL,D,20180810,000000,100.43,100.43,100.43,100.43,16,0
DEK0321.PL,D,20180813,000000,100.43,100.43,100.43,100.43,3,0
DEK0321.PL,D,20180817,000000,100.4,100.4,100.4,100.4,5,0
DEK0321.PL,D,20180820,000000,100.4,100.45,100.4,100.45,42,0
DEK0321.PL,D,20180821,000000,100.45,100.45,100.4,100.4,39,0
DEK0321.PL,D,20180830,000000,100.35,100.4,100.35,100.4,14,0
DEK0321.PL,D,20180903,000000,100.35,100.35,100.35,100.35,10,0
DEK0321.PL,D,20180910,000000,100.39,100.39,100.38,100.38,5,0
DEK0321.PL,D,20180911,000000,100.38,100.38,100.38,100.38,2,0
DEK0321.PL,D,20180918,000000,99.8,99.8,99.8,99.8,3,0
DEK0321.PL,D,20180925,000000,99.7,99.7,99.7,99.7,8,0
DEK0321.PL,D,20180926,000000,99.8,99.8,99.8,99.8,119,0
DEK0321.PL,D,20180927,000000,99.8,99.8,99.79,99.79,36,0
DEK0321.PL,D,20181002,000000,99.8,99.8,99.8,99.8,5,0
DEK0321.PL,D,20181003,000000,99.8,99.8,99.8,99.8,12,0
DEK0321.PL,D,20181005,000000,99.8,99.8,99.8,99.8,2,0
DEK0321.PL,D,20181008,000000,99.8,99.8,99.8,99.8,25,0
DEK0321.PL,D,20181009,000000,100.1,100.1,100.1,100.1,7,0
DEK0321.PL,D,20181015,000000,100,100,99.7,99.7,3,0
DEK0321.PL,D,20181019,000000,99.85,99.85,99.85,99.85,3,0
DEK0321.PL,D,20181023,000000,99.8,99.8,99.8,99.8,28,0
DEK0321.PL,D,20181031,000000,99.98,99.98,99.98,99.98,5,0
DEK0321.PL,D,20181102,000000,99.95,99.95,99.95,99.95,5,0
DEK0321.PL,D,20181105,000000,99.95,99.95,99.95,99.95,9,0
DEK0321.PL,D,20181108,000000,100,100,99.99,100,38,0
DEK0321.PL,D,20181116,000000,99,99,99,99,20,0
DEK0321.PL,D,20181126,000000,99,99,99,99,4,0
DEK0321.PL,D,20181217,000000,99.6,99.6,99.6,99.6,2,0
DEK0321.PL,D,20181218,000000,99.6,99.6,99.6,99.6,9,0
DEK0321.PL,D,20181221,000000,99.8,99.8,99.8,99.8,5,0
DEK0321.PL,D,20181227,000000,99.6,99.6,99.6,99.6,5,0
DEK0321.PL,D,20190104,000000,99.6,99.6,99.6,99.6,7,0
DEK0321.PL,D,20190107,000000,99.5,99.5,99.5,99.5,5,0
DEK0321.PL,D,20190108,000000,99.3,99.3,99.3,99.3,37,0
DEK0321.PL,D,20190111,000000,99.3,99.3,99.3,99.3,2,0
DEK0321.PL,D,20190114,000000,99.3,99.3,99.3,99.3,5,0
DEK0321.PL,D,20190116,000000,99.3,99.3,99.3,99.3,6,0
DEK0321.PL,D,20190121,000000,99.3,99.3,99.3,99.3,3,0
DEK0321.PL,D,20190122,000000,99.15,99.3,99.15,99.3,35,0
DEK0321.PL,D,20190125,000000,99.3,99.3,99.3,99.3,4,0
DEK0321.PL,D,20190128,000000,99.3,99.3,99.3,99.3,3,0
DEK0321.PL,D,20190129,000000,99.3,99.3,99.3,99.3,2,0
DEK0321.PL,D,20190205,000000,99.3,99.3,99.3,99.3,5,0
DEK0321.PL,D,20190207,000000,99.3,99.3,99.3,99.3,33,0
DEK0321.PL,D,20190212,000000,99.3,99.3,99.3,99.3,4,0
DEK0321.PL,D,20190213,000000,99.3,99.3,99.3,99.3,2,0
DEK0321.PL,D,20190215,000000,99.3,99.3,99.3,99.3,16,0
DEK0321.PL,D,20190218,000000,99.3,99.3,99.3,99.3,82,0
DEK0321.PL,D,20190221,000000,99.11,99.11,99.11,99.11,3,0
DEK0321.PL,D,20190222,000000,99.29,99.29,99,99,13,0
DEK0321.PL,D,20190227,000000,99.2,99.2,99.2,99.2,4,0
DEK0321.PL,D,20190228,000000,99.25,99.3,99.25,99.3,37,0
DEK0321.PL,D,20190305,000000,99.3,99.3,99.3,99.3,4,0
DEK0321.PL,D,20190307,000000,99.3,99.3,99.3,99.3,5,0
DEK0321.PL,D,20190311,000000,99.89,99.89,99.89,99.89,2,0
DEK0321.PL,D,20190313,000000,99.3,99.3,99.3,99.3,3,0
DEK0321.PL,D,20190315,000000,99.3,99.3,99.3,99.3,10,0
DEK0321.PL,D,20190318,000000,99.3,99.3,99.3,99.3,4,0
DEK0321.PL,D,20190320,000000,99.3,99.3,99.3,99.3,3,0
DEK0321.PL,D,20190322,000000,99.3,99.3,99.3,99.3,3,0
DEK0321.PL,D,20190327,000000,99.3,99.3,99.3,99.3,5,0
DEK0321.PL,D,20190328,000000,99.3,99.3,99.3,99.3,65,0
DEK0321.PL,D,20190401,000000,99.3,99.3,99.3,99.3,5,0
DEK0321.PL,D,20190403,000000,99.29,99.29,99.29,99.29,1,0
DEK0321.PL,D,20190404,000000,99.29,99.3,99.29,99.3,3,0
DEK0321.PL,D,20190405,000000,99.29,99.3,99.29,99.3,3,0
DEK0321.PL,D,20190409,000000,99.3,99.3,99.3,99.3,2,0
DEK0321.PL,D,20190410,000000,99.3,99.3,99.3,99.3,10,0
DEK0321.PL,D,20190415,000000,99.3,99.3,99.3,99.3,2,0
DEK0321.PL,D,20190416,000000,99.3,99.3,99.3,99.3,8,0
DEK0321.PL,D,20190417,000000,99.28,99.28,99.28,99.28,6,0
DEK0321.PL,D,20190418,000000,99.28,99.28,99.28,99.28,4,0
DEK0321.PL,D,20190423,000000,99,99,99,99,5,0
DEK0321.PL,D,20190424,000000,99,99,99,99,15,0
DEK0321.PL,D,20190425,000000,99,99,99,99,16,0
DEK0321.PL,D,20190426,000000,99,99,99,99,34,0
DEK0321.PL,D,20190429,000000,99.28,99.3,99.28,99.3,23,0
DEK0321.PL,D,20190430,000000,99.3,99.3,99.3,99.3,56,0
DEK0321.PL,D,20190502,000000,99.3,99.3,99.29,99.3,52,0
DEK0321.PL,D,20190506,000000,99.3,99.3,99.3,99.3,72,0
DEK0321.PL,D,20190507,000000,99.3,99.4,99.3,99.4,48,0
DEK0321.PL,D,20190508,000000,99.4,99.61,99.4,99.5,49,0
DEK0321.PL,D,20190509,000000,99.5,99.5,99.5,99.5,37,0
DEK0321.PL,D,20190510,000000,99.55,99.55,99.5,99.5,117,0
DEK0321.PL,D,20190513,000000,99.5,99.5,99.5,99.5,24,0
DEK0321.PL,D,20190515,000000,99.5,99.5,99.5,99.5,2,0
DEK0321.PL,D,20190524,000000,99.92,99.92,99.92,99.92,4,0
DEK0321.PL,D,20190527,000000,99,99,98.5,98.9,77,0
DEK0321.PL,D,20190528,000000,98.5,98.9,97.97,98.8,68,0
DEK0321.PL,D,20190529,000000,98.15,98.4,94,98.4,19,0
DEK0321.PL,D,20190531,000000,98,98,98,98,1,0
DEK0321.PL,D,20190605,000000,98.79,98.79,93.85,96.6,42,0
DEK0321.PL,D,20190606,000000,96.9,96.95,96.48,96.6,38,0
DEK0321.PL,D,20190607,000000,96.6,96.6,92,93,38,0
DEK0321.PL,D,20190610,000000,95.9,95.9,95.9,95.9,1,0
DEK0321.PL,D,20190611,000000,96.94,96.94,96.94,96.94,3,0
DEK0321.PL,D,20190612,000000,96.2,96.45,96.2,96.45,11,0
DEK0321.PL,D,20190613,000000,95,96.5,95,96.5,23,0
DEK0321.PL,D,20190614,000000,96.5,96.5,96.49,96.5,48,0
DEK0321.PL,D,20190617,000000,96.5,96.5,96.5,96.5,30,0
DEK0321.PL,D,20190618,000000,96,96,94.59,94.59,3,0
DEK0321.PL,D,20190621,000000,95.02,95.02,95.02,95.02,1,0
DEK0321.PL,D,20190625,000000,96.49,96.5,95.6,95.6,10,0
DEK0321.PL,D,20190626,000000,95.02,95.02,95,95,24,0
DEK0321.PL,D,20190627,000000,95.02,95.02,95,95,24,0
DEK0321.PL,D,20190703,000000,96.45,96.45,96,96,3,0
DEK0321.PL,D,20190704,000000,96.44,96.5,96.44,96.5,13,0
DEK0321.PL,D,20190705,000000,96.5,96.5,96.5,96.5,5,0
DEK0321.PL,D,20190708,000000,91.5,96.5,91.5,96.5,6,0
DEK0321.PL,D,20190709,000000,96.5,96.5,96,96,35,0
