<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVL0222.PL,D,20180628,000000,100.15,100.15,100.15,100.15,5,0
DVL0222.PL,D,20180820,000000,105,105,105,105,1,0
DVL0222.PL,D,20181019,000000,100.1,100.1,100.1,100.1,57,0
DVL0222.PL,D,20181022,000000,100.1,100.1,100.1,100.1,5,0
DVL0222.PL,D,20181102,000000,100.1,100.1,100.1,100.1,3,0
DVL0222.PL,D,20181106,000000,100.1,100.1,100.1,100.1,5,0
DVL0222.PL,D,20181128,000000,100.45,100.45,100.45,100.45,50,0
DVL0222.PL,D,20181217,000000,101.5,101.5,101.5,101.5,3,0
DVL0222.PL,D,20190104,000000,100,100,100,100,20,0
DVL0222.PL,D,20190114,000000,99.7,99.7,99.7,99.7,10,0
DVL0222.PL,D,20190121,000000,99.5,99.5,99.5,99.5,5,0
DVL0222.PL,D,20190405,000000,99.5,99.5,99.5,99.5,5,0
DVL0222.PL,D,20190614,000000,100,100,100,100,24,0
DVL0222.PL,D,20190627,000000,100,100,100,100,24,0
DVL0222.PL,D,20190703,000000,100.2,100.2,100.2,100.2,100,0
DVL0222.PL,D,20190828,000000,95.2,100.2,95.2,100.2,6,0
DVL0222.PL,D,20190910,000000,100.2,100.2,100.2,100.2,9,0
DVL0222.PL,D,20190918,000000,100.2,100.2,100.2,100.2,5,0
DVL0222.PL,D,20191001,000000,100,100.8,95,100.8,22,0
DVL0222.PL,D,20191007,000000,100.72,100.72,100.72,100.72,1,0
DVL0222.PL,D,20191118,000000,100.7,100.7,100.7,100.7,4,0
DVL0222.PL,D,20191211,000000,100.7,100.7,100.7,100.7,4,0
DVL0222.PL,D,20191216,000000,100.7,100.7,100.7,100.7,2,0
DVL0222.PL,D,20200217,000000,101.4,101.4,101.4,101.4,4,0
DVL0222.PL,D,20200227,000000,100,100,100,100,4,0
DVL0222.PL,D,20200305,000000,100,100,100,100,15,0
DVL0222.PL,D,20200707,000000,101.05,101.05,100.98,100.98,5,0
DVL0222.PL,D,20200721,000000,98.06,100.95,98.06,100.95,6,0
DVL0222.PL,D,20200723,000000,100.95,100.95,100.95,100.95,4,0
