<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GHE0322.PL,D,20171221,000000,100.58,100.58,100.58,100.58,2,0
GHE0322.PL,D,20171222,000000,100.59,100.59,100.5,100.5,9,0
GHE0322.PL,D,20171228,000000,100.4,100.4,100.4,100.4,6,0
GHE0322.PL,D,20171229,000000,100.68,100.69,100.68,100.69,108,0
GHE0322.PL,D,20180103,000000,100.6,100.6,100.6,100.6,5,0
GHE0322.PL,D,20180104,000000,100.98,100.98,100.98,100.98,3,0
GHE0322.PL,D,20180105,000000,100.71,101.1,100.71,101.1,10,0
GHE0322.PL,D,20180109,000000,101.1,101.15,101.1,101.15,15,0
GHE0322.PL,D,20180112,000000,101.14,101.14,101.14,101.14,3,0
GHE0322.PL,D,20180115,000000,101.14,101.14,101.14,101.14,27,0
GHE0322.PL,D,20180116,000000,101.14,101.14,101.14,101.14,2,0
GHE0322.PL,D,20180118,000000,101.14,101.14,101.14,101.14,5,0
GHE0322.PL,D,20180119,000000,101.14,101.14,101.14,101.14,4,0
GHE0322.PL,D,20180126,000000,101.13,101.13,101.13,101.13,13,0
GHE0322.PL,D,20180129,000000,101.15,101.15,101.15,101.15,31,0
GHE0322.PL,D,20180130,000000,101.17,101.18,101.17,101.18,42,0
GHE0322.PL,D,20180202,000000,101.18,101.19,101.18,101.19,32,0
GHE0322.PL,D,20180206,000000,101.2,101.2,101.2,101.2,4,0
GHE0322.PL,D,20180207,000000,101.2,101.29,101.2,101.29,91,0
GHE0322.PL,D,20180212,000000,101.25,101.25,101.25,101.25,1,0
GHE0322.PL,D,20180214,000000,101.25,101.29,101.25,101.29,12,0
GHE0322.PL,D,20180216,000000,101.39,101.39,101.39,101.39,10,0
GHE0322.PL,D,20180219,000000,101.38,101.39,101.38,101.39,80,0
GHE0322.PL,D,20180223,000000,101.3,101.3,101.3,101.3,26,0
GHE0322.PL,D,20180226,000000,101.4,101.49,101.4,101.49,44,0
GHE0322.PL,D,20180227,000000,102,102,102,102,10,0
GHE0322.PL,D,20180307,000000,102.2,102.2,102.2,102.2,5,0
