<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HBS0122.PL,D,20171220,000000,101.5,101.5,101.5,101.5,5,0
HBS0122.PL,D,20171221,000000,101,101,101,101,10,0
HBS0122.PL,D,20171222,000000,100.6,100.6,100.5,100.5,25,0
HBS0122.PL,D,20171227,000000,100.99,100.99,100.99,100.99,70,0
HBS0122.PL,D,20171228,000000,100.99,100.99,100.99,100.99,3,0
HBS0122.PL,D,20180105,000000,101,101.8,101,101.8,5,0
HBS0122.PL,D,20180109,000000,101.99,101.99,101.95,101.99,16,0
HBS0122.PL,D,20180116,000000,101.99,101.99,101.99,101.99,40,0
HBS0122.PL,D,20180117,000000,101.99,101.99,101.99,101.99,3,0
HBS0122.PL,D,20180221,000000,102.35,102.35,102.35,102.35,10,0
HBS0122.PL,D,20180226,000000,102.35,102.35,102.35,102.35,2,0
HBS0122.PL,D,20180306,000000,102.28,102.33,102.28,102.33,55,0
HBS0122.PL,D,20180313,000000,102.35,102.35,102.35,102.35,2,0
HBS0122.PL,D,20180319,000000,102.35,102.35,102.35,102.35,1,0
HBS0122.PL,D,20180323,000000,102.35,102.35,102.35,102.35,2,0
HBS0122.PL,D,20180403,000000,102.35,102.35,102.35,102.35,28,0
HBS0122.PL,D,20180412,000000,102.33,102.33,102.33,102.33,20,0
HBS0122.PL,D,20180419,000000,102.35,102.35,102.35,102.35,1,0
HBS0122.PL,D,20180511,000000,100.6,100.6,100.6,100.6,200,0
HBS0122.PL,D,20180514,000000,100.6,100.6,100.6,100.6,35,0
HBS0122.PL,D,20180515,000000,100.6,100.6,100.6,100.6,20,0
HBS0122.PL,D,20180516,000000,100.59,100.59,100.59,100.59,4,0
HBS0122.PL,D,20180528,000000,100,100,100,100,12,0
HBS0122.PL,D,20180529,000000,100,100,100,100,19,0
HBS0122.PL,D,20180530,000000,100,100,100,100,50,0
HBS0122.PL,D,20180604,000000,100,100,100,100,146,0
HBS0122.PL,D,20180607,000000,100.45,100.5,100.45,100.5,405,0
HBS0122.PL,D,20180612,000000,100.5,100.5,100.5,100.5,5,0
HBS0122.PL,D,20180615,000000,100.5,100.5,100.5,100.5,10,0
HBS0122.PL,D,20180625,000000,100.5,100.5,100.5,100.5,91,0
HBS0122.PL,D,20180626,000000,100.25,100.25,100.25,100.25,100,0
HBS0122.PL,D,20180710,000000,102,102.6,100.5,100.5,276,0
HBS0122.PL,D,20180711,000000,100,100,100,100,100,0
HBS0122.PL,D,20180716,000000,100.5,100.5,100.5,100.5,75,0
HBS0122.PL,D,20180717,000000,100.5,100.5,100.5,100.5,4,0
HBS0122.PL,D,20180725,000000,99.5,99.5,99.5,99.5,3,0
HBS0122.PL,D,20180726,000000,101.8,101.8,101.8,101.8,4,0
HBS0122.PL,D,20180730,000000,101,101,101,101,6,0
HBS0122.PL,D,20180731,000000,101,101,101,101,5,0
HBS0122.PL,D,20180802,000000,101,101,101,101,5,0
HBS0122.PL,D,20180808,000000,100.2,100.2,100.2,100.2,34,0
HBS0122.PL,D,20180813,000000,101.7,101.8,101.7,101.8,10,0
HBS0122.PL,D,20180817,000000,100.5,100.5,100.22,100.22,185,0
HBS0122.PL,D,20180822,000000,101.75,101.75,101.75,101.75,2,0
