<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KME0720.PL,D,20180404,000000,101,101,101,101,100,0
KME0720.PL,D,20180406,000000,101,101,101,101,10,0
KME0720.PL,D,20180409,000000,101,101,101,101,90,0
KME0720.PL,D,20180410,000000,101,101.2,101,101.2,300,0
KME0720.PL,D,20180416,000000,101.1,101.1,101.1,101.1,50,0
KME0720.PL,D,20180419,000000,100,100,100,100,100,0
KME0720.PL,D,20180424,000000,99.51,99.51,98.1,98.1,111,0
KME0720.PL,D,20180430,000000,99.6,99.6,99.6,99.6,36,0
KME0720.PL,D,20180502,000000,100,100,100,100,101,0
KME0720.PL,D,20180504,000000,100,100,100,100,22,0
KME0720.PL,D,20180509,000000,100,100,100,100,52,0
KME0720.PL,D,20180516,000000,100.2,100.2,100.2,100.2,15,0
KME0720.PL,D,20180521,000000,99.8,99.8,99.8,99.8,101,0
KME0720.PL,D,20180522,000000,99.8,99.8,99.8,99.8,20,0
KME0720.PL,D,20180601,000000,100,100,100,100,10,0
KME0720.PL,D,20180605,000000,99.4,100.05,99.4,100.05,200,0
KME0720.PL,D,20180606,000000,100,100,100,100,50,0
KME0720.PL,D,20180607,000000,99.5,99.5,99.5,99.5,1,0
KME0720.PL,D,20180620,000000,98.3,98.3,98.3,98.3,10,0
KME0720.PL,D,20180703,000000,97.6,97.6,97.6,97.6,110,0
KME0720.PL,D,20180704,000000,97.6,97.6,97.6,97.6,110,0
KME0720.PL,D,20180709,000000,98,98,98,98,33,0
KME0720.PL,D,20180710,000000,98,98,98,98,20,0
KME0720.PL,D,20180712,000000,98.4,98.4,98.4,98.4,10,0
KME0720.PL,D,20180713,000000,98.4,98.6,98.4,98.6,54,0
KME0720.PL,D,20180716,000000,98.6,98.6,98.6,98.6,11,0
KME0720.PL,D,20180726,000000,98.6,98.7,98.6,98.7,29,0
KME0720.PL,D,20180727,000000,98.7,98.7,98.7,98.7,304,0
KME0720.PL,D,20180731,000000,99,99.36,99,99.36,110,0
KME0720.PL,D,20180801,000000,98.7,98.7,98.7,98.7,100,0
KME0720.PL,D,20180803,000000,99.35,99.35,99.35,99.35,100,0
KME0720.PL,D,20181005,000000,98,98,97.5,97.5,150,0
KME0720.PL,D,20181017,000000,98,98,98,98,100,0
KME0720.PL,D,20181030,000000,98,98,98,98,300,0
KME0720.PL,D,20181106,000000,98,98,98,98,500,0
KME0720.PL,D,20181116,000000,98,98,98,98,365,0
KME0720.PL,D,20181121,000000,98,98,98,98,37,0
KME0720.PL,D,20181122,000000,98,98,98,98,208,0
KME0720.PL,D,20181129,000000,98.2,98.2,98.2,98.2,27,0
KME0720.PL,D,20181218,000000,97.5,97.5,97.5,97.5,10,0
KME0720.PL,D,20181228,000000,99,99,99,99,1,0
KME0720.PL,D,20190103,000000,99.33,99.33,99.33,99.33,20,0
KME0720.PL,D,20190109,000000,98,98,98,98,50,0
KME0720.PL,D,20190111,000000,99,99,98,99,73,0
KME0720.PL,D,20190117,000000,99,99,99,99,100,0
KME0720.PL,D,20190124,000000,99,99,99,99,61,0
KME0720.PL,D,20190125,000000,99,99,99,99,30,0
KME0720.PL,D,20190128,000000,98.3,98.3,98.3,98.3,50,0
KME0720.PL,D,20190129,000000,98.3,98.3,98.3,98.3,50,0
KME0720.PL,D,20190130,000000,99,99,99,99,30,0
KME0720.PL,D,20190212,000000,99,99,99,99,108,0
KME0720.PL,D,20190228,000000,98.5,98.5,97.5,97.5,99,0
KME0720.PL,D,20190313,000000,98,98,98,98,26,0
KME0720.PL,D,20190314,000000,98,98,98,98,50,0
KME0720.PL,D,20190318,000000,98,98,98,98,65,0
KME0720.PL,D,20190320,000000,99,99,99,99,100,0
KME0720.PL,D,20190329,000000,99,99,99,99,16,0
KME0720.PL,D,20190402,000000,99,99,99,99,30,0
KME0720.PL,D,20190405,000000,99,99,99,99,30,0
KME0720.PL,D,20190408,000000,99,99,99,99,100,0
KME0720.PL,D,20190409,000000,99,99,99,99,27,0
KME0720.PL,D,20190416,000000,99,99,99,99,20,0
KME0720.PL,D,20190424,000000,99,99,99,99,5,0
KME0720.PL,D,20190426,000000,99,99,99,99,31,0
KME0720.PL,D,20190506,000000,99,99,99,99,164,0
KME0720.PL,D,20190523,000000,99.3,99.3,99.3,99.3,20,0
KME0720.PL,D,20190524,000000,99.3,99.3,99.3,99.3,10,0
KME0720.PL,D,20190528,000000,99.3,99.3,99.3,99.3,1,0
KME0720.PL,D,20190529,000000,99.3,99.34,99.3,99.34,114,0
KME0720.PL,D,20190530,000000,99.34,99.5,99.34,99.5,55,0
KME0720.PL,D,20190613,000000,99,99,99,99,137,0
KME0720.PL,D,20190621,000000,99,99.5,99,99.5,36,0
KME0720.PL,D,20190627,000000,99,99.5,99,99.5,36,0
KME0720.PL,D,20190715,000000,100,100,100,100,186,0
KME0720.PL,D,20190716,000000,100,100,100,100,531,0
KME0720.PL,D,20190717,000000,100,100,100,100,50,0
KME0720.PL,D,20190719,000000,100,100,100,100,200,0
KME0720.PL,D,20190722,000000,100,100,100,100,126,0
KME0720.PL,D,20190730,000000,100,100,100,100,10,0
KME0720.PL,D,20190731,000000,100,100,100,100,190,0
KME0720.PL,D,20190802,000000,100,100,100,100,30,0
KME0720.PL,D,20190805,000000,100,100,100,100,100,0
KME0720.PL,D,20190806,000000,100,100,100,100,40,0
KME0720.PL,D,20190813,000000,100,100,100,100,33,0
KME0720.PL,D,20190819,000000,100,100,100,100,10,0
KME0720.PL,D,20190826,000000,99.98,100,99.98,100,250,0
KME0720.PL,D,20190827,000000,100,100,100,100,56,0
KME0720.PL,D,20190829,000000,100,100,100,100,325,0
KME0720.PL,D,20190902,000000,99.51,99.51,99.51,99.51,50,0
KME0720.PL,D,20190903,000000,100.5,100.5,100.5,100.5,100,0
KME0720.PL,D,20190904,000000,100.5,100.5,100.5,100.5,30,0
KME0720.PL,D,20190930,000000,99.5,100,99.5,100,235,0
KME0720.PL,D,20191001,000000,100.5,100.5,100.5,100.5,15,0
KME0720.PL,D,20191003,000000,99.5,99.5,99.5,99.5,16,0
KME0720.PL,D,20191007,000000,99.9,99.9,99.9,99.9,21,0
KME0720.PL,D,20191008,000000,99.6,99.6,99.6,99.6,30,0
KME0720.PL,D,20191009,000000,100.49,100.49,100.49,100.49,1,0
KME0720.PL,D,20191011,000000,100,100,100,100,25,0
KME0720.PL,D,20191016,000000,100,100,100,100,35,0
KME0720.PL,D,20191023,000000,100,100,100,100,60,0
KME0720.PL,D,20191105,000000,100.39,100.39,100.39,100.39,39,0
KME0720.PL,D,20191106,000000,99.78,99.78,99.4,99.4,50,0
KME0720.PL,D,20191107,000000,99.4,99.4,99.4,99.4,23,0
KME0720.PL,D,20191112,000000,99.4,99.4,99.4,99.4,12,0
KME0720.PL,D,20191113,000000,99.69,99.69,99.69,99.69,10,0
KME0720.PL,D,20191114,000000,99.4,99.4,99.4,99.4,30,0
KME0720.PL,D,20191115,000000,99.4,99.4,99.4,99.4,44,0
KME0720.PL,D,20191119,000000,99.49,99.5,99.49,99.5,120,0
KME0720.PL,D,20191120,000000,99.6,99.6,99.6,99.6,15,0
KME0720.PL,D,20191202,000000,99.6,99.6,99.6,99.6,20,0
KME0720.PL,D,20191203,000000,99.55,99.55,99.55,99.55,50,0
KME0720.PL,D,20191209,000000,99.6,99.6,99.6,99.6,19,0
KME0720.PL,D,20191210,000000,99.95,99.95,99.95,99.95,34,0
KME0720.PL,D,20191211,000000,99.95,99.95,99.95,99.95,34,0
KME0720.PL,D,20191216,000000,99.89,99.89,99.89,99.89,19,0
KME0720.PL,D,20191227,000000,100,100,100,100,74,0
KME0720.PL,D,20191230,000000,100,100,100,100,54,0
KME0720.PL,D,20200107,000000,100,100,100,100,63,0
KME0720.PL,D,20200114,000000,99.6,99.6,99.6,99.6,10,0
KME0720.PL,D,20200116,000000,99.6,99.6,99.6,99.6,50,0
KME0720.PL,D,20200120,000000,98.54,98.54,98.49,98.5,189,0
KME0720.PL,D,20200127,000000,97.5,97.5,97.5,97.5,103,0
KME0720.PL,D,20200129,000000,98,98,98,98,70,0
KME0720.PL,D,20200204,000000,98.49,98.49,98.49,98.49,1,0
KME0720.PL,D,20200207,000000,98.49,98.49,98.49,98.49,24,0
KME0720.PL,D,20200211,000000,98.1,98.1,98.1,98.1,67,0
KME0720.PL,D,20200225,000000,97.5,97.5,97.5,97.5,180,0
KME0720.PL,D,20200227,000000,97.5,97.5,97.5,97.5,2,0
KME0720.PL,D,20200228,000000,97.5,97.5,97.5,97.5,42,0
KME0720.PL,D,20200302,000000,97.5,97.5,97.5,97.5,209,0
KME0720.PL,D,20200311,000000,98,98,98,98,120,0
KME0720.PL,D,20200312,000000,96.5,96.5,96.5,96.5,120,0
KME0720.PL,D,20200317,000000,95,95,95,95,120,0
KME0720.PL,D,20200320,000000,92.5,92.5,92,92,170,0
KME0720.PL,D,20200402,000000,75.8,75.8,75.8,75.8,180,0
KME0720.PL,D,20200403,000000,75.77,75.77,75.77,75.77,1,0
KME0720.PL,D,20200407,000000,69.99,69.99,69.99,69.99,7,0
KME0720.PL,D,20200409,000000,30,31,30,31,870,0
KME0720.PL,D,20200414,000000,31,31,31,31,56,0
KME0720.PL,D,20200417,000000,35,36,35,36,2,0
KME0720.PL,D,20200421,000000,37,37,37,37,1,0
KME0720.PL,D,20200424,000000,37.05,40.02,35,40.02,620,0
KME0720.PL,D,20200429,000000,49.99,49.99,49.99,49.99,29,0
KME0720.PL,D,20200430,000000,49.99,49.99,49.99,49.99,11,0
KME0720.PL,D,20200527,000000,65.2,65.2,65.2,65.2,192,0
KME0720.PL,D,20200603,000000,65.43,65.43,65.43,65.43,70,0
KME0720.PL,D,20200610,000000,75.97,75.97,75.97,75.97,211,0
KME0720.PL,D,20200617,000000,74.6,74.6,74.6,74.6,300,0
