<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KR10522.PL,D,20181113,000000,100,100,100,100,10,0
KR10522.PL,D,20190204,000000,99,99,99,99,1,0
KR10522.PL,D,20190211,000000,100,100,100,100,9,0
KR10522.PL,D,20190218,000000,100.5,100.5,100.5,100.5,5,0
KR10522.PL,D,20190405,000000,100.5,100.5,100.5,100.5,5,0
KR10522.PL,D,20190418,000000,100.5,100.65,100.5,100.65,81,0
KR10522.PL,D,20190627,000000,100.5,100.65,100.5,100.65,81,0
KR10522.PL,D,20191211,000000,100.5,100.65,100.5,100.65,81,0
KR10522.PL,D,20200406,000000,90,90,90,90,4,0
KR10522.PL,D,20200505,000000,95,95,95,95,4,0
KR10522.PL,D,20200728,000000,99.2,99.2,99.2,99.2,402,0
