<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVP0821.PL,D,20190405,000000,100,100,100,100,500,0
MVP0821.PL,D,20190530,000000,99.9,99.9,99.9,99.9,5,0
MVP0821.PL,D,20190607,000000,99.7,99.7,99.5,99.5,4,0
MVP0821.PL,D,20190613,000000,99.4,99.4,99.4,99.4,1,0
MVP0821.PL,D,20190618,000000,99,99,99,99,15,0
MVP0821.PL,D,20190625,000000,98.8,98.8,98.8,98.8,10,0
MVP0821.PL,D,20190626,000000,98.8,98.8,98.2,98.2,22,0
MVP0821.PL,D,20190627,000000,98.2,98.2,98,98,6,0
MVP0821.PL,D,20190628,000000,98.5,98.5,97.5,97.5,5,0
MVP0821.PL,D,20190701,000000,98.18,98.2,98.18,98.2,49,0
MVP0821.PL,D,20190703,000000,98.3,98.3,98.3,98.3,1,0
MVP0821.PL,D,20190704,000000,98.3,98.3,98.3,98.3,1,0
MVP0821.PL,D,20190705,000000,98.3,98.3,98.3,98.3,8,0
MVP0821.PL,D,20190709,000000,98.4,98.4,98.4,98.4,2,0
MVP0821.PL,D,20190710,000000,98.4,98.4,98.4,98.4,1,0
MVP0821.PL,D,20190711,000000,98.4,98.4,98.4,98.4,4,0
MVP0821.PL,D,20190716,000000,98.5,98.5,98.5,98.5,1,0
MVP0821.PL,D,20190717,000000,98.5,98.5,98.5,98.5,11,0
MVP0821.PL,D,20190718,000000,98.5,98.5,98.5,98.5,1,0
MVP0821.PL,D,20190725,000000,99,99.1,99,99.1,4,0
MVP0821.PL,D,20190726,000000,99,99,99,99,1,0
MVP0821.PL,D,20190801,000000,99,99,99,99,1,0
MVP0821.PL,D,20190802,000000,99,99,99,99,1,0
MVP0821.PL,D,20190805,000000,100.5,100.5,100.5,100.5,1,0
MVP0821.PL,D,20190806,000000,100.5,100.5,100.5,100.5,1,0
MVP0821.PL,D,20190807,000000,99.2,99.2,99.2,99.2,21,0
MVP0821.PL,D,20190808,000000,99.2,99.2,99.2,99.2,13,0
MVP0821.PL,D,20190812,000000,99.3,99.3,99.2,99.2,26,0
MVP0821.PL,D,20190814,000000,99.3,99.3,99.3,99.3,1,0
