<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCR0223.PL,D,20171218,000000,99.85,99.86,99.85,99.86,100,0
PCR0223.PL,D,20171219,000000,99.89,99.89,99.87,99.87,270,0
PCR0223.PL,D,20171220,000000,99.89,99.96,99.89,99.96,483,0
PCR0223.PL,D,20171221,000000,99.8,99.8,99.8,99.8,71,0
PCR0223.PL,D,20171227,000000,99.86,99.86,99.86,99.86,2,0
PCR0223.PL,D,20180105,000000,100.85,100.85,100.85,100.85,4,0
PCR0223.PL,D,20180110,000000,100.5,100.5,100.5,100.5,130,0
PCR0223.PL,D,20180124,000000,100.05,100.05,100.05,100.05,50,0
PCR0223.PL,D,20180125,000000,100.12,100.12,100.12,100.12,50,0
PCR0223.PL,D,20180126,000000,100.13,100.13,100.12,100.12,138,0
PCR0223.PL,D,20180131,000000,100.12,100.12,100.12,100.12,80,0
PCR0223.PL,D,20180205,000000,100.4,100.4,100.4,100.4,100,0
PCR0223.PL,D,20180206,000000,100.39,100.39,100.37,100.37,117,0
PCR0223.PL,D,20180207,000000,100.37,101,100.37,101,1193,0
PCR0223.PL,D,20180209,000000,100.38,100.38,100.38,100.38,100,0
PCR0223.PL,D,20180212,000000,100.02,100.02,100.01,100.01,496,0
PCR0223.PL,D,20180214,000000,100.03,100.03,100.01,100.01,105,0
PCR0223.PL,D,20180215,000000,100.01,100.58,100.01,100.58,2042,0
PCR0223.PL,D,20180219,000000,100.03,100.03,100.03,100.03,141,0
PCR0223.PL,D,20180220,000000,100.55,100.58,100.55,100.58,478,0
PCR0223.PL,D,20180221,000000,100.01,100.01,100.01,100.01,85,0
PCR0223.PL,D,20180227,000000,100.11,100.11,100.11,100.11,2,0
PCR0223.PL,D,20180228,000000,100.45,100.45,100.45,100.45,200,0
PCR0223.PL,D,20180301,000000,100.52,100.52,100.52,100.52,7,0
PCR0223.PL,D,20180302,000000,100.4,100.4,100.4,100.4,112,0
PCR0223.PL,D,20180305,000000,100.52,100.53,100.52,100.53,109,0
PCR0223.PL,D,20180306,000000,100.12,100.12,100.12,100.12,29,0
PCR0223.PL,D,20180313,000000,100.2,100.64,100.2,100.64,74,0
PCR0223.PL,D,20180314,000000,100.35,100.35,100.35,100.35,69,0
PCR0223.PL,D,20180320,000000,100.2,100.2,100.2,100.2,12,0
PCR0223.PL,D,20180321,000000,100.2,100.34,100.2,100.34,253,0
PCR0223.PL,D,20180323,000000,100.31,100.31,100.31,100.31,17,0
PCR0223.PL,D,20180326,000000,100.4,100.5,100.4,100.5,106,0
PCR0223.PL,D,20180327,000000,100.55,100.55,100.55,100.55,20,0
PCR0223.PL,D,20180328,000000,100.55,101.5,100.55,101.5,1660,0
PCR0223.PL,D,20180409,000000,101.25,101.25,101.25,101.25,50,0
PCR0223.PL,D,20180413,000000,101.25,101.25,101.25,101.25,78,0
PCR0223.PL,D,20180420,000000,100.18,100.18,100.18,100.18,52,0
PCR0223.PL,D,20180423,000000,100.22,100.22,100.22,100.22,5,0
PCR0223.PL,D,20180424,000000,100.21,100.21,100.21,100.21,60,0
PCR0223.PL,D,20180425,000000,100.7,100.7,100.7,100.7,303,0
PCR0223.PL,D,20180426,000000,100.5,100.5,100.5,100.5,91,0
PCR0223.PL,D,20180430,000000,100.5,100.5,100.5,100.5,24,0
PCR0223.PL,D,20180508,000000,100.25,100.25,100.25,100.25,47,0
PCR0223.PL,D,20180509,000000,100.2,100.25,100,100,487,0
PCR0223.PL,D,20180511,000000,100.2,100.49,100.2,100.49,170,0
PCR0223.PL,D,20180514,000000,100.44,100.45,100.3,100.3,511,0
PCR0223.PL,D,20180515,000000,100.25,100.25,100.25,100.25,8,0
PCR0223.PL,D,20180516,000000,100.2,100.29,100.2,100.29,276,0
PCR0223.PL,D,20180517,000000,100.29,100.29,100.29,100.29,5,0
PCR0223.PL,D,20180518,000000,100.29,100.29,100.29,100.29,65,0
PCR0223.PL,D,20180521,000000,100.29,100.29,100.17,100.17,150,0
PCR0223.PL,D,20180523,000000,100.15,100.15,100.15,100.15,100,0
PCR0223.PL,D,20180524,000000,100,100.02,100,100.02,391,0
PCR0223.PL,D,20180525,000000,100,100,99.5,99.5,190,0
PCR0223.PL,D,20180528,000000,100,100,100,100,10,0
PCR0223.PL,D,20180529,000000,99.26,99.26,99.26,99.26,200,0
PCR0223.PL,D,20180530,000000,99.26,100,99.26,100,500,0
PCR0223.PL,D,20180604,000000,100,100.05,100,100.05,10,0
PCR0223.PL,D,20180605,000000,100.05,100.24,100.05,100.24,85,0
PCR0223.PL,D,20180606,000000,100.05,100.25,100,100.25,221,0
PCR0223.PL,D,20180614,000000,100,100,100,100,176,0
PCR0223.PL,D,20180618,000000,100,100,100,100,350,0
PCR0223.PL,D,20180619,000000,99.81,99.81,99.81,99.81,1,0
PCR0223.PL,D,20180625,000000,99.81,99.81,99.81,99.81,74,0
PCR0223.PL,D,20180626,000000,99.81,100,99.81,100,201,0
PCR0223.PL,D,20180629,000000,100.35,100.35,100.35,100.35,1,0
PCR0223.PL,D,20180705,000000,99.9,99.9,99.9,99.9,2,0
PCR0223.PL,D,20180711,000000,100,100,100,100,8,0
PCR0223.PL,D,20180712,000000,100.25,100.25,100.25,100.25,22,0
PCR0223.PL,D,20180717,000000,99.9,99.9,99,99,29,0
PCR0223.PL,D,20180720,000000,100.24,100.24,100,100,70,0
PCR0223.PL,D,20180723,000000,100,100.05,100,100.05,29,0
PCR0223.PL,D,20180724,000000,100.2,100.3,100.02,100.02,266,0
PCR0223.PL,D,20180727,000000,100.49,100.49,100.49,100.49,178,0
PCR0223.PL,D,20180730,000000,100.49,100.49,100.49,100.49,4,0
PCR0223.PL,D,20180731,000000,100.49,100.53,100.49,100.53,300,0
PCR0223.PL,D,20180810,000000,100.15,100.15,100.15,100.15,14,0
PCR0223.PL,D,20180813,000000,100.3,100.3,100.3,100.3,5,0
PCR0223.PL,D,20180820,000000,100.3,100.3,100.15,100.15,51,0
PCR0223.PL,D,20180823,000000,100.98,100.98,100.98,100.98,60,0
PCR0223.PL,D,20180904,000000,100.97,100.97,100.97,100.97,10,0
PCR0223.PL,D,20180910,000000,100.25,100.25,100.25,100.25,512,0
PCR0223.PL,D,20180912,000000,100.15,100.15,100.01,100.01,303,0
PCR0223.PL,D,20180913,000000,100,100,100,100,2,0
PCR0223.PL,D,20180914,000000,100,100.6,100,100.6,519,0
PCR0223.PL,D,20180924,000000,100.55,100.55,100.55,100.55,20,0
PCR0223.PL,D,20180927,000000,100.3,100.3,100.3,100.3,64,0
PCR0223.PL,D,20181002,000000,100,100,100,100,50,0
PCR0223.PL,D,20181003,000000,100.25,100.25,100.25,100.25,59,0
PCR0223.PL,D,20181004,000000,100.25,100.25,100.25,100.25,68,0
PCR0223.PL,D,20181008,000000,100.03,100.03,100.03,100.03,17,0
PCR0223.PL,D,20181015,000000,99.95,100.52,99.6,100.52,251,0
PCR0223.PL,D,20181018,000000,99.55,99.55,99.53,99.53,65,0
PCR0223.PL,D,20181022,000000,100.27,100.27,100.27,100.27,19,0
PCR0223.PL,D,20181023,000000,100.25,100.25,100.25,100.25,1,0
PCR0223.PL,D,20181026,000000,100.24,100.24,100.24,100.24,100,0
PCR0223.PL,D,20181030,000000,100.25,100.3,100.25,100.3,213,0
PCR0223.PL,D,20181102,000000,100.35,100.44,100.35,100.44,204,0
PCR0223.PL,D,20181105,000000,100.44,100.44,100.44,100.44,311,0
PCR0223.PL,D,20181106,000000,100.44,100.44,100.44,100.44,25,0
PCR0223.PL,D,20181108,000000,100.2,100.2,100.2,100.2,1000,0
PCR0223.PL,D,20181109,000000,100.58,100.75,100.58,100.74,244,0
PCR0223.PL,D,20181116,000000,100,100,100,100,44,0
PCR0223.PL,D,20181119,000000,99.99,99.99,99.61,99.61,126,0
PCR0223.PL,D,20181120,000000,100,100.25,100,100,157,0
PCR0223.PL,D,20181126,000000,100,100,100,100,1000,0
