<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRF0521.PL,D,20171219,000000,100.4,100.4,100.4,100.4,132,0
PRF0521.PL,D,20171220,000000,100.4,100.4,100.4,100.4,35,0
PRF0521.PL,D,20171222,000000,100.59,100.6,100.59,100.6,125,0
PRF0521.PL,D,20180103,000000,100.94,100.94,100.94,100.94,156,0
PRF0521.PL,D,20180104,000000,101,101,101,101,60,0
PRF0521.PL,D,20180105,000000,101.09,101.09,101.09,101.09,14,0
PRF0521.PL,D,20180108,000000,101.09,101.57,101.09,101.57,50,0
PRF0521.PL,D,20180115,000000,101.57,101.57,101.57,101.57,72,0
PRF0521.PL,D,20180116,000000,101.57,101.57,101.57,101.57,46,0
PRF0521.PL,D,20180126,000000,100.8,100.8,100.8,100.8,163,0
PRF0521.PL,D,20180130,000000,101.57,101.57,101.57,101.57,5,0
PRF0521.PL,D,20180216,000000,102.09,102.09,102.09,102.09,30,0
PRF0521.PL,D,20180220,000000,101,101,101,101,100,0
PRF0521.PL,D,20180227,000000,101.2,101.2,101.2,101.2,104,0
PRF0521.PL,D,20180228,000000,101.2,101.49,101.2,101.49,310,0
PRF0521.PL,D,20180302,000000,101.49,101.49,101.49,101.49,12,0
PRF0521.PL,D,20180306,000000,101.99,101.99,101.99,101.99,30,0
PRF0521.PL,D,20180313,000000,101.8,101.8,101.8,101.8,110,0
PRF0521.PL,D,20180316,000000,101.75,101.75,101.75,101.75,62,0
PRF0521.PL,D,20180319,000000,101.5,101.5,101.5,101.5,30,0
PRF0521.PL,D,20180320,000000,101.49,101.49,101.49,101.49,50,0
PRF0521.PL,D,20180321,000000,101.16,101.3,101.16,101.3,25,0
PRF0521.PL,D,20180326,000000,101.79,101.79,101.79,101.79,69,0
PRF0521.PL,D,20180328,000000,101.2,101.2,101.2,101.2,40,0
PRF0521.PL,D,20180404,000000,102.5,103,102.5,103,52,0
PRF0521.PL,D,20180406,000000,101.3,101.3,101.3,101.3,48,0
PRF0521.PL,D,20180416,000000,101.23,101.23,101.22,101.22,100,0
PRF0521.PL,D,20180417,000000,101.2,101.2,101.2,101.2,60,0
PRF0521.PL,D,20180420,000000,100.7,100.7,100,100,318,0
PRF0521.PL,D,20180509,000000,100.79,100.79,100.79,100.79,100,0
PRF0521.PL,D,20180511,000000,100.79,100.79,100.79,100.79,160,0
PRF0521.PL,D,20180516,000000,100,100,100,100,3,0
PRF0521.PL,D,20180604,000000,99.1,99.1,99.1,99.1,50,0
PRF0521.PL,D,20180627,000000,99.2,99.3,99.2,99.3,149,0
PRF0521.PL,D,20180629,000000,99.4,99.4,99.4,99.4,17,0
PRF0521.PL,D,20180702,000000,99.4,99.4,99.4,99.4,16,0
PRF0521.PL,D,20180704,000000,99.4,99.4,99.4,99.4,67,0
PRF0521.PL,D,20180709,000000,99.4,99.4,99.4,99.4,100,0
PRF0521.PL,D,20180710,000000,99.4,99.4,99.4,99.4,120,0
PRF0521.PL,D,20180711,000000,99.4,100.2,99.4,100.2,196,0
PRF0521.PL,D,20180712,000000,100.35,100.35,100.35,100.35,34,0
PRF0521.PL,D,20180720,000000,100.32,100.34,100.32,100.34,79,0
PRF0521.PL,D,20180726,000000,100.18,100.18,100.18,100.18,50,0
PRF0521.PL,D,20180806,000000,99,99,99,99,1,0
PRF0521.PL,D,20180813,000000,99.5,99.5,99.5,99.5,2,0
PRF0521.PL,D,20180820,000000,100.16,100.16,100.16,100.16,20,0
PRF0521.PL,D,20180821,000000,100.1,100.1,100.1,100.1,22,0
PRF0521.PL,D,20180917,000000,99,99,99,99,200,0
PRF0521.PL,D,20180919,000000,99.3,99.82,99.3,99.82,20,0
PRF0521.PL,D,20180926,000000,99.78,99.78,99.78,99.78,40,0
PRF0521.PL,D,20181003,000000,99.5,99.5,99.5,99.5,31,0
PRF0521.PL,D,20181005,000000,99.75,99.77,99.75,99.77,693,0
PRF0521.PL,D,20181012,000000,99.74,99.74,99.74,99.74,50,0
PRF0521.PL,D,20181018,000000,99.87,99.87,99.87,99.87,21,0
PRF0521.PL,D,20181019,000000,99.87,99.87,99.87,99.87,146,0
PRF0521.PL,D,20181023,000000,99.87,99.9,99.87,99.9,500,0
PRF0521.PL,D,20181031,000000,99.9,99.9,99.9,99.9,3,0
PRF0521.PL,D,20181107,000000,99.1,99.1,99.1,99.1,44,0
PRF0521.PL,D,20181109,000000,99.69,99.69,99.02,99.02,125,0
PRF0521.PL,D,20181211,000000,99.01,99.01,98,98,500,0
PRF0521.PL,D,20181213,000000,98.2,99,98.2,98.98,141,0
PRF0521.PL,D,20181217,000000,98.98,98.98,98.98,98.98,34,0
PRF0521.PL,D,20190102,000000,99.45,99.45,98.21,98.21,150,0
PRF0521.PL,D,20190103,000000,99.59,99.59,99.59,99.59,32,0
PRF0521.PL,D,20190104,000000,99.59,99.59,99.59,99.59,29,0
PRF0521.PL,D,20190111,000000,99.58,99.58,99.58,99.58,20,0
PRF0521.PL,D,20190116,000000,99.58,99.58,99.58,99.58,1,0
PRF0521.PL,D,20190121,000000,99.57,99.57,99.57,99.57,10,0
PRF0521.PL,D,20190131,000000,99.54,99.54,99.54,99.54,10,0
PRF0521.PL,D,20190205,000000,99.5,99.5,99.5,99.5,6,0
PRF0521.PL,D,20190206,000000,99.5,99.5,99.5,99.5,20,0
