<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCBMWIG401121.PL,D,20190122,000000,970.6,970.6,970.6,970.6,100,0
RCBMWIG401121.PL,D,20190124,000000,972,972,972,972,312,0
RCBMWIG401121.PL,D,20190125,000000,971.4,971.4,971.4,971.4,410,0
RCBMWIG401121.PL,D,20190128,000000,971.1,971.1,971.1,971.1,525,0
RCBMWIG401121.PL,D,20190129,000000,971.2,971.2,971.2,971.2,700,0
RCBMWIG401121.PL,D,20190130,000000,975.6,975.6,975.6,975.6,203,0
RCBMWIG401121.PL,D,20190226,000000,989.8,989.8,989.8,989.8,340,0
RCBMWIG401121.PL,D,20190321,000000,996.1,996.1,996.1,996.1,250,0
RCBMWIG401121.PL,D,20190605,000000,971.1,971.1,971.1,971.1,153,0
RCBMWIG401121.PL,D,20190607,000000,973.7,973.7,973.7,973.7,33,0
RCBMWIG401121.PL,D,20190703,000000,1009.8,1009.8,1009.8,1009.8,73,0
RCBMWIG401121.PL,D,20190704,000000,1010.8,1010.8,1010.8,1010.8,49,0
RCBMWIG401121.PL,D,20190717,000000,1007.8,1007.8,1007.7,1007.7,343,0
RCBMWIG401121.PL,D,20190718,000000,1004.9,1004.9,1004.9,1004.9,196,0
RCBMWIG401121.PL,D,20190722,000000,1005.8,1005.8,1005.8,1005.8,102,0
RCBMWIG401121.PL,D,20190726,000000,1004.1,1004.1,1004.1,1004.1,197,0
RCBMWIG401121.PL,D,20190806,000000,988.7,988.7,988.7,988.7,502,0
RCBMWIG401121.PL,D,20190906,000000,990.1,990.1,990.1,990.1,223,0
RCBMWIG401121.PL,D,20190910,000000,993.2,993.2,993.2,993.2,900,0
RCBMWIG401121.PL,D,20191204,000000,957.3,957.3,957.3,957.3,4,0
RCBMWIG401121.PL,D,20191213,000000,972,972.9,972,972.9,800,0
RCBMWIG401121.PL,D,20200109,000000,984.2,984.3,984.2,984.3,502,0
RCBMWIG401121.PL,D,20200115,000000,1001.8,1001.8,985.9,985.9,1035,0
RCBMWIG401121.PL,D,20200117,000000,983,983,983,983,204,0
RCBMWIG401121.PL,D,20200124,000000,1005.6,1005.6,1005.6,1005.6,1,0
RCBMWIG401121.PL,D,20200212,000000,1005.2,1005.2,1005.2,1005.2,202,0
RCBMWIG401121.PL,D,20200224,000000,974.8,974.8,974.8,974.8,100,0
RCBMWIG401121.PL,D,20200227,000000,987.3,987.3,987.3,987.3,199,0
RCBMWIG401121.PL,D,20200228,000000,978.2,978.2,978.2,978.2,300,0
RCBMWIG401121.PL,D,20200313,000000,748.1,748.1,748.1,748.1,98,0
RCBMWIG401121.PL,D,20200508,000000,888.4,888.4,888.4,888.4,112,0
RCBMWIG401121.PL,D,20200513,000000,864.7,864.7,864.7,864.7,200,0
RCBMWIG401121.PL,D,20200522,000000,909.5,909.5,909.5,909.5,110,0
RCBMWIG401121.PL,D,20200616,000000,962.5,962.5,962.5,962.5,113,0
RCBMWIG401121.PL,D,20200618,000000,978,978,978,978,50,0
RCBMWIG401121.PL,D,20200622,000000,975,975,975,975,153,0
RCBMWIG401121.PL,D,20200722,000000,987,987,987,987,145,0
RCBMWIG401121.PL,D,20200814,000000,994.5,994.5,994.5,994.5,200,0
RCBMWIG401121.PL,D,20200915,000000,995.5,995.5,995.5,995.5,102,0
RCBMWIG401121.PL,D,20201006,000000,1006,1007,1006,1007,889,0
RCBMWIG401121.PL,D,20201007,000000,1003,1003,1003,1003,800,0
RCBMWIG401121.PL,D,20201015,000000,991.5,991.5,991.5,991.5,110,0
