<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNPPSOGO1021.PL,D,20181115,000000,970.8,970.8,970.8,970.8,50,0
BNPPSOGO1021.PL,D,20181122,000000,970.2,970.2,970.2,970.2,32,0
BNPPSOGO1021.PL,D,20181205,000000,976,976,976,976,330,0
BNPPSOGO1021.PL,D,20190110,000000,969,969,969,969,25,0
BNPPSOGO1021.PL,D,20190123,000000,969.2,969.2,969.2,969.2,30,0
BNPPSOGO1021.PL,D,20190130,000000,972.4,972.4,972.4,972.4,40,0
BNPPSOGO1021.PL,D,20190211,000000,975.3,975.3,975.3,975.3,100,0
BNPPSOGO1021.PL,D,20190219,000000,981.5,981.5,981.5,981.5,15,0
BNPPSOGO1021.PL,D,20190225,000000,985.2,985.2,985.2,985.2,55,0
BNPPSOGO1021.PL,D,20190305,000000,983.3,983.3,983.3,983.3,95,0
BNPPSOGO1021.PL,D,20190306,000000,983.9,983.9,983.9,983.9,10,0
BNPPSOGO1021.PL,D,20190326,000000,988.1,988.1,988.1,988.1,20,0
BNPPSOGO1021.PL,D,20190402,000000,993.9,993.9,993.9,993.9,10,0
BNPPSOGO1021.PL,D,20190410,000000,992.8,992.8,992.8,992.8,20,0
BNPPSOGO1021.PL,D,20190423,000000,992.1,992.1,992.1,992.1,40,0
BNPPSOGO1021.PL,D,20190424,000000,994.3,994.3,994.3,994.3,300,0
BNPPSOGO1021.PL,D,20190514,000000,991,991,991,991,87,0
BNPPSOGO1021.PL,D,20190524,000000,995.7,995.7,995.7,995.7,17,0
BNPPSOGO1021.PL,D,20190527,000000,997.4,997.4,997.4,997.4,33,0
BNPPSOGO1021.PL,D,20190604,000000,994.9,994.9,994.9,994.9,128,0
BNPPSOGO1021.PL,D,20190610,000000,995.8,995.8,995.8,995.8,50,0
BNPPSOGO1021.PL,D,20190619,000000,1009.2,1009.2,1009.2,1009.2,40,0
BNPPSOGO1021.PL,D,20190621,000000,1010.7,1010.7,1010.7,1010.7,300,0
BNPPSOGO1021.PL,D,20190701,000000,1006.7,1006.7,1006.7,1006.7,60,0
BNPPSOGO1021.PL,D,20190702,000000,1007.3,1007.3,1007.3,1007.3,15,0
BNPPSOGO1021.PL,D,20190723,000000,1014.6,1014.6,1014.6,1014.6,10,0
BNPPSOGO1021.PL,D,20190729,000000,1018.4,1018.5,1018.4,1018.5,430,0
BNPPSOGO1021.PL,D,20190829,000000,1022.6,1023.3,1022.6,1023.3,110,0
BNPPSOGO1021.PL,D,20190903,000000,1026.6,1026.6,1026.5,1026.5,400,0
BNPPSOGO1021.PL,D,20190904,000000,1027.7,1027.7,1027.7,1027.7,300,0
BNPPSOGO1021.PL,D,20190906,000000,1025.8,1025.8,1025.8,1025.8,300,0
BNPPSOGO1021.PL,D,20190911,000000,1021.8,1022.9,1021.8,1022.9,250,0
BNPPSOGO1021.PL,D,20190917,000000,1022.3,1022.4,1022.2,1022.4,630,0
BNPPSOGO1021.PL,D,20190918,000000,1024.1,1024.1,1024.1,1024.1,100,0
BNPPSOGO1021.PL,D,20190924,000000,1028.7,1028.7,1028.7,1028.7,100,0
BNPPSOGO1021.PL,D,20190930,000000,1030.9,1030.9,1030.9,1030.9,150,0
BNPPSOGO1021.PL,D,20191002,000000,1025.4,1025.4,1025,1025,120,0
BNPPSOGO1021.PL,D,20191003,000000,1021.7,1021.7,1021.7,1021.7,200,0
BNPPSOGO1021.PL,D,20191009,000000,1024,1024,1024,1024,20,0
BNPPSOGO1021.PL,D,20191010,000000,1023.2,1023.2,1023.2,1023.2,200,0
BNPPSOGO1021.PL,D,20191015,000000,1023.7,1023.7,1023.7,1023.7,10,0
BNPPSOGO1021.PL,D,20191022,000000,1024.3,1024.3,1024.3,1024.3,145,0
BNPPSOGO1021.PL,D,20191023,000000,1027.1,1027.1,1027.1,1027.1,50,0
BNPPSOGO1021.PL,D,20191024,000000,1024.8,1024.8,1024.8,1024.8,50,0
BNPPSOGO1021.PL,D,20191025,000000,1028,1028,1028,1028,220,0
BNPPSOGO1021.PL,D,20191106,000000,1028.5,1029.2,1028.5,1029.2,100,0
BNPPSOGO1021.PL,D,20191107,000000,1029.4,1029.4,1029.4,1029.4,45,0
BNPPSOGO1021.PL,D,20191113,000000,1028.5,1028.5,1028.5,1028.5,30,0
BNPPSOGO1021.PL,D,20191118,000000,1030,1030.2,1030,1030.2,159,0
BNPPSOGO1021.PL,D,20191119,000000,1030.9,1030.9,1030.9,1030.9,25,0
BNPPSOGO1021.PL,D,20191120,000000,1029.8,1029.8,1029.8,1029.8,25,0
BNPPSOGO1021.PL,D,20191127,000000,1032.3,1032.3,1032.3,1032.3,132,0
BNPPSOGO1021.PL,D,20191202,000000,1031.2,1031.2,1031.2,1031.2,50,0
BNPPSOGO1021.PL,D,20191203,000000,1029.2,1029.2,1029.2,1029.2,10,0
BNPPSOGO1021.PL,D,20191204,000000,1029.7,1029.7,1029.7,1029.7,20,0
BNPPSOGO1021.PL,D,20191205,000000,1030.9,1030.9,1030.5,1030.9,182,0
BNPPSOGO1021.PL,D,20191206,000000,1032.5,1033,1032.5,1033,430,0
BNPPSOGO1021.PL,D,20191210,000000,1031.2,1031.2,1031.2,1031.2,20,0
BNPPSOGO1021.PL,D,20191211,000000,1031.9,1031.9,1031.9,1031.9,143,0
BNPPSOGO1021.PL,D,20191212,000000,1031.8,1031.8,1031.8,1031.8,25,0
BNPPSOGO1021.PL,D,20191213,000000,1031.3,1031.3,1031.3,1031.3,100,0
BNPPSOGO1021.PL,D,20191217,000000,1033.6,1034,1033.6,1034,300,0
BNPPSOGO1021.PL,D,20191218,000000,1034.7,1034.7,1034.7,1034.7,150,0
BNPPSOGO1021.PL,D,20200107,000000,1039.6,1039.6,1039.6,1039.6,30,0
BNPPSOGO1021.PL,D,20200109,000000,1039.4,1039.4,1039.4,1039.4,30,0
BNPPSOGO1021.PL,D,20200110,000000,1039.6,1039.6,1039.6,1039.6,610,0
BNPPSOGO1021.PL,D,20200114,000000,1041.1,1041.5,1041.1,1041.5,83,0
BNPPSOGO1021.PL,D,20200116,000000,1044.9,1044.9,1044.9,1044.9,110,0
BNPPSOGO1021.PL,D,20200117,000000,1045.9,1045.9,1045.9,1045.9,80,0
BNPPSOGO1021.PL,D,20200120,000000,1046,1046,1046,1046,180,0
BNPPSOGO1021.PL,D,20200122,000000,1050.1,1050.5,1050.1,1050.5,138,0
BNPPSOGO1021.PL,D,20200123,000000,1050.1,1050.3,1050.1,1050.3,215,0
BNPPSOGO1021.PL,D,20200124,000000,1051.3,1051.3,1051.3,1051.3,300,0
BNPPSOGO1021.PL,D,20200128,000000,1052,1052.1,1052,1052.1,300,0
BNPPSOGO1021.PL,D,20200129,000000,1053.1,1053.1,1053.1,1053.1,40,0
BNPPSOGO1021.PL,D,20200130,000000,1052.6,1052.7,1052.6,1052.7,50,0
BNPPSOGO1021.PL,D,20200131,000000,1053.1,1053.1,1053.1,1053.1,150,0
BNPPSOGO1021.PL,D,20200203,000000,1052.6,1053.4,1052.6,1053.4,90,0
BNPPSOGO1021.PL,D,20200206,000000,1057.8,1058,1057.8,1058,275,0
BNPPSOGO1021.PL,D,20200207,000000,1058.8,1058.8,1058.8,1058.8,470,0
BNPPSOGO1021.PL,D,20200210,000000,1062.1,1062.5,1062.1,1062.5,309,0
BNPPSOGO1021.PL,D,20200211,000000,1061.4,1061.4,1061.4,1061.4,238,0
BNPPSOGO1021.PL,D,20200212,000000,1062.3,1062.3,1062.2,1062.3,370,0
BNPPSOGO1021.PL,D,20200213,000000,1062.2,1062.3,1062.1,1062.3,354,0
BNPPSOGO1021.PL,D,20200214,000000,1062.5,1062.5,1062.5,1062.5,110,0
BNPPSOGO1021.PL,D,20200217,000000,1062.9,1062.9,1062.9,1062.9,70,0
BNPPSOGO1021.PL,D,20200218,000000,1064.2,1064.4,1064.2,1064.3,390,0
BNPPSOGO1021.PL,D,20200219,000000,1065.9,1065.9,1065.8,1065.9,174,0
BNPPSOGO1021.PL,D,20200220,000000,1064.6,1064.6,1064.6,1064.6,26,0
BNPPSOGO1021.PL,D,20200221,000000,1064.4,1064.4,1064.4,1064.4,130,0
BNPPSOGO1021.PL,D,20200224,000000,1064.7,1064.7,1064.7,1064.7,270,0
