<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNPPSOLE0720.PL,D,20190617,000000,968.3,968.3,968.3,968.3,105,0
BNPPSOLE0720.PL,D,20190820,000000,966.8,966.8,966.8,966.8,100,0
BNPPSOLE0720.PL,D,20190904,000000,972.5,972.5,972.5,972.5,30,0
BNPPSOLE0720.PL,D,20191031,000000,987.4,987.4,987.4,987.4,40,0
BNPPSOLE0720.PL,D,20191217,000000,1006.5,1006.5,1006.5,1006.5,12,0
BNPPSOLE0720.PL,D,20200108,000000,1006.9,1006.9,1006.9,1006.9,122,0
BNPPSOLE0720.PL,D,20200109,000000,1008.7,1008.7,1008,1008,300,0
BNPPSOLE0720.PL,D,20200114,000000,1007.9,1007.9,1007.9,1007.9,50,0
BNPPSOLE0720.PL,D,20200120,000000,1012.9,1012.9,1012.8,1012.8,250,0
BNPPSOLE0720.PL,D,20200124,000000,1014.9,1014.9,1014.9,1014.9,120,0
BNPPSOLE0720.PL,D,20200204,000000,1010.2,1010.2,1010.2,1010.2,250,0
BNPPSOLE0720.PL,D,20200205,000000,1013.1,1013.8,1013.1,1013.8,500,0
BNPPSOLE0720.PL,D,20200210,000000,1013.7,1013.7,1013.7,1013.7,101,0
BNPPSOLE0720.PL,D,20200212,000000,1016.7,1016.7,1016.7,1016.7,200,0
BNPPSOLE0720.PL,D,20200218,000000,1018,1018,1018,1018,100,0
BNPPSOLE0720.PL,D,20200219,000000,1018.8,1019,1018.8,1019,118,0
BNPPSOLE0720.PL,D,20200221,000000,1014.8,1014.8,1014.8,1014.8,20,0
BNPPSOLE0720.PL,D,20200312,000000,967.7,967.7,967.6,967.6,216,0
BNPPSOLE0720.PL,D,20200317,000000,970.3,970.3,970.3,970.3,14,0
