<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BPHFIZDS.PL,D,20060823,000000,102.01,102.01,102.01,102.01,16,0
BPHFIZDS.PL,D,20060825,000000,102.01,102.2,102.01,102.2,9,0
BPHFIZDS.PL,D,20060829,000000,95,95,95,95,50,0
BPHFIZDS.PL,D,20060830,000000,101.5,101.5,101.5,101.5,30,0
BPHFIZDS.PL,D,20060831,000000,95.2,101,95.2,101,40,0
BPHFIZDS.PL,D,20060907,000000,101,101,101,101,95,0
BPHFIZDS.PL,D,20060915,000000,95.6,95.6,95.6,95.6,10,0
BPHFIZDS.PL,D,20060920,000000,95.62,95.63,95.62,95.62,80,0
BPHFIZDS.PL,D,20060926,000000,90.1,90.1,90.1,90.1,25,0
BPHFIZDS.PL,D,20060927,000000,90.21,90.21,90.2,90.2,50,0
BPHFIZDS.PL,D,20061006,000000,92,92,92,92,10,0
BPHFIZDS.PL,D,20061010,000000,93,93,93,93,95,0
BPHFIZDS.PL,D,20061011,000000,95.49,95.49,95.49,95.49,10,0
BPHFIZDS.PL,D,20061012,000000,95.49,95.49,94,95,80,0
BPHFIZDS.PL,D,20061013,000000,92.01,92.01,92.01,92.01,10,0
BPHFIZDS.PL,D,20061020,000000,93.06,93.06,93.06,93.06,20,0
BPHFIZDS.PL,D,20061023,000000,92.01,92.01,92.01,92.01,8,0
BPHFIZDS.PL,D,20061024,000000,92.51,92.51,92,92,100,0
BPHFIZDS.PL,D,20061027,000000,92.5,92.5,92.5,92.5,10,0
BPHFIZDS.PL,D,20061030,000000,93.5,93.5,91.4,93.5,310,0
BPHFIZDS.PL,D,20061106,000000,93.01,93.01,93.01,93.01,40,0
BPHFIZDS.PL,D,20061117,000000,95,95,95,95,11,0
BPHFIZDS.PL,D,20061122,000000,95.5,95.5,95.5,95.5,4,0
BPHFIZDS.PL,D,20061205,000000,95.89,95.89,95.89,95.89,24,0
BPHFIZDS.PL,D,20061211,000000,95,95,95,95,98,0
BPHFIZDS.PL,D,20061218,000000,97,97,95,96,139,0
BPHFIZDS.PL,D,20061222,000000,96.7,96.75,96.7,96.75,35,0
BPHFIZDS.PL,D,20070102,000000,89,94,89,94,37,0
BPHFIZDS.PL,D,20070103,000000,90.25,90.25,90.25,90.25,13,0
BPHFIZDS.PL,D,20070112,000000,92.51,92.51,92.51,92.51,57,0
BPHFIZDS.PL,D,20070115,000000,92.51,92.51,92.51,92.51,43,0
BPHFIZDS.PL,D,20070119,000000,93,93,93,93,400,0
BPHFIZDS.PL,D,20070130,000000,93.09,93.09,93.01,93.01,100,0
BPHFIZDS.PL,D,20070201,000000,96.5,96.5,96.5,96.5,1,0
BPHFIZDS.PL,D,20070202,000000,96.5,96.5,96.5,96.5,1,0
BPHFIZDS.PL,D,20070207,000000,96.49,96.5,96.49,96.5,15,0
BPHFIZDS.PL,D,20070208,000000,96.49,96.49,96.49,96.49,5,0
BPHFIZDS.PL,D,20070213,000000,96.48,96.48,96.48,96.48,5,0
BPHFIZDS.PL,D,20070326,000000,93.1,93.1,93,93,30,0
BPHFIZDS.PL,D,20070402,000000,96,96.5,96,96.5,45,0
BPHFIZDS.PL,D,20070403,000000,95,95,95,95,5,0
BPHFIZDS.PL,D,20070404,000000,92.1,96.5,92.1,96.5,395,0
BPHFIZDS.PL,D,20070405,000000,93.12,93.12,93.12,93.12,20,0
BPHFIZDS.PL,D,20070410,000000,93.41,96.5,93.1,93.1,351,0
BPHFIZDS.PL,D,20070411,000000,96.34,96.38,96.34,96.38,75,0
BPHFIZDS.PL,D,20070416,000000,95,95,95,95,400,0
BPHFIZDS.PL,D,20070424,000000,93.1,93.1,93.1,93.1,71,0
BPHFIZDS.PL,D,20070426,000000,92.92,92.92,92.92,92.92,30,0
BPHFIZDS.PL,D,20070430,000000,95.95,95.98,95.95,95.98,72,0
BPHFIZDS.PL,D,20070502,000000,93.28,96,93.28,96,160,0
BPHFIZDS.PL,D,20070507,000000,94.7,94.7,94.7,94.7,50,0
BPHFIZDS.PL,D,20070508,000000,93.96,95,93.96,95,1661,0
BPHFIZDS.PL,D,20070509,000000,93.12,95,93.12,95,27,0
BPHFIZDS.PL,D,20070511,000000,95.99,95.99,95.99,95.99,5,0
BPHFIZDS.PL,D,20070514,000000,95,95,93.39,93.39,109,0
BPHFIZDS.PL,D,20070515,000000,93.35,93.35,93.33,93.33,100,0
BPHFIZDS.PL,D,20070516,000000,93.33,93.33,93.33,93.33,5,0
BPHFIZDS.PL,D,20070521,000000,95,95,95,95,50,0
BPHFIZDS.PL,D,20070522,000000,93.38,93.38,93.38,93.38,50,0
BPHFIZDS.PL,D,20070525,000000,95.98,95.99,95.98,95.99,33,0
BPHFIZDS.PL,D,20070604,000000,95,95.8,95,95.8,33,0
BPHFIZDS.PL,D,20070608,000000,95.5,95.5,95.5,95.5,98,0
BPHFIZDS.PL,D,20070611,000000,95,95,93.2,93.59,147,0
BPHFIZDS.PL,D,20070615,000000,93.59,94.99,92.73,94.99,129,0
BPHFIZDS.PL,D,20070622,000000,92.89,94.99,92.89,94.99,131,0
BPHFIZDS.PL,D,20070626,000000,93.3,93.3,93.3,93.3,50,0
BPHFIZDS.PL,D,20070629,000000,93.45,94.99,93.45,94.99,200,0
BPHFIZDS.PL,D,20070703,000000,94.05,95.69,94.05,94.09,107,0
BPHFIZDS.PL,D,20070706,000000,94.5,95.99,94.5,95.99,176,0
BPHFIZDS.PL,D,20070711,000000,95.99,95.99,95.99,95.99,125,0
BPHFIZDS.PL,D,20070712,000000,92.82,92.82,92.82,92.82,50,0
BPHFIZDS.PL,D,20070713,000000,94,95.82,94,95.82,125,0
BPHFIZDS.PL,D,20070720,000000,95.49,95.49,95.49,95.49,50,0
BPHFIZDS.PL,D,20070723,000000,95,95,95,95,100,0
BPHFIZDS.PL,D,20070724,000000,95,95,95,95,140,0
BPHFIZDS.PL,D,20070725,000000,93.75,94.01,93.75,93.8,170,0
BPHFIZDS.PL,D,20070726,000000,95.48,95.48,95.48,95.48,10,0
BPHFIZDS.PL,D,20070730,000000,95,95.1,93.75,93.75,356,0
BPHFIZDS.PL,D,20070731,000000,95.24,95.25,95.14,95.25,92,0
BPHFIZDS.PL,D,20070802,000000,95.49,95.98,95.49,95.98,200,0
BPHFIZDS.PL,D,20070806,000000,95.98,95.98,95.01,95.01,130,0
BPHFIZDS.PL,D,20070807,000000,94.01,94.01,94.01,94.01,50,0
BPHFIZDS.PL,D,20070817,000000,94.5,94.5,93.21,93.21,110,0
BPHFIZDS.PL,D,20070822,000000,94.5,94.5,94.5,94.5,10,0
BPHFIZDS.PL,D,20070905,000000,94.5,94.5,94.5,94.5,40,0
BPHFIZDS.PL,D,20070913,000000,95,95,95,95,120,0
BPHFIZDS.PL,D,20070917,000000,95.97,95.97,95.97,95.97,15,0
BPHFIZDS.PL,D,20070919,000000,95.96,95.96,95.96,95.96,25,0
BPHFIZDS.PL,D,20070928,000000,95.96,95.96,95.96,95.96,66,0
BPHFIZDS.PL,D,20071002,000000,95.95,95.96,95.95,95.96,100,0
BPHFIZDS.PL,D,20071008,000000,95.96,95.96,95.96,95.96,22,0
BPHFIZDS.PL,D,20071016,000000,95.5,95.96,95.5,95.96,221,0
BPHFIZDS.PL,D,20071019,000000,93,94,92.72,93.5,550,0
BPHFIZDS.PL,D,20071023,000000,96.28,96.29,96.28,96.29,111,0
BPHFIZDS.PL,D,20071024,000000,96.99,96.99,96.99,96.99,50,0
BPHFIZDS.PL,D,20071029,000000,96.99,96.99,96.99,96.99,25,0
BPHFIZDS.PL,D,20071031,000000,96.99,96.99,96.99,96.99,200,0
BPHFIZDS.PL,D,20071102,000000,96.99,96.99,94.11,94.11,44,0
BPHFIZDS.PL,D,20071114,000000,92.18,92.18,92.18,92.18,17,0
BPHFIZDS.PL,D,20071116,000000,92.26,92.26,92.26,92.26,5,0
BPHFIZDS.PL,D,20071121,000000,95,95,95,95,39,0
BPHFIZDS.PL,D,20071122,000000,95,95,95,95,132,0
BPHFIZDS.PL,D,20071129,000000,95,95,95,95,9,0
BPHFIZDS.PL,D,20071214,000000,90.27,90.27,90.27,90.27,50,0
BPHFIZDS.PL,D,20071219,000000,93,93,93,93,9,0
BPHFIZDS.PL,D,20071221,000000,90.26,90.26,90.26,90.26,50,0
BPHFIZDS.PL,D,20080102,000000,90.13,95.95,90.13,95.95,100,0
BPHFIZDS.PL,D,20080103,000000,94,94,94,94,100,0
BPHFIZDS.PL,D,20080104,000000,95.93,95.93,95.93,95.93,2,0
BPHFIZDS.PL,D,20080107,000000,95.88,95.88,94.5,94.5,203,0
BPHFIZDS.PL,D,20080114,000000,94.5,94.5,92.2,92.2,35,0
BPHFIZDS.PL,D,20080115,000000,92,92.01,92,92,350,0
