<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLCDR31450.PL,D,20200521,000000,8.49,9.1,8.45,8.45,2836,0
INTLCDR31450.PL,D,20200522,000000,8.49,8.52,8.38,8.38,2207,0
INTLCDR31450.PL,D,20200525,000000,8.83,9.42,8.66,8.66,4591,0
INTLCDR31450.PL,D,20200526,000000,9.25,9.82,9.09,9.82,1949,0
INTLCDR31450.PL,D,20200527,000000,9.45,9.56,7.26,7.58,36227,0
INTLCDR31450.PL,D,20200528,000000,7.88,9.02,7.66,9.02,30887,0
INTLCDR31450.PL,D,20200529,000000,10.15,10.2,8.49,8.87,19919,0
INTLCDR31450.PL,D,20200601,000000,8.8,9.08,8.62,8.62,3300,0
INTLCDR31450.PL,D,20200602,000000,8.62,8.62,7.8,8.05,4960,0
INTLCDR31450.PL,D,20200603,000000,8.35,8.9,8.35,8.57,2821,0
INTLCDR31450.PL,D,20200604,000000,8.07,8.07,8.07,8.07,12,0
INTLCDR31450.PL,D,20200605,000000,8.2,8.39,7.98,8.36,1307,0
INTLCDR31450.PL,D,20200608,000000,7.03,7.03,6.5,6.68,3332,0
INTLCDR31450.PL,D,20200609,000000,6.8,6.8,5.9,5.9,566,0
