<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLDAX29983.PL,D,20200406,000000,76.45,79.85,76.45,79.85,90,0
INTLDAX29983.PL,D,20200407,000000,97,97,97,97,5,0
INTLDAX29983.PL,D,20200409,000000,103.2,103.2,103.2,103.2,5,0
INTLDAX29983.PL,D,20200415,000000,92.1,92.1,90.3,90.3,108,0
INTLDAX29983.PL,D,20200416,000000,94.6,94.6,94.6,94.6,15,0
INTLDAX29983.PL,D,20200423,000000,96.1,96.1,93.4,94,105,0
INTLDAX29983.PL,D,20200427,000000,101.5,103.6,101.5,103.6,37,0
INTLDAX29983.PL,D,20200428,000000,109.7,109.7,109.7,109.7,35,0
INTLDAX29983.PL,D,20200504,000000,99.45,99.45,99.45,99.45,10,0
INTLDAX29983.PL,D,20200505,000000,106.2,106.2,106.2,106.2,10,0
INTLDAX29983.PL,D,20200514,000000,92.7,92.7,92.7,92.7,10,0
INTLDAX29983.PL,D,20200518,000000,118,118,118,118,10,0
INTLDAX29983.PL,D,20200520,000000,124.9,126.8,124.9,126.8,16,0
INTLDAX29983.PL,D,20200527,000000,143.5,143.5,143.5,143.5,83,0
INTLDAX29983.PL,D,20200602,000000,162,162.2,162,162.2,83,0
INTLDAX29983.PL,D,20200603,000000,180,180,180,180,10,0
INTLDAX29983.PL,D,20200609,000000,194,194,194,194,10,0
INTLDAX29983.PL,D,20200805,000000,188.8,188.8,188.6,188.6,55,0
INTLDAX29983.PL,D,20200806,000000,183.2,183.2,183.2,183.2,13,0
INTLDAX29983.PL,D,20200807,000000,186.2,186.2,186.2,186.2,3,0
INTLDAX29983.PL,D,20200810,000000,191.2,191.2,191.2,191.2,15,0
INTLDAX29983.PL,D,20200811,000000,194.4,194.4,194.4,194.4,50,0
INTLDAX29983.PL,D,20200917,000000,210.5,210.5,210.5,210.5,28,0
INTLDAX29983.PL,D,20201015,000000,190.8,190.8,190.8,190.8,559,0
INTLDAX29983.PL,D,20201016,000000,195.8,195.8,195.8,195.8,559,0
