<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLKGH33951.PL,D,20200908,000000,44,44,42,42,330,0
INTLKGH33951.PL,D,20200909,000000,48.5,48.5,48.5,48.5,330,0
INTLKGH33951.PL,D,20200921,000000,43.1,43.1,43.1,43.1,440,0
INTLKGH33951.PL,D,20200922,000000,39,39,39,39,300,0
INTLKGH33951.PL,D,20201006,000000,29.2,29.2,29.2,29.2,85,0
INTLKGH33951.PL,D,20201008,000000,31.65,31.65,28.2,28.2,295,0
INTLKGH33951.PL,D,20201009,000000,29.05,30.35,29.05,30.35,215,0
INTLKGH33951.PL,D,20201012,000000,33.1,34,32.4,34,493,0
INTLKGH33951.PL,D,20201013,000000,31.05,31.05,29.95,29.95,430,0
INTLKGH33951.PL,D,20201014,000000,32.55,34.95,32.55,34.95,150,0
INTLKGH33951.PL,D,20201015,000000,34.35,34.35,33.8,33.8,335,0
INTLKGH33951.PL,D,20201016,000000,39,39,37,37,200,0
