<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLNDX32979.PL,D,20200716,000000,43.95,43.95,43.5,43.6,368,0
INTLNDX32979.PL,D,20200717,000000,45.25,46.9,43.35,43.35,1821,0
INTLNDX32979.PL,D,20200720,000000,45.6,48.1,45.6,46.5,205,0
INTLNDX32979.PL,D,20200721,000000,61.7,62.3,55.7,55.7,1166,0
INTLNDX32979.PL,D,20200722,000000,53.4,53.4,53.4,53.4,80,0
INTLNDX32979.PL,D,20200723,000000,55.7,55.7,50.7,50.7,75,0
INTLNDX32979.PL,D,20200724,000000,37.4,37.6,34.2,35.65,282,0
INTLNDX32979.PL,D,20200727,000000,41.45,43,41.45,43,162,0
INTLNDX32979.PL,D,20200728,000000,44.65,44.65,43.65,43.65,130,0
INTLNDX32979.PL,D,20200729,000000,42.5,42.5,42.5,42.5,100,0
INTLNDX32979.PL,D,20200730,000000,42.3,42.3,42.3,42.3,25,0
INTLNDX32979.PL,D,20200731,000000,53.4,53.4,51.3,51.3,230,0
INTLNDX32979.PL,D,20200804,000000,57.4,57.4,57.4,57.4,20,0
INTLNDX32979.PL,D,20200807,000000,64.8,64.8,64.8,64.8,30,0
INTLNDX32979.PL,D,20200824,000000,80.4,80.5,80.4,80.5,30,0
INTLNDX32979.PL,D,20200825,000000,81.5,81.5,79.7,79.7,93,0
INTLNDX32979.PL,D,20200826,000000,84.3,84.6,84.3,84.6,71,0
INTLNDX32979.PL,D,20200831,000000,92.7,92.7,92.7,92.7,10,0
INTLNDX32979.PL,D,20200902,000000,109,109,106.4,106.4,73,0
INTLNDX32979.PL,D,20200903,000000,96.2,96.2,96.2,96.2,20,0
INTLNDX32979.PL,D,20200904,000000,86,86,72.8,72.8,20,0
INTLNDX32979.PL,D,20200907,000000,73.1,73.1,73.1,73.1,9,0
INTLNDX32979.PL,D,20200908,000000,75.9,75.9,64,64,32,0
INTLNDX32979.PL,D,20200917,000000,54.9,59.3,54.9,59.3,188,0
INTLNDX32979.PL,D,20200918,000000,61,61,58.6,58.6,88,0
INTLNDX32979.PL,D,20200921,000000,49.95,50.4,46.5,46.5,219,0
INTLNDX32979.PL,D,20200922,000000,55.5,58,55.5,58,360,0
INTLNDX32979.PL,D,20200924,000000,46.5,50.8,46.5,50.8,235,0
INTLNDX32979.PL,D,20200925,000000,56.8,56.8,56.8,56.8,35,0
INTLNDX32979.PL,D,20200928,000000,67.6,72.3,67.6,72.3,151,0
INTLNDX32979.PL,D,20200929,000000,72.1,72.1,69.7,69.7,135,0
INTLNDX32979.PL,D,20201001,000000,76.3,78.7,76.3,78.7,313,0
INTLNDX32979.PL,D,20201002,000000,71.5,73.2,70,73.2,332,0
INTLNDX32979.PL,D,20201006,000000,74.4,74.4,74.4,74.4,67,0
INTLNDX32979.PL,D,20201012,000000,86.1,92.4,86.1,90.5,203,0
INTLNDX32979.PL,D,20201013,000000,97.4,97.4,97.4,97.4,9,0
INTLNDX32979.PL,D,20201016,000000,93.5,93.5,93.5,93.5,15,0
