<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPGE32292.PL,D,20200612,000000,3.4,4.09,3.4,3.85,11949,0
INTLPGE32292.PL,D,20200615,000000,3.57,3.57,2.97,3.06,10485,0
INTLPGE32292.PL,D,20200616,000000,3.1,3.15,3.09,3.09,1000,0
INTLPGE32292.PL,D,20200617,000000,2.98,2.98,2.57,2.61,35359,0
INTLPGE32292.PL,D,20200618,000000,2.61,3.55,2.61,3.45,18425,0
INTLPGE32292.PL,D,20200619,000000,3.72,3.78,3.45,3.69,5591,0
INTLPGE32292.PL,D,20200624,000000,3.16,3.16,3.16,3.16,300,0
INTLPGE32292.PL,D,20200625,000000,2.84,2.88,2.81,2.86,9500,0
INTLPGE32292.PL,D,20200626,000000,2.92,2.92,2.9,2.9,9000,0
INTLPGE32292.PL,D,20200629,000000,2.69,2.69,2.41,2.41,22000,0
INTLPGE32292.PL,D,20200630,000000,2.73,2.74,2.73,2.74,22000,0
INTLPGE32292.PL,D,20200701,000000,2.5,2.5,2.33,2.33,24000,0
INTLPGE32292.PL,D,20200702,000000,2.66,2.8,2.66,2.8,1150,0
INTLPGE32292.PL,D,20200703,000000,2.8,2.8,2.8,2.8,150,0
INTLPGE32292.PL,D,20200707,000000,2.65,2.65,2.65,2.65,20000,0
INTLPGE32292.PL,D,20200721,000000,4,4,4,4,900,0
INTLPGE32292.PL,D,20200810,000000,2.11,2.11,2.11,2.11,3000,0
INTLPGE32292.PL,D,20200907,000000,1.17,1.17,1.17,1.17,2000,0
INTLPGE32292.PL,D,20200908,000000,1.5,1.61,1.24,1.26,15000,0
INTLPGE32292.PL,D,20200918,000000,1.02,1.02,0.98,0.98,1559,0
INTLPGE32292.PL,D,20200921,000000,0.83,0.83,0.79,0.79,1928,0
INTLPGE32292.PL,D,20200923,000000,0.91,0.91,0.8,0.8,392,0
INTLPGE32292.PL,D,20200924,000000,0.69,0.69,0.63,0.63,2229,0
INTLPGE32292.PL,D,20200925,000000,0.94,1.87,0.94,1.2,21488,0
INTLPGE32292.PL,D,20200928,000000,1.7,2.04,1.7,2.04,15334,0
INTLPGE32292.PL,D,20200929,000000,1.91,1.91,1.9,1.9,2200,0
INTLPGE32292.PL,D,20200930,000000,1.8,2.01,1.8,2.01,1660,0
INTLPGE32292.PL,D,20201001,000000,2.2,2.4,2.2,2.37,1870,0
INTLPGE32292.PL,D,20201002,000000,2.3,2.3,2.09,2.25,3930,0
INTLPGE32292.PL,D,20201005,000000,2.5,2.5,2.4,2.4,4888,0
INTLPGE32292.PL,D,20201006,000000,2.17,2.17,2.17,2.17,1000,0
INTLPGE32292.PL,D,20201007,000000,1.92,1.92,1.92,1.92,500,0
INTLPGE32292.PL,D,20201008,000000,1.75,1.75,1.75,1.75,1000,0
INTLPGE32292.PL,D,20201009,000000,1.55,1.57,1.45,1.57,3070,0
INTLPGE32292.PL,D,20201012,000000,1.27,1.27,1.27,1.27,1000,0
INTLPGE32292.PL,D,20201013,000000,1.19,1.19,1.19,1.19,1000,0
INTLPGE32292.PL,D,20201015,000000,0.94,0.94,0.9,0.9,1300,0
INTLPGE32292.PL,D,20201016,000000,0.75,0.75,0.71,0.71,3169,0
