<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPLA29751.PL,D,20200403,000000,5.34,5.34,5.34,5.34,400,0
INTLPLA29751.PL,D,20200407,000000,6.59,6.59,6.11,6.11,1836,0
INTLPLA29751.PL,D,20200414,000000,7,9.51,7,9.51,4622,0
INTLPLA29751.PL,D,20200415,000000,7.48,7.48,7.48,7.48,2900,0
INTLPLA29751.PL,D,20200416,000000,8.16,8.16,8.08,8.08,6900,0
INTLPLA29751.PL,D,20200421,000000,7.45,7.45,6.5,6.5,1500,0
INTLPLA29751.PL,D,20200424,000000,6.86,6.86,6.86,6.86,350,0
INTLPLA29751.PL,D,20200429,000000,8.25,8.3,8.25,8.3,350,0
INTLPLA29751.PL,D,20200506,000000,6.9,6.9,6.9,6.9,300,0
INTLPLA29751.PL,D,20200507,000000,7.05,7.05,7.05,7.05,900,0
INTLPLA29751.PL,D,20200513,000000,7.32,7.32,7.32,7.32,900,0
INTLPLA29751.PL,D,20200515,000000,8.12,8.12,8.12,8.12,300,0
INTLPLA29751.PL,D,20200518,000000,9.1,9.41,9.1,9.41,1056,0
INTLPLA29751.PL,D,20200519,000000,10.37,10.37,10.37,10.37,56,0
INTLPLA29751.PL,D,20200522,000000,9.48,9.48,9.48,9.48,2000,0
INTLPLA29751.PL,D,20200525,000000,9.6,9.6,9.6,9.6,62,0
INTLPLA29751.PL,D,20200529,000000,10.22,10.38,10.22,10.38,194,0
INTLPLA29751.PL,D,20200701,000000,8.86,8.86,8.86,8.86,20,0
INTLPLA29751.PL,D,20200710,000000,9.64,9.64,9.64,9.64,100,0
INTLPLA29751.PL,D,20200714,000000,9.33,9.33,8.69,8.69,200,0
INTLPLA29751.PL,D,20200715,000000,9.05,9.05,9.05,9.05,100,0
INTLPLA29751.PL,D,20200717,000000,9.61,9.61,9.61,9.61,1000,0
INTLPLA29751.PL,D,20200721,000000,11.18,11.18,11.18,11.18,100,0
INTLPLA29751.PL,D,20200722,000000,10.24,10.24,10.24,10.24,100,0
INTLPLA29751.PL,D,20200727,000000,13.06,13.06,13.06,13.06,300,0
INTLPLA29751.PL,D,20200728,000000,12.64,12.84,12.64,12.84,150,0
INTLPLA29751.PL,D,20200730,000000,10.9,11,10.9,11,122,0
INTLPLA29751.PL,D,20200804,000000,12.3,12.3,12.3,12.3,25,0
INTLPLA29751.PL,D,20200805,000000,13.5,13.5,13.5,13.5,25,0
INTLPLA29751.PL,D,20200807,000000,13.88,13.88,13.88,13.88,100,0
INTLPLA29751.PL,D,20200813,000000,13.16,13.16,13.16,13.16,100,0
INTLPLA29751.PL,D,20200818,000000,13.62,13.62,13.6,13.6,320,0
INTLPLA29751.PL,D,20200819,000000,12.84,12.84,12.8,12.8,320,0
INTLPLA29751.PL,D,20200821,000000,11.42,11.42,11.42,11.42,100,0
INTLPLA29751.PL,D,20200825,000000,12.46,12.46,12.42,12.42,200,0
INTLPLA29751.PL,D,20200827,000000,12.96,12.96,12.96,12.96,300,0
INTLPLA29751.PL,D,20200828,000000,12.32,12.32,12.2,12.2,200,0
INTLPLA29751.PL,D,20200831,000000,12.36,12.36,12.36,12.36,100,0
INTLPLA29751.PL,D,20200901,000000,13.12,13.12,13.12,13.12,100,0
INTLPLA29751.PL,D,20200904,000000,11.9,11.9,11.9,11.9,100,0
INTLPLA29751.PL,D,20200907,000000,11.56,11.56,11.46,11.46,500,0
INTLPLA29751.PL,D,20200908,000000,11.22,11.22,11.22,11.22,200,0
INTLPLA29751.PL,D,20200911,000000,12.3,12.3,12.3,12.3,100,0
INTLPLA29751.PL,D,20200914,000000,13.4,13.4,13.4,13.4,100,0
INTLPLA29751.PL,D,20200915,000000,13.56,13.82,13.54,13.54,800,0
INTLPLA29751.PL,D,20200916,000000,14.08,14.16,14.08,14.14,400,0
INTLPLA29751.PL,D,20200917,000000,13.08,13.08,12.7,12.7,300,0
INTLPLA29751.PL,D,20200918,000000,12.98,12.98,12.72,12.88,401,0
INTLPLA29751.PL,D,20200923,000000,9.82,9.82,9.82,9.82,100,0
INTLPLA29751.PL,D,20200924,000000,9.2,9.2,9.2,9.2,100,0
INTLPLA29751.PL,D,20200928,000000,11,11,11,11,100,0
