<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLSLV33332.PL,D,20200730,000000,8.29,8.8,7,7.15,6775,0
INTLSLV33332.PL,D,20200731,000000,10.94,11.54,9.49,9.49,8713,0
INTLSLV33332.PL,D,20200803,000000,11.74,11.82,10.7,11.58,6494,0
INTLSLV33332.PL,D,20200804,000000,11.7,13.3,10.82,13.3,14119,0
INTLSLV33332.PL,D,20200805,000000,19.24,21.85,19,21.25,17825,0
INTLSLV33332.PL,D,20200806,000000,23.65,26.9,22.6,25.4,21457,0
INTLSLV33332.PL,D,20200807,000000,27,28.3,23.85,24.5,25570,0
INTLSLV33332.PL,D,20200810,000000,26.3,30.5,26.2,29.9,7602,0
INTLSLV33332.PL,D,20200811,000000,26.6,26.95,20.9,22.5,23302,0
INTLSLV33332.PL,D,20200812,000000,14.76,18.98,14,16.48,40314,0
INTLSLV33332.PL,D,20200813,000000,17.04,20.85,16.7,20.6,16614,0
INTLSLV33332.PL,D,20200814,000000,19.56,21.4,19.56,20.85,15540,0
INTLSLV33332.PL,D,20200817,000000,21.2,23.4,20.65,23.25,10881,0
INTLSLV33332.PL,D,20200818,000000,24.7,26.4,21.7,23.35,24194,0
INTLSLV33332.PL,D,20200819,000000,22.6,24.25,22.05,22.9,17280,0
INTLSLV33332.PL,D,20200820,000000,21.6,22.45,20.4,22,18162,0
INTLSLV33332.PL,D,20200821,000000,22.1,22.2,18.5,20.2,10587,0
INTLSLV33332.PL,D,20200824,000000,19.76,22,19.76,19.84,1858,0
INTLSLV33332.PL,D,20200825,000000,19.84,19.88,18.86,19.08,2772,0
INTLSLV33332.PL,D,20200826,000000,18.52,20.75,18,20.75,1758,0
INTLSLV33332.PL,D,20200827,000000,22.25,24.75,20.45,21.25,2700,0
INTLSLV33332.PL,D,20200828,000000,22.9,23.5,22.3,22.8,1268,0
INTLSLV33332.PL,D,20200831,000000,24.65,25.55,24.6,25.55,3041,0
INTLSLV33332.PL,D,20200901,000000,27.15,27.8,26.25,26.25,13461,0
INTLSLV33332.PL,D,20200902,000000,24.35,24.8,22.7,22.7,3408,0
INTLSLV33332.PL,D,20200903,000000,21.45,21.45,21.35,21.35,813,0
INTLSLV33332.PL,D,20200904,000000,20.55,21.25,20.55,20.7,4225,0
INTLSLV33332.PL,D,20200907,000000,20.65,20.65,20.65,20.65,48,0
INTLSLV33332.PL,D,20200908,000000,21.4,21.4,18.38,19.06,689,0
INTLSLV33332.PL,D,20200909,000000,20.3,21,19.54,20.95,2320,0
INTLSLV33332.PL,D,20200910,000000,21.4,22.7,21.4,22.7,5559,0
INTLSLV33332.PL,D,20200911,000000,20.55,21.1,20.55,21.1,1500,0
INTLSLV33332.PL,D,20200914,000000,20.85,20.85,20.85,20.85,9,0
INTLSLV33332.PL,D,20200915,000000,22.55,23.6,21.4,22,2790,0
INTLSLV33332.PL,D,20200916,000000,22.55,22.55,22.55,22.55,344,0
INTLSLV33332.PL,D,20200917,000000,20.55,20.9,19,20.25,3090,0
INTLSLV33332.PL,D,20200918,000000,22,22,20.45,21.05,1600,0
INTLSLV33332.PL,D,20200921,000000,20.2,20.2,9.26,12.16,2023,0
INTLSLV33332.PL,D,20200922,000000,11.62,12.2,10.12,12.2,5691,0
INTLSLV33332.PL,D,20200923,000000,8.09,9.17,6.76,7.15,110943,0
