<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLUSD21287.PL,D,20180530,000000,35.62,35.62,35.62,35.62,275,0
INTLUSD21287.PL,D,20180604,000000,29.83,29.83,29.83,29.83,275,0
INTLUSD21287.PL,D,20180607,000000,24,24,24,24,125,0
INTLUSD21287.PL,D,20180608,000000,26.7,26.79,26.7,26.79,1475,0
INTLUSD21287.PL,D,20180613,000000,27.2,27.2,27.2,27.2,10,0
INTLUSD21287.PL,D,20180614,000000,24.2,25.97,24.2,25.97,1650,0
INTLUSD21287.PL,D,20180620,000000,34.61,34.61,34.61,34.61,10,0
INTLUSD21287.PL,D,20180706,000000,33.99,33.99,33.99,33.99,202,0
INTLUSD21287.PL,D,20180709,000000,30.97,30.97,30.97,30.97,202,0
INTLUSD21287.PL,D,20180710,000000,30.8,30.83,30.8,30.83,80,0
INTLUSD21287.PL,D,20180711,000000,31.97,31.97,31.97,31.97,117,0
INTLUSD21287.PL,D,20180712,000000,32.18,32.18,32.18,32.18,40,0
INTLUSD21287.PL,D,20180713,000000,32.34,34.43,32.34,34.43,521,0
INTLUSD21287.PL,D,20180716,000000,29.14,29.14,29.14,29.14,40,0
INTLUSD21287.PL,D,20180727,000000,29.96,30.34,29.96,30.34,320,0
INTLUSD21287.PL,D,20180730,000000,27.78,27.78,27.78,27.78,404,0
INTLUSD21287.PL,D,20180802,000000,28.17,28.17,28.17,28.17,50,0
INTLUSD21287.PL,D,20180803,000000,30.48,30.48,30.48,30.48,50,0
INTLUSD21287.PL,D,20180813,000000,37.24,37.24,37.24,37.24,402,0
INTLUSD21287.PL,D,20180821,000000,34.12,34.12,34.12,34.12,200,0
INTLUSD21287.PL,D,20180822,000000,31.58,32.27,31.58,32.27,400,0
INTLUSD21287.PL,D,20180828,000000,25.52,25.52,25.52,25.52,202,0
INTLUSD21287.PL,D,20180830,000000,29.14,29.14,29.14,29.14,198,0
INTLUSD21287.PL,D,20180920,000000,26.12,26.12,26.12,26.12,602,0
INTLUSD21287.PL,D,20180925,000000,25.92,25.92,25.92,25.92,204,0
INTLUSD21287.PL,D,20180928,000000,27.18,27.18,27.18,27.18,200,0
INTLUSD21287.PL,D,20181001,000000,28.57,28.57,28.57,28.57,198,0
INTLUSD21287.PL,D,20181004,000000,34.19,34.19,34.19,34.19,120,0
INTLUSD21287.PL,D,20181005,000000,33.41,33.5,33.41,33.5,722,0
INTLUSD21287.PL,D,20181008,000000,35,35,35,35,20,0
INTLUSD21287.PL,D,20181010,000000,34.22,34.22,34.22,34.22,20,0
INTLUSD21287.PL,D,20181012,000000,30.3,30.3,30.3,30.3,204,0
INTLUSD21287.PL,D,20181017,000000,31.36,31.36,31.36,31.36,204,0
INTLUSD21287.PL,D,20181019,000000,35.31,35.31,35.31,35.31,204,0
INTLUSD21287.PL,D,20181025,000000,36.74,37.99,36.74,37.99,198,0
