<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLW2030759.PL,D,20200417,000000,1.4,1.41,1.27,1.3,32966,0
INTLW2030759.PL,D,20200420,000000,1.28,1.48,1.15,1.48,7514,0
INTLW2030759.PL,D,20200421,000000,1.3,1.32,0.78,0.81,55422,0
INTLW2030759.PL,D,20200422,000000,0.73,1.18,0.59,1.18,66077,0
INTLW2030759.PL,D,20200423,000000,1.18,1.38,0.95,1.38,38314,0
INTLW2030759.PL,D,20200424,000000,1.15,1.36,1.1,1.1,113681,0
INTLW2030759.PL,D,20200427,000000,1.28,1.3,0.92,1.05,96655,0
INTLW2030759.PL,D,20200428,000000,0.95,1.35,0.95,1.1,60091,0
INTLW2030759.PL,D,20200429,000000,1.16,1.59,1.07,1.59,94626,0
INTLW2030759.PL,D,20200430,000000,1.77,1.93,1.49,1.58,62432,0
INTLW2030759.PL,D,20200504,000000,1.18,1.22,1.01,1.06,92817,0
INTLW2030759.PL,D,20200505,000000,1.18,1.25,0.95,1.05,86768,0
INTLW2030759.PL,D,20200506,000000,0.99,0.99,0.71,0.81,150614,0
INTLW2030759.PL,D,20200507,000000,0.75,1.03,0.63,0.92,105825,0
INTLW2030759.PL,D,20200508,000000,1.11,1.21,1.06,1.1,445828,0
INTLW2030759.PL,D,20200511,000000,1.21,1.22,0.86,0.98,185798,0
INTLW2030759.PL,D,20200512,000000,1.02,1.24,0.96,1.24,71485,0
INTLW2030759.PL,D,20200513,000000,1.22,1.37,1.13,1.19,49010,0
INTLW2030759.PL,D,20200514,000000,1,1.01,0.63,0.76,99370,0
INTLW2030759.PL,D,20200515,000000,1.01,1.03,0.72,0.84,183367,0
INTLW2030759.PL,D,20200518,000000,0.98,1.39,0.95,1.39,136445,0
INTLW2030759.PL,D,20200519,000000,1.59,1.63,1.35,1.45,38600,0
INTLW2030759.PL,D,20200520,000000,1.45,1.65,1.44,1.65,8878,0
INTLW2030759.PL,D,20200521,000000,1.46,1.58,1.4,1.4,26780,0
INTLW2030759.PL,D,20200522,000000,1.25,1.33,1.2,1.33,264278,0
INTLW2030759.PL,D,20200525,000000,1.44,1.51,1.44,1.51,5334,0
INTLW2030759.PL,D,20200526,000000,1.68,2.1,1.67,2.1,9481,0
INTLW2030759.PL,D,20200527,000000,2.15,2.65,2.1,2.1,51904,0
INTLW2030759.PL,D,20200528,000000,2.36,2.46,2.02,2.17,16329,0
INTLW2030759.PL,D,20200529,000000,2.14,2.18,2.03,2.18,3800,0
INTLW2030759.PL,D,20200601,000000,2.52,2.52,2.43,2.43,1260,0
INTLW2030759.PL,D,20200602,000000,2.33,2.43,2.33,2.4,5010,0
INTLW2030759.PL,D,20200603,000000,2.55,2.8,2.55,2.7,6966,0
INTLW2030759.PL,D,20200604,000000,2.61,2.8,2.59,2.8,7022,0
INTLW2030759.PL,D,20200605,000000,3,3.42,3,3.19,12973,0
INTLW2030759.PL,D,20200608,000000,3.26,3.48,3.26,3.48,1035,0
INTLW2030759.PL,D,20200609,000000,3.24,3.29,3.13,3.29,1620,0
INTLW2030759.PL,D,20200610,000000,3.44,3.44,3.36,3.38,9473,0
INTLW2030759.PL,D,20200612,000000,2.9,2.91,2.74,2.91,2027,0
INTLW2030759.PL,D,20200615,000000,2.48,2.48,2.48,2.48,400,0
INTLW2030759.PL,D,20200616,000000,3.01,3.09,3.01,3.09,1000,0
INTLW2030759.PL,D,20200617,000000,2.94,2.94,2.82,2.82,900,0
INTLW2030759.PL,D,20200619,000000,3,3.02,3,3.02,1482,0
INTLW2030759.PL,D,20200623,000000,3.4,3.4,3.39,3.39,4043,0
INTLW2030759.PL,D,20200625,000000,2.72,2.72,2.72,2.72,300,0
INTLW2030759.PL,D,20200629,000000,2.57,2.57,2.57,2.57,1000,0
INTLW2030759.PL,D,20200630,000000,2.52,2.52,2.52,2.52,400,0
INTLW2030759.PL,D,20200701,000000,2.44,2.44,2.44,2.44,300,0
INTLW2030759.PL,D,20200702,000000,3.05,3.05,3.05,3.05,400,0
INTLW2030759.PL,D,20200706,000000,3.34,3.34,3.14,3.2,1317,0
INTLW2030759.PL,D,20200713,000000,3.03,3.03,3.03,3.03,317,0
INTLW2030759.PL,D,20200720,000000,3.14,3.14,3.14,3.14,500,0
INTLW2030759.PL,D,20200721,000000,3.58,3.67,3.46,3.46,3029,0
INTLW2030759.PL,D,20200723,000000,3.17,3.17,3.17,3.17,982,0
INTLW2030759.PL,D,20200803,000000,3,3,3,3,550,0
INTLW2030759.PL,D,20200805,000000,3.29,3.29,3.26,3.26,1100,0
INTLW2030759.PL,D,20200806,000000,3.37,3.37,3.26,3.26,1110,0
INTLW2030759.PL,D,20200811,000000,3.35,3.35,3.35,3.35,560,0
