<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSBCO28308.PL,D,20200320,000000,64.9,66,64.9,66,100,0
INTSBCO28308.PL,D,20200323,000000,71.35,72.35,71.35,72.35,100,0
INTSBCO28308.PL,D,20200324,000000,64.5,65.5,64.5,65.5,100,0
INTSBCO28308.PL,D,20200325,000000,72,72,68.9,68.9,51,0
INTSBCO28308.PL,D,20200326,000000,69.9,69.9,66.6,67.8,151,0
INTSBCO28308.PL,D,20200330,000000,80.9,80.9,80.9,80.9,25,0
INTSBCO28308.PL,D,20200331,000000,77.05,77.05,77.05,77.05,25,0
INTSBCO28308.PL,D,20200401,000000,85.3,86.05,84.2,84.2,50,0
INTSBCO28308.PL,D,20200402,000000,63.95,64.45,63.95,64.45,100,0
INTSBCO28308.PL,D,20200403,000000,65.9,65.9,47,50.2,801,0
INTSBCO28308.PL,D,20200406,000000,49.66,53.3,49.66,52.75,6826,0
INTSBCO28308.PL,D,20200408,000000,55.7,57.3,55.7,56.5,13709,0
INTSBCO28308.PL,D,20200409,000000,49.05,50.05,42.04,42.04,6929,0
INTSBCO28308.PL,D,20200414,000000,60.65,60.65,60.35,60.35,400,0
INTSBCO28308.PL,D,20200420,000000,76.8,76.8,76.8,76.8,13,0
INTSBCO28308.PL,D,20200423,000000,102.8,102.8,99,99,50,0
INTSBCO28308.PL,D,20200424,000000,107,107,101.1,103.8,70,0
INTSBCO28308.PL,D,20200427,000000,108.3,108.3,107,107.6,80,0
INTSBCO28308.PL,D,20200429,000000,104.9,104.9,104.9,104.9,15,0
INTSBCO28308.PL,D,20200430,000000,97.75,97.75,97.75,97.75,15,0
INTSBCO28308.PL,D,20200505,000000,85.15,86.6,81.95,81.95,103,0
INTSBCO28308.PL,D,20200506,000000,78.35,82.95,78.35,82.95,39,0
INTSBCO28308.PL,D,20200508,000000,80.55,80.55,80.55,80.55,20,0
INTSBCO28308.PL,D,20200515,000000,72.55,74.9,72.45,74.9,108,0
INTSBCO28308.PL,D,20200518,000000,66,66,63,63,165,0
INTSBCO28308.PL,D,20200520,000000,58.8,58.8,56,56,62,0
INTSBCO28308.PL,D,20200522,000000,64.7,64.8,64.7,64.8,300,0
INTSBCO28308.PL,D,20200526,000000,51.6,54.9,51.6,54.9,23,0
INTSBCO28308.PL,D,20200527,000000,55.9,58.3,55.9,58.3,140,0
INTSBCO28308.PL,D,20200528,000000,60.6,61.2,60.6,61.2,40,0
INTSBCO28308.PL,D,20200602,000000,41.5,41.5,41.5,41.5,50,0
INTSBCO28308.PL,D,20200605,000000,35.5,35.5,30.75,31.2,250,0
INTSBCO28308.PL,D,20200608,000000,30.65,34.65,30.15,34.65,1356,0
INTSBCO28308.PL,D,20200609,000000,38.3,38.3,37.4,37.4,100,0
INTSBCO28308.PL,D,20200612,000000,49.85,49.85,49.85,49.85,10,0
INTSBCO28308.PL,D,20200619,000000,29.65,30,28.2,28.2,802,0
INTSBCO28308.PL,D,20200622,000000,29,29,29,29,400,0
INTSBCO28308.PL,D,20200623,000000,24.85,26.3,24.85,26.3,60,0
INTSBCO28308.PL,D,20200624,000000,30.4,34.4,30.4,34.4,6079,0
INTSBCO28308.PL,D,20200625,000000,40,40.4,36.5,36.5,5462,0
INTSBCO28308.PL,D,20200626,000000,33.95,33.95,33.5,33.5,600,0
INTSBCO28308.PL,D,20200701,000000,34.4,34.4,34.4,34.4,2287,0
INTSBCO28308.PL,D,20200702,000000,28.4,28.4,28.4,28.4,10,0
INTSBCO28308.PL,D,20200703,000000,28.75,29.2,28.75,29.2,90,0
INTSBCO28308.PL,D,20200706,000000,25.5,26.5,25.35,26.5,2982,0
INTSBCO28308.PL,D,20200707,000000,28,28,28,28,6,0
INTSBCO28308.PL,D,20200708,000000,27.35,27.55,27.35,27.55,2741,0
INTSBCO28308.PL,D,20200709,000000,25.75,30.85,25.6,30.85,352,0
INTSBCO28308.PL,D,20200710,000000,33.4,33.7,29.35,29.35,5358,0
INTSBCO28308.PL,D,20200713,000000,28.95,28.95,28.95,28.95,260,0
INTSBCO28308.PL,D,20200714,000000,29.2,29.2,29.2,29.2,260,0
INTSBCO28308.PL,D,20200715,000000,25,25,25,25,79,0
INTSBCO28308.PL,D,20200716,000000,25,25.75,25,25.75,120,0
INTSBCO28308.PL,D,20200717,000000,27.5,27.5,27.5,27.5,100,0
INTSBCO28308.PL,D,20200720,000000,28.9,28.9,28.9,28.9,28,0
INTSBCO28308.PL,D,20200721,000000,22.85,22.85,20,20,6428,0
INTSBCO28308.PL,D,20200722,000000,21.4,23.1,21.2,23,4399,0
INTSBCO28308.PL,D,20200723,000000,20.15,22.6,19.1,22.6,930,0
INTSBCO28308.PL,D,20200724,000000,24.7,25.05,22.7,24.5,2146,0
INTSBCO28308.PL,D,20200727,000000,22,25.85,22,25.85,370,0
INTSBCO28308.PL,D,20200728,000000,22.25,23.75,22,23.7,5838,0
INTSBCO28308.PL,D,20200729,000000,23.2,23.2,22,22.9,2977,0
INTSBCO28308.PL,D,20200730,000000,23.5,30.85,23.5,28.8,5830,0
INTSBCO28308.PL,D,20200731,000000,23.95,26.05,23.9,26.05,6566,0
INTSBCO28308.PL,D,20200803,000000,26.15,26.15,22.9,23.4,1329,0
INTSBCO28308.PL,D,20200804,000000,22.35,24.35,22,22,3880,0
INTSBCO28308.PL,D,20200805,000000,19.72,20,13.9,15.6,21433,0
INTSBCO28308.PL,D,20200806,000000,17.14,18.72,16.48,17.6,14011,0
INTSBCO28308.PL,D,20200807,000000,18.5,20.7,18.06,20.55,14429,0
INTSBCO28308.PL,D,20200810,000000,19.1,19.6,17.8,17.8,2368,0
INTSBCO28308.PL,D,20200811,000000,16.3,17.6,15.46,17.32,1995,0
INTSBCO28308.PL,D,20200812,000000,18.68,18.84,17.22,17.22,337,0
INTSBCO28308.PL,D,20200813,000000,17.5,17.5,16.12,16.12,308,0
INTSBCO28308.PL,D,20200814,000000,18.86,20.1,18.74,19.12,3092,0
INTSBCO28308.PL,D,20200818,000000,17.02,17.02,16.2,16.2,5210,0
INTSBCO28308.PL,D,20200819,000000,17.68,17.68,17.68,17.68,500,0
INTSBCO28308.PL,D,20200820,000000,18.36,20.35,18.36,18.8,10410,0
INTSBCO28308.PL,D,20200821,000000,19.6,19.6,19.6,19.6,300,0
INTSBCO28308.PL,D,20200824,000000,19,19,18.4,18.4,950,0
INTSBCO28308.PL,D,20200825,000000,16.6,16.66,14.44,15.46,3802,0
INTSBCO28308.PL,D,20200826,000000,15.38,15.96,14.6,14.6,4615,0
INTSBCO28308.PL,D,20200827,000000,15.68,19,15.54,19,4308,0
INTSBCO28308.PL,D,20200828,000000,18.1,18.2,16.9,17.5,1296,0
INTSBCO28308.PL,D,20200831,000000,15,15.24,14.4,15.22,15435,0
INTSBCO28308.PL,D,20200901,000000,16.32,16.32,15.5,15.5,1310,0
INTSBCO28308.PL,D,20200902,000000,16.16,20.15,16.16,20.15,2234,0
INTSBCO28308.PL,D,20200903,000000,23.95,26.35,23.3,23.3,681,0
INTSBCO28308.PL,D,20200904,000000,25.3,27.5,22.5,27.5,895,0
INTSBCO28308.PL,D,20200907,000000,30.95,32.15,29.8,29.8,1747,0
INTSBCO28308.PL,D,20200908,000000,32.2,41,32.2,41,12118,0
INTSBCO28308.PL,D,20200909,000000,39.75,39.75,37.35,38.5,438,0
INTSBCO28308.PL,D,20200910,000000,37.1,37.8,36.8,36.8,179,0
INTSBCO28308.PL,D,20200911,000000,38.55,40.7,38.55,39.15,1666,0
INTSBCO28308.PL,D,20200914,000000,40.25,40.9,39.7,39.7,340,0
INTSBCO28308.PL,D,20200915,000000,39.2,39.2,37.45,38,435,0
INTSBCO28308.PL,D,20200916,000000,33.7,33.7,32.75,32.8,1455,0
INTSBCO28308.PL,D,20200917,000000,32.2,32.2,27.15,27.35,3158,0
INTSBCO28308.PL,D,20200918,000000,24.6,29.15,24.6,25.7,3652,0
INTSBCO28308.PL,D,20200921,000000,28.8,34.5,28.8,34.5,4463,0
INTSBCO28308.PL,D,20200922,000000,33.55,33.55,31.55,33.15,648,0
INTSBCO28308.PL,D,20200923,000000,33.85,33.85,30.6,31,568,0
INTSBCO28308.PL,D,20200924,000000,33.55,34.4,32.95,33.85,561,0
INTSBCO28308.PL,D,20200925,000000,31.35,33.3,31.35,33.3,24,0
INTSBCO28308.PL,D,20200928,000000,32,32,31,31,154,0
INTSBCO28308.PL,D,20200929,000000,32,34.2,32,34.2,149,0
INTSBCO28308.PL,D,20200930,000000,37.6,38,36.85,36.85,200,0
INTSBCO28308.PL,D,20201001,000000,34.5,38.45,34.5,38.45,200,0
INTSBCO28308.PL,D,20201002,000000,41.3,43.1,41.3,42.7,68,0
INTSBCO28308.PL,D,20201005,000000,36.1,36.1,36.1,36.1,100,0
INTSBCO28308.PL,D,20201006,000000,34.75,34.75,30.05,30.05,1484,0
INTSBCO28308.PL,D,20201007,000000,31.85,34,31.65,34,300,0
INTSBCO28308.PL,D,20201008,000000,31.5,31.55,28.9,28.9,2060,0
INTSBCO28308.PL,D,20201009,000000,28,29.1,27.05,28.3,4288,0
INTSBCO28308.PL,D,20201012,000000,30.95,33.85,30.95,33.8,1621,0
INTSBCO28308.PL,D,20201013,000000,33,33,30.8,31.65,127,0
INTSBCO28308.PL,D,20201015,000000,29.4,34.2,29.4,33.35,247,0
INTSBCO28308.PL,D,20201016,000000,31,31,30.1,30.1,80,0
