<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSCCC27029.PL,D,20200130,000000,4.34,4.36,3.52,3.52,31335,0
INTSCCC27029.PL,D,20200131,000000,3.55,3.91,3.55,3.83,12203,0
INTSCCC27029.PL,D,20200203,000000,4.05,4.05,3.96,3.96,896,0
INTSCCC27029.PL,D,20200204,000000,3.71,3.71,3.61,3.64,3340,0
INTSCCC27029.PL,D,20200207,000000,3.88,3.91,3.07,3.07,13500,0
INTSCCC27029.PL,D,20200210,000000,3.05,3.05,3.05,3.05,246,0
INTSCCC27029.PL,D,20200217,000000,3.7,3.8,3.7,3.8,8634,0
INTSCCC27029.PL,D,20200218,000000,3.57,3.63,3.57,3.63,4110,0
INTSCCC27029.PL,D,20200219,000000,3.85,3.85,3.77,3.77,133,0
INTSCCC27029.PL,D,20200220,000000,4,4,4,4,25,0
INTSCCC27029.PL,D,20200221,000000,4.13,4.13,3.99,4.1,4886,0
INTSCCC27029.PL,D,20200226,000000,5.31,5.64,4.94,4.94,2477,0
INTSCCC27029.PL,D,20200227,000000,5.48,5.55,5.48,5.55,336,0
INTSCCC27029.PL,D,20200228,000000,6.34,6.34,6.34,6.34,550,0
INTSCCC27029.PL,D,20200302,000000,6.26,6.26,6.18,6.18,510,0
INTSCCC27029.PL,D,20200303,000000,6.15,6.15,5.75,5.75,496,0
INTSCCC27029.PL,D,20200304,000000,5.8,5.8,5.8,5.8,300,0
INTSCCC27029.PL,D,20200305,000000,5.92,5.92,5.92,5.92,181,0
INTSCCC27029.PL,D,20200306,000000,6.23,6.23,6.23,6.23,246,0
INTSCCC27029.PL,D,20200309,000000,6.62,6.62,6.6,6.6,480,0
INTSCCC27029.PL,D,20200310,000000,6.83,6.83,6.83,6.83,100,0
INTSCCC27029.PL,D,20200313,000000,9.64,9.64,9.64,9.64,600,0
INTSCCC27029.PL,D,20200423,000000,8.96,8.96,8.96,8.96,114,0
INTSCCC27029.PL,D,20200428,000000,9.22,9.22,9.22,9.22,114,0
INTSCCC27029.PL,D,20200605,000000,5.82,6.15,5.82,6.15,400,0
INTSCCC27029.PL,D,20200608,000000,6.51,6.51,6.51,6.51,100,0
INTSCCC27029.PL,D,20200609,000000,6.7,6.7,6.67,6.67,299,0
INTSCCC27029.PL,D,20200610,000000,6.52,6.52,6.52,6.52,100,0
INTSCCC27029.PL,D,20200615,000000,7.13,7.13,7.1,7.1,200,0
INTSCCC27029.PL,D,20200616,000000,6.73,6.73,6.73,6.73,50,0
INTSCCC27029.PL,D,20200731,000000,7.51,7.51,7.51,7.51,254,0
INTSCCC27029.PL,D,20200819,000000,7.52,7.52,7.52,7.52,34,0
INTSCCC27029.PL,D,20200929,000000,8.56,8.56,8.56,8.56,34,0
INTSCCC27029.PL,D,20201001,000000,8.18,8.18,8.18,8.18,20,0
INTSCCC27029.PL,D,20201014,000000,8.4,8.4,8.4,8.4,20,0
