<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSCDR34124.PL,D,20200903,000000,12,13.14,12,13.04,530,0
INTSCDR34124.PL,D,20200904,000000,14.92,15,12.8,12.94,5760,0
INTSCDR34124.PL,D,20200907,000000,13.4,13.4,12.38,12.38,622,0
INTSCDR34124.PL,D,20200908,000000,12.86,13.36,12.8,13.08,2147,0
INTSCDR34124.PL,D,20200909,000000,13.36,13.54,12.88,12.88,1290,0
INTSCDR34124.PL,D,20200910,000000,13,13.3,13,13.3,160,0
INTSCDR34124.PL,D,20200914,000000,12.88,14.36,12.88,14.28,4360,0
INTSCDR34124.PL,D,20200915,000000,14.94,16,14.74,15.9,9121,0
INTSCDR34124.PL,D,20200916,000000,15.92,16.02,15.1,15.78,1874,0
INTSCDR34124.PL,D,20200917,000000,15.82,16.32,15.68,15.92,3308,0
INTSCDR34124.PL,D,20200918,000000,15.58,15.58,15.42,15.46,569,0
INTSCDR34124.PL,D,20200921,000000,16.5,17.2,16.5,17.04,4569,0
INTSCDR34124.PL,D,20200922,000000,16.66,17.12,15.64,15.92,10870,0
INTSCDR34124.PL,D,20200923,000000,15.7,15.78,15.5,15.68,726,0
INTSCDR34124.PL,D,20200924,000000,15.84,16.32,15.6,16.08,3887,0
INTSCDR34124.PL,D,20200925,000000,15.82,15.82,15.6,15.8,658,0
INTSCDR34124.PL,D,20200928,000000,14.56,14.68,13.4,13.68,4597,0
INTSCDR34124.PL,D,20200929,000000,13.46,13.46,12.74,12.8,5237,0
INTSCDR34124.PL,D,20200930,000000,13.5,14.18,13.5,14.16,17430,0
INTSCDR34124.PL,D,20201001,000000,15.1,18.16,15.06,17.74,17472,0
INTSCDR34124.PL,D,20201002,000000,16.84,17.7,16.4,16.48,9822,0
INTSCDR34124.PL,D,20201005,000000,16.1,16.28,15.28,16.28,13220,0
INTSCDR34124.PL,D,20201006,000000,16.26,18.44,16.16,18.4,9529,0
INTSCDR34124.PL,D,20201007,000000,19.42,19.42,18.18,18.66,5400,0
INTSCDR34124.PL,D,20201008,000000,18.12,18.12,17.32,17.5,6415,0
INTSCDR34124.PL,D,20201009,000000,17.48,18.5,17.48,17.9,6912,0
INTSCDR34124.PL,D,20201012,000000,18.5,19.02,18.46,19.02,4320,0
INTSCDR34124.PL,D,20201013,000000,18.32,18.32,17.94,18,650,0
INTSCDR34124.PL,D,20201014,000000,17.62,17.62,16.48,16.48,4562,0
INTSCDR34124.PL,D,20201015,000000,18.54,18.54,18.54,18.54,80,0
INTSCDR34124.PL,D,20201016,000000,17.36,17.82,17.36,17.74,160,0
