<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSDBK19000.PL,D,20171220,000000,15.32,15.32,15.32,15.32,19,0
INTSDBK19000.PL,D,20171221,000000,17,17,17,17,19,0
INTSDBK19000.PL,D,20180302,000000,32.03,32.03,32.03,32.03,8,0
INTSDBK19000.PL,D,20180405,000000,36.58,36.58,36.58,36.58,8,0
INTSDBK19000.PL,D,20181212,000000,52,52,52,52,10,0
INTSDBK19000.PL,D,20190430,000000,50.5,50.5,50.5,50.5,10,0
INTSDBK19000.PL,D,20200311,000000,53.85,53.85,53.85,53.85,10,0
INTSDBK19000.PL,D,20200929,000000,49.65,49.65,49.35,49.35,36,0
INTSDBK19000.PL,D,20200930,000000,49.75,49.75,49.75,49.75,3,0
INTSDBK19000.PL,D,20201001,000000,49.1,49.1,49.1,49.1,5,0
