<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSPKN27649.PL,D,20200305,000000,22.74,24.33,22.74,23.75,180,0
INTSPKN27649.PL,D,20200306,000000,27.54,27.73,26.85,26.85,446,0
INTSPKN27649.PL,D,20200309,000000,31.53,31.53,25.75,27,783,0
INTSPKN27649.PL,D,20200310,000000,26.35,29.37,26.35,29.37,512,0
INTSPKN27649.PL,D,20200311,000000,30.62,35,30.62,34.95,3901,0
INTSPKN27649.PL,D,20200312,000000,39.28,39.62,37.06,37.81,70,0
INTSPKN27649.PL,D,20200313,000000,36.54,38.37,31.71,34.94,154,0
INTSPKN27649.PL,D,20200316,000000,38.08,38.08,38.08,38.08,4,0
INTSPKN27649.PL,D,20200317,000000,30.89,33.3,30.89,33.3,62,0
INTSPKN27649.PL,D,20200318,000000,33.5,34.28,31.38,34.28,80,0
INTSPKN27649.PL,D,20200319,000000,33.05,33.12,33.05,33.12,88,0
INTSPKN27649.PL,D,20200320,000000,29.28,29.31,29.28,29.31,99,0
INTSPKN27649.PL,D,20200323,000000,31.1,31.1,31.1,31.1,20,0
INTSPKN27649.PL,D,20200324,000000,31.73,31.73,31.73,31.73,100,0
INTSPKN27649.PL,D,20200330,000000,28.69,28.69,28.69,28.69,11,0
INTSPKN27649.PL,D,20200401,000000,26.36,26.36,26.36,26.36,11,0
INTSPKN27649.PL,D,20200402,000000,20.9,21.28,19.67,19.67,130,0
INTSPKN27649.PL,D,20200403,000000,18.68,21.22,18.22,21.22,272,0
INTSPKN27649.PL,D,20200406,000000,19.06,19.86,17.93,17.93,820,0
INTSPKN27649.PL,D,20200407,000000,15.12,16.45,13.92,16.17,5915,0
INTSPKN27649.PL,D,20200408,000000,17.78,17.78,15.5,16.76,6857,0
INTSPKN27649.PL,D,20200409,000000,16.07,17.73,16.07,17.31,2066,0
INTSPKN27649.PL,D,20200414,000000,17.2,17.2,16.61,16.61,1007,0
INTSPKN27649.PL,D,20200415,000000,18.43,19.25,18.07,19.25,4022,0
INTSPKN27649.PL,D,20200416,000000,21.34,21.36,20.66,21.25,1872,0
INTSPKN27649.PL,D,20200417,000000,20.5,20.5,20.5,20.5,50,0
INTSPKN27649.PL,D,20200420,000000,20.92,20.92,19.19,19.19,135,0
INTSPKN27649.PL,D,20200421,000000,20.88,22.79,20.88,21.86,168,0
INTSPKN27649.PL,D,20200422,000000,23.19,23.19,21.5,21.5,1374,0
INTSPKN27649.PL,D,20200423,000000,20.99,20.99,20.2,20.2,875,0
INTSPKN27649.PL,D,20200427,000000,20.27,20.27,20.27,20.27,855,0
INTSPKN27649.PL,D,20200430,000000,18.2,18.2,18.2,18.2,1000,0
INTSPKN27649.PL,D,20200504,000000,21.51,21.51,21.51,21.51,70,0
INTSPKN27649.PL,D,20200505,000000,21.07,21.07,21.07,21.07,847,0
INTSPKN27649.PL,D,20200506,000000,22.17,23.19,22.17,22.49,1905,0
INTSPKN27649.PL,D,20200507,000000,20.7,20.7,20.7,20.7,916,0
INTSPKN27649.PL,D,20200514,000000,19.49,21.42,19.49,21.42,1071,0
INTSPKN27649.PL,D,20200518,000000,17.35,17.35,17.35,17.35,30,0
INTSPKN27649.PL,D,20200519,000000,16.13,17.54,16.13,16.94,1154,0
INTSPKN27649.PL,D,20200521,000000,17.4,17.4,17.31,17.31,2074,0
INTSPKN27649.PL,D,20200522,000000,18.32,18.77,18.32,18.77,2100,0
INTSPKN27649.PL,D,20200526,000000,16.84,16.9,15.62,15.62,1176,0
INTSPKN27649.PL,D,20200527,000000,14.1,14.1,13.18,14,3419,0
INTSPKN27649.PL,D,20200528,000000,14.61,15,13.91,14.1,2148,0
INTSPKN27649.PL,D,20200529,000000,14.45,15.77,14.44,15.77,1764,0
INTSPKN27649.PL,D,20200601,000000,13.86,14.1,13.6,14.1,167,0
INTSPKN27649.PL,D,20200602,000000,13.78,13.78,13.78,13.78,30,0
INTSPKN27649.PL,D,20200603,000000,11.98,11.98,11.98,11.98,50,0
INTSPKN27649.PL,D,20200605,000000,11.42,11.42,8.19,8.19,7980,0
INTSPKN27649.PL,D,20200608,000000,8.77,9.84,8.77,9.4,1490,0
INTSPKN27649.PL,D,20200609,000000,10.3,12.14,10.3,11.58,11651,0
INTSPKN27649.PL,D,20200610,000000,12.08,12.08,11.62,11.62,8010,0
INTSPKN27649.PL,D,20200612,000000,14.06,14.48,13.66,14.48,4784,0
INTSPKN27649.PL,D,20200615,000000,17.16,18.28,17.1,18.28,1818,0
INTSPKN27649.PL,D,20200616,000000,15.96,15.96,14.16,14.16,4410,0
INTSPKN27649.PL,D,20200617,000000,14.54,14.54,14.54,14.54,20,0
INTSPKN27649.PL,D,20200619,000000,14.36,14.36,14.36,14.36,270,0
INTSPKN27649.PL,D,20200622,000000,15.64,15.64,15.64,15.64,1193,0
INTSPKN27649.PL,D,20200623,000000,14.8,14.8,13.98,14.5,374,0
INTSPKN27649.PL,D,20200624,000000,15.64,16.64,15.64,16.62,1431,0
INTSPKN27649.PL,D,20200625,000000,17.66,17.92,17,17,2519,0
INTSPKN27649.PL,D,20200626,000000,15.9,15.9,15.9,15.9,50,0
INTSPKN27649.PL,D,20200629,000000,18.24,18.24,18.24,18.24,1208,0
INTSPKN27649.PL,D,20200630,000000,18,18.8,18,18.34,1302,0
INTSPKN27649.PL,D,20200701,000000,18.48,19.1,18.22,18.48,5388,0
INTSPKN27649.PL,D,20200706,000000,17.7,17.9,17.7,17.9,170,0
INTSPKN27649.PL,D,20200707,000000,17.66,17.66,17.66,17.66,1186,0
INTSPKN27649.PL,D,20200708,000000,18.6,19.16,18.6,19.02,1442,0
INTSPKN27649.PL,D,20200709,000000,19.5,19.82,19.5,19.82,541,0
INTSPKN27649.PL,D,20200713,000000,18.2,18.2,18.2,18.2,150,0
INTSPKN27649.PL,D,20200714,000000,17.36,21,16.76,21,2532,0
INTSPKN27649.PL,D,20200715,000000,21.8,22.25,21.4,22.25,1143,0
INTSPKN27649.PL,D,20200716,000000,23,23,20.65,20.7,1465,0
INTSPKN27649.PL,D,20200717,000000,20.1,21.15,20.1,21.15,3318,0
INTSPKN27649.PL,D,20200720,000000,20.75,20.75,20.4,20.4,610,0
INTSPKN27649.PL,D,20200721,000000,20.2,20.2,19.24,20.15,856,0
INTSPKN27649.PL,D,20200723,000000,21,21,21,21,2222,0
INTSPKN27649.PL,D,20200724,000000,22.85,23,22.6,22.6,313,0
INTSPKN27649.PL,D,20200727,000000,22.6,22.6,22.5,22.5,60,0
INTSPKN27649.PL,D,20200728,000000,21.2,22.8,21.2,22.8,3522,0
INTSPKN27649.PL,D,20200729,000000,23.3,23.65,23.3,23.65,1190,0
