<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTSSLV33696.PL,D,20200817,000000,17.66,17.9,16.6,16.6,4032,0
INTSSLV33696.PL,D,20200818,000000,13.42,13.42,11.54,11.74,3002,0
INTSSLV33696.PL,D,20200819,000000,15.4,15.72,12.94,15,26559,0
INTSSLV33696.PL,D,20200820,000000,16.4,17.42,15.98,16.36,24344,0
INTSSLV33696.PL,D,20200821,000000,16.84,20.1,16.84,18.12,15169,0
INTSSLV33696.PL,D,20200824,000000,18.72,18.72,16.18,17.92,28170,0
INTSSLV33696.PL,D,20200825,000000,18.32,19.02,17.8,19.02,17948,0
INTSSLV33696.PL,D,20200826,000000,19.78,19.78,16.8,16.8,22092,0
INTSSLV33696.PL,D,20200827,000000,15.18,18.34,13.3,17.5,6051,0
INTSSLV33696.PL,D,20200828,000000,15.28,15.28,14.1,14.4,24085,0
INTSSLV33696.PL,D,20200831,000000,13.48,13.6,12.82,13.6,20279,0
INTSSLV33696.PL,D,20200901,000000,10.06,11.7,9.45,11.68,14858,0
INTSSLV33696.PL,D,20200902,000000,13.96,15.54,12.68,15.5,24296,0
INTSSLV33696.PL,D,20200903,000000,17.2,17.2,15.26,15.26,13247,0
INTSSLV33696.PL,D,20200904,000000,17.5,17.5,17.5,17.5,175,0
INTSSLV33696.PL,D,20200908,000000,18.28,21,18.28,18.72,966,0
INTSSLV33696.PL,D,20200909,000000,17.18,17.18,17.18,17.18,10,0
INTSSLV33696.PL,D,20200914,000000,17,17,15.74,15.74,78,0
INTSSLV33696.PL,D,20200915,000000,15.6,16.46,15.6,16.04,84,0
INTSSLV33696.PL,D,20200918,000000,16.06,16.8,16.06,16.8,200,0
INTSSLV33696.PL,D,20200921,000000,19.44,27.8,19.44,26.65,739,0
INTSSLV33696.PL,D,20200922,000000,28.25,28.85,27.7,27.7,359,0
INTSSLV33696.PL,D,20200923,000000,30.8,31,30.45,30.9,722,0
INTSSLV33696.PL,D,20200924,000000,36.2,36.2,35.45,35.45,563,0
INTSSLV33696.PL,D,20200925,000000,32.05,33.65,31.9,33.65,509,0
INTSSLV33696.PL,D,20200928,000000,33.55,33.55,32.1,32.1,475,0
INTSSLV33696.PL,D,20200929,000000,29.2,29.2,28,28.9,460,0
INTSSLV33696.PL,D,20200930,000000,30.05,30.05,30.05,30.05,20,0
INTSSLV33696.PL,D,20201001,000000,29.3,29.3,29.2,29.2,140,0
INTSSLV33696.PL,D,20201002,000000,28.3,28.3,28.3,28.3,80,0
INTSSLV33696.PL,D,20201005,000000,28.45,28.45,28.45,28.45,15,0
INTSSLV33696.PL,D,20201007,000000,28.95,28.95,28.95,28.95,3,0
INTSSLV33696.PL,D,20201012,000000,23.7,23.7,23.7,23.7,100,0
INTSSLV33696.PL,D,20201015,000000,28.65,29,28.65,29,634,0
