<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL10SILVE.PL,D,20190808,000000,18.95,18.95,18.95,18.95,55,0
RCFL10SILVE.PL,D,20190809,000000,20.06,20.06,19.13,19.27,454,0
RCFL10SILVE.PL,D,20190812,000000,18.19,18.19,18.19,18.19,518,0
RCFL10SILVE.PL,D,20190813,000000,24.19,25.77,17.28,18.63,1655,0
RCFL10SILVE.PL,D,20190814,000000,20.83,22.69,20.83,22.69,627,0
RCFL10SILVE.PL,D,20190816,000000,21.35,21.38,20.61,21.38,362,0
RCFL10SILVE.PL,D,20190819,000000,18.31,18.31,18.31,18.31,60,0
RCFL10SILVE.PL,D,20190820,000000,21.06,21.06,21.06,21.06,10,0
RCFL10SILVE.PL,D,20190821,000000,20.04,20.04,20.04,20.04,50,0
RCFL10SILVE.PL,D,20190822,000000,19.46,19.49,18.99,18.99,275,0
RCFL10SILVE.PL,D,20190823,000000,20.95,23.74,20.95,23.62,1279,0
RCFL10SILVE.PL,D,20190826,000000,26.55,28.53,26.09,28.36,1033,0
RCFL10SILVE.PL,D,20190827,000000,28.39,32.2,28.39,31.96,3684,0
RCFL10SILVE.PL,D,20190828,000000,37.51,41.13,37.03,37.04,5342,0
RCFL10SILVE.PL,D,20190829,000000,43.71,44.18,41.94,44.18,680,0
RCFL10SILVE.PL,D,20190830,000000,38.53,39.99,37.73,38.93,1947,0
RCFL10SILVE.PL,D,20190902,000000,38.41,42.34,38.41,41.82,1547,0
RCFL10SILVE.PL,D,20190903,000000,41.5,50,41.5,50,1699,0
RCFL10SILVE.PL,D,20190904,000000,59.95,61.3,56.05,60.55,4944,0
RCFL10SILVE.PL,D,20190905,000000,63.65,63.65,31.96,38.12,5082,0
RCFL10SILVE.PL,D,20190906,000000,30.87,40.04,26.8,36.9,7537,0
RCFL10SILVE.PL,D,20190909,000000,25.31,28.05,24.9,24.98,6802,0
RCFL10SILVE.PL,D,20190910,000000,22.89,26.18,22.5,25.17,16080,0
RCFL10SILVE.PL,D,20190911,000000,26.38,26.38,23.42,25.01,7010,0
