<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL2COFF2.PL,D,20200221,000000,6.68,6.68,6.68,6.68,700,0
RCFL2COFF2.PL,D,20200224,000000,6.12,6.12,6.12,6.12,500,0
RCFL2COFF2.PL,D,20200228,000000,6.35,6.35,6.35,6.35,200,0
RCFL2COFF2.PL,D,20200624,000000,4.71,4.71,4.71,4.71,519,0
RCFL2COFF2.PL,D,20200709,000000,4.7,4.7,4.7,4.7,519,0
RCFL2COFF2.PL,D,20200722,000000,5.07,5.07,5.07,5.07,400,0
RCFL2COFF2.PL,D,20200915,000000,6.29,6.29,6.29,6.29,210,0
RCFL2COFF2.PL,D,20200918,000000,6.07,6.07,6.07,6.07,220,0
RCFL2COFF2.PL,D,20200922,000000,5.68,5.68,5.67,5.67,420,0
RCFL2COFF2.PL,D,20200923,000000,5.52,5.52,5.52,5.52,250,0
RCFL2COFF2.PL,D,20201002,000000,4.89,4.89,4.89,4.89,2000,0
RCFL2COFF2.PL,D,20201016,000000,5.41,5.41,5.41,5.41,2000,0
