<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL2PALL3.PL,D,20200713,000000,5.96,5.96,5.96,5.96,576,0
RCFL2PALL3.PL,D,20200716,000000,6.1,6.1,6.1,6.1,400,0
RCFL2PALL3.PL,D,20200717,000000,6.18,6.2,6.15,6.2,350,0
RCFL2PALL3.PL,D,20200720,000000,6.3,6.3,6.3,6.3,424,0
RCFL2PALL3.PL,D,20200721,000000,7.15,7.15,7.15,7.15,150,0
RCFL2PALL3.PL,D,20200723,000000,7.08,7.08,7.08,7.08,500,0
RCFL2PALL3.PL,D,20200727,000000,7.88,7.88,7.88,7.88,260,0
RCFL2PALL3.PL,D,20200729,000000,6.82,6.82,6.82,6.82,340,0
RCFL2PALL3.PL,D,20200811,000000,6.51,6.51,6.51,6.51,400,0
RCFL2PALL3.PL,D,20200903,000000,7.62,7.62,7.62,7.62,100,0
RCFL2PALL3.PL,D,20200916,000000,7.77,7.78,7.77,7.78,200,0
RCFL2PALL3.PL,D,20200923,000000,6.89,6.89,6.89,6.89,2100,0
RCFL2PALL3.PL,D,20201001,000000,7.35,7.35,7.35,7.35,150,0
RCFL2PALL3.PL,D,20201009,000000,7.8,7.8,7.8,7.8,150,0
RCFL2PALL3.PL,D,20201013,000000,7.35,7.35,7.35,7.35,400,0
