<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL2SOY.PL,D,20180223,000000,10.17,10.17,10.17,10.17,500,0
RCFL2SOY.PL,D,20180226,000000,10.36,10.36,10.36,10.36,380,0
RCFL2SOY.PL,D,20180308,000000,10.27,10.27,10.27,10.27,880,0
RCFL2SOY.PL,D,20180425,000000,9.91,9.91,9.91,9.91,3,0
RCFL2SOY.PL,D,20200327,000000,6.08,6.08,6.08,6.08,100,0
RCFL2SOY.PL,D,20200406,000000,5.78,5.78,5.78,5.78,100,0
RCFL2SOY.PL,D,20200408,000000,5.61,5.61,5.61,5.61,200,0
RCFL2SOY.PL,D,20200610,000000,5.38,5.38,5.38,5.38,300,0
RCFL2SOY.PL,D,20200625,000000,5.39,5.39,5.39,5.39,200,0
RCFL2SOY.PL,D,20200707,000000,5.75,5.75,5.75,5.75,500,0
RCFL2SOY.PL,D,20200831,000000,6.09,6.09,6.09,6.09,30,0
