<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL2SUGA.PL,D,20180313,000000,2.6,2.6,2.57,2.57,200,0
RCFL2SUGA.PL,D,20180320,000000,2.5,2.5,2.5,2.5,200,0
RCFL2SUGA.PL,D,20180411,000000,2.21,2.21,2.21,2.21,6000,0
RCFL2SUGA.PL,D,20180416,000000,2.22,2.22,2.22,2.22,2000,0
RCFL2SUGA.PL,D,20180418,000000,2.08,2.08,2.08,2.08,2500,0
RCFL2SUGA.PL,D,20180427,000000,2,2,2,2,100,0
RCFL2SUGA.PL,D,20180502,000000,2.12,2.16,2.12,2.16,1100,0
RCFL2SUGA.PL,D,20180504,000000,2.1,2.1,2.1,2.1,400,0
RCFL2SUGA.PL,D,20180524,000000,2.38,2.43,2.38,2.43,1500,0
RCFL2SUGA.PL,D,20180528,000000,2.36,2.36,2.36,2.36,1700,0
RCFL2SUGA.PL,D,20180530,000000,2.35,2.35,2.35,2.35,1000,0
RCFL2SUGA.PL,D,20180604,000000,2.3,2.3,2.3,2.3,500,0
RCFL2SUGA.PL,D,20180605,000000,2.27,2.27,2.27,2.27,500,0
RCFL2SUGA.PL,D,20180611,000000,2.24,2.24,2.24,2.24,200,0
RCFL2SUGA.PL,D,20180622,000000,2.26,2.26,2.26,2.26,500,0
RCFL2SUGA.PL,D,20180625,000000,2.22,2.22,2.22,2.22,500,0
RCFL2SUGA.PL,D,20180626,000000,2.2,2.2,2.2,2.2,1000,0
RCFL2SUGA.PL,D,20180712,000000,1.75,1.75,1.75,1.75,2900,0
RCFL2SUGA.PL,D,20180806,000000,1.7,1.7,1.7,1.7,25,0
RCFL2SUGA.PL,D,20180808,000000,1.66,1.66,1.66,1.66,1500,0
RCFL2SUGA.PL,D,20180820,000000,1.51,1.51,1.51,1.51,1000,0
RCFL2SUGA.PL,D,20180828,000000,1.5,1.5,1.5,1.5,100,0
RCFL2SUGA.PL,D,20180910,000000,1.72,1.72,1.72,1.72,100,0
RCFL2SUGA.PL,D,20180912,000000,1.74,1.74,1.74,1.74,20,0
RCFL2SUGA.PL,D,20180924,000000,1.49,1.49,1.49,1.49,270,0
RCFL2SUGA.PL,D,20180926,000000,1.4,1.4,1.4,1.4,178,0
RCFL2SUGA.PL,D,20181001,000000,1.47,1.47,1.47,1.47,448,0
RCFL2SUGA.PL,D,20181005,000000,1.82,1.82,1.82,1.82,2500,0
RCFL2SUGA.PL,D,20181011,000000,1.93,2,1.93,2,6200,0
RCFL2SUGA.PL,D,20181012,000000,2.02,2.07,2.02,2.07,2000,0
RCFL2SUGA.PL,D,20181019,000000,2.31,2.31,2.31,2.31,100,0
RCFL2SUGA.PL,D,20181024,000000,2.35,2.35,2.35,2.35,900,0
RCFL2SUGA.PL,D,20181026,000000,2.34,2.34,2.34,2.34,1000,0
RCFL2SUGA.PL,D,20181030,000000,2.2,2.2,2.2,2.2,45,0
RCFL2SUGA.PL,D,20181123,000000,1.9,1.9,1.9,1.9,2000,0
RCFL2SUGA.PL,D,20181129,000000,2.1,2.1,2.1,2.1,1000,0
RCFL2SUGA.PL,D,20190124,000000,2.02,2.02,2.02,2.02,1000,0
RCFL2SUGA.PL,D,20190211,000000,2,2,2,2,500,0
RCFL2SUGA.PL,D,20190319,000000,2.04,2.04,2.04,2.04,1000,0
RCFL2SUGA.PL,D,20190321,000000,1.95,1.95,1.95,1.95,1000,0
RCFL2SUGA.PL,D,20190624,000000,1.77,1.77,1.77,1.77,500,0
RCFL2SUGA.PL,D,20200213,000000,2.3,2.3,2.3,2.3,16000,0
RCFL2SUGA.PL,D,20200313,000000,1.48,1.51,1.48,1.51,5000,0
RCFL2SUGA.PL,D,20200324,000000,1.48,1.49,1.46,1.46,4000,0
RCFL2SUGA.PL,D,20200421,000000,0.99,0.99,0.99,0.99,9000,0
RCFL2SUGA.PL,D,20200520,000000,1.27,1.27,1.27,1.27,1000,0
RCFL2SUGA.PL,D,20200521,000000,1.29,1.29,1.29,1.29,1000,0
RCFL2SUGA.PL,D,20200527,000000,1.17,1.17,1.17,1.17,2400,0
RCFL2SUGA.PL,D,20200605,000000,1.37,1.37,1.37,1.37,500,0
RCFL2SUGA.PL,D,20200608,000000,1.41,1.41,1.41,1.41,14700,0
RCFL2SUGA.PL,D,20200618,000000,1.33,1.33,1.33,1.33,2500,0
RCFL2SUGA.PL,D,20200629,000000,1.19,1.19,1.19,1.19,14700,0
RCFL2SUGA.PL,D,20200715,000000,1.2,1.2,1.2,1.2,100,0
RCFL2SUGA.PL,D,20200716,000000,1.25,1.25,1.25,1.25,500,0
RCFL2SUGA.PL,D,20200721,000000,1.22,1.22,1.22,1.22,2000,0
RCFL2SUGA.PL,D,20200727,000000,1.28,1.28,1.28,1.28,200,0
