<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3DPW1.PL,D,20181120,000000,9.5,9.5,9.5,9.5,4838,0
RCFL3DPW1.PL,D,20181214,000000,6.5,6.5,6.5,6.5,160,0
RCFL3DPW1.PL,D,20181221,000000,5.94,5.94,5.94,5.94,160,0
RCFL3DPW1.PL,D,20190109,000000,6.63,6.77,6.63,6.77,10000,0
RCFL3DPW1.PL,D,20190128,000000,7.57,7.57,7.57,7.57,3000,0
RCFL3DPW1.PL,D,20190221,000000,7.95,7.95,7.95,7.95,3000,0
RCFL3DPW1.PL,D,20190314,000000,9.83,9.83,9.83,9.83,1000,0
RCFL3DPW1.PL,D,20190329,000000,9.93,9.93,9.8,9.8,5838,0
RCFL3DPW1.PL,D,20190520,000000,9.38,9.38,9.38,9.38,3200,0
RCFL3DPW1.PL,D,20200128,000000,13.37,13.37,13.37,13.37,3200,0
