<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3DTE3.PL,D,20180222,000000,5.23,5.23,5.23,5.23,300,0
RCFL3DTE3.PL,D,20180223,000000,5.77,5.77,5.77,5.77,300,0
RCFL3DTE3.PL,D,20180302,000000,5.27,5.27,5.27,5.27,300,0
RCFL3DTE3.PL,D,20180329,000000,5.63,5.63,5.63,5.63,300,0
RCFL3DTE3.PL,D,20190318,000000,9.56,9.56,9.56,9.56,80,0
RCFL3DTE3.PL,D,20190416,000000,9.3,9.3,9.3,9.3,80,0
RCFL3DTE3.PL,D,20190507,000000,9.32,9.32,9.32,9.32,3000,0
RCFL3DTE3.PL,D,20190513,000000,8.58,8.58,8.58,8.58,3000,0
RCFL3DTE3.PL,D,20191127,000000,9.38,9.38,9.38,9.38,330,0
RCFL3DTE3.PL,D,20191210,000000,8.47,8.47,8.47,8.47,330,0
RCFL3DTE3.PL,D,20200122,000000,8.52,8.52,8.52,8.52,530,0
RCFL3DTE3.PL,D,20200212,000000,9.62,9.62,9.62,9.62,470,0
RCFL3DTE3.PL,D,20200213,000000,9.62,9.62,9.62,9.62,200,0
RCFL3DTE3.PL,D,20200226,000000,9.66,9.66,9.66,9.66,1200,0
RCFL3DTE3.PL,D,20200423,000000,4.5,4.5,4.5,4.5,500,0
RCFL3DTE3.PL,D,20200504,000000,5.01,5.01,5.01,5.01,500,0
RCFL3DTE3.PL,D,20200512,000000,5.91,5.91,5.91,5.91,2500,0
RCFL3DTE3.PL,D,20200513,000000,5.68,5.68,5.68,5.68,2500,0
