<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL3PSM.PL,D,20190712,000000,0.27,0.27,0.26,0.26,9500,0
RCFL3PSM.PL,D,20190715,000000,0.25,0.25,0.24,0.24,15472,0
RCFL3PSM.PL,D,20190717,000000,0.23,0.23,0.22,0.22,4239,0
RCFL3PSM.PL,D,20190718,000000,0.21,0.21,0.21,0.21,1655,0
RCFL3PSM.PL,D,20190719,000000,0.2,0.2,0.2,0.2,5007,0
RCFL3PSM.PL,D,20190722,000000,0.18,0.18,0.18,0.18,1151,0
RCFL3PSM.PL,D,20190725,000000,0.19,0.19,0.18,0.18,8501,0
RCFL3PSM.PL,D,20190726,000000,0.19,0.19,0.19,0.19,7000,0
RCFL3PSM.PL,D,20190730,000000,0.18,0.18,0.17,0.17,12414,0
RCFL3PSM.PL,D,20190801,000000,0.18,0.18,0.18,0.18,7000,0
RCFL3PSM.PL,D,20190805,000000,0.17,0.17,0.17,0.17,41937,0
RCFL3PSM.PL,D,20190812,000000,0.17,0.17,0.17,0.17,7500,0
RCFL3PSM.PL,D,20190813,000000,0.16,0.16,0.15,0.15,22440,0
RCFL3PSM.PL,D,20200309,000000,0.09,0.09,0.07,0.07,10204,0
