<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4COCO.PL,D,20180406,000000,10.62,10.7,9.88,9.88,1250,0
RCFL4COCO.PL,D,20180409,000000,9.81,9.81,9.81,9.81,100,0
RCFL4COCO.PL,D,20180410,000000,10.15,10.15,9.78,10.07,740,0
RCFL4COCO.PL,D,20180411,000000,10.43,10.43,10.43,10.43,160,0
RCFL4COCO.PL,D,20180412,000000,10.77,10.84,10.77,10.84,499,0
RCFL4COCO.PL,D,20180413,000000,10.73,10.94,10.6,10.6,199,0
RCFL4COCO.PL,D,20180416,000000,12.47,12.47,12.47,12.47,450,0
RCFL4COCO.PL,D,20180417,000000,12.92,13.1,12.76,13.1,780,0
RCFL4COCO.PL,D,20180418,000000,12.98,15.32,12.98,14.49,1610,0
RCFL4COCO.PL,D,20180419,000000,14.79,15.06,14.64,15.06,190,0
RCFL4COCO.PL,D,20180420,000000,14.1,14.24,13.73,13.75,350,0
RCFL4COCO.PL,D,20180423,000000,13.34,13.76,13.34,13.76,150,0
RCFL4COCO.PL,D,20180424,000000,14.78,14.78,14.78,14.78,1100,0
RCFL4COCO.PL,D,20180425,000000,15.52,15.74,15.05,15.21,2530,0
RCFL4COCO.PL,D,20180426,000000,17.33,18.17,16.95,17.2,2860,0
RCFL4COCO.PL,D,20180427,000000,14.76,15.73,14.76,15.68,4190,0
RCFL4COCO.PL,D,20180430,000000,15.85,15.85,15.62,15.62,85,0
RCFL4COCO.PL,D,20180502,000000,16.8,16.84,15.83,15.83,1730,0
RCFL4COCO.PL,D,20180504,000000,15.22,15.22,15.22,15.22,30,0
RCFL4COCO.PL,D,20180507,000000,14.92,15.99,14.92,15.99,305,0
RCFL4COCO.PL,D,20180508,000000,15.68,15.68,15.4,15.4,100,0
RCFL4COCO.PL,D,20180509,000000,14.3,14.65,14,14.65,3001,0
RCFL4COCO.PL,D,20180510,000000,14.61,14.61,14.61,14.61,1,0
RCFL4COCO.PL,D,20180511,000000,14.96,14.96,14.96,14.96,12,0
RCFL4COCO.PL,D,20180515,000000,14.86,14.86,13.15,13.15,250,0
RCFL4COCO.PL,D,20180517,000000,14.48,14.48,13.44,13.44,53,0
RCFL4COCO.PL,D,20180523,000000,11.77,11.77,11.77,11.77,5,0
RCFL4COCO.PL,D,20180530,000000,9.83,9.83,9.83,9.83,7058,0
RCFL4COCO.PL,D,20180601,000000,8.8,8.8,8.54,8.54,5100,0
RCFL4COCO.PL,D,20180605,000000,6.82,6.82,6.82,6.82,200,0
RCFL4COCO.PL,D,20180606,000000,6.6,6.6,6.6,6.6,250,0
RCFL4COCO.PL,D,20180615,000000,7.64,7.64,7.64,7.64,300,0
RCFL4COCO.PL,D,20180627,000000,8.03,8.03,8.03,8.03,250,0
RCFL4COCO.PL,D,20180720,000000,6.16,6.16,5.9,5.9,300,0
RCFL4COCO.PL,D,20180723,000000,6.23,6.23,6.23,6.23,5,0
RCFL4COCO.PL,D,20180808,000000,3.85,3.85,3.85,3.85,250,0
RCFL4COCO.PL,D,20180822,000000,4.95,5.28,4.95,5.28,5010,0
RCFL4COCO.PL,D,20180823,000000,5.34,5.34,5.34,5.34,5,0
RCFL4COCO.PL,D,20180824,000000,5.69,5.69,5.69,5.69,5,0
RCFL4COCO.PL,D,20180827,000000,5.5,5.5,5.5,5.5,250,0
RCFL4COCO.PL,D,20180911,000000,5,5,5,5,5,0
RCFL4COCO.PL,D,20180913,000000,5.34,5.34,5.34,5.34,5,0
RCFL4COCO.PL,D,20181002,000000,2.96,3.05,2.96,3.05,13500,0
RCFL4COCO.PL,D,20181003,000000,3.18,3.18,3.18,3.18,5300,0
RCFL4COCO.PL,D,20181004,000000,3,3,2.99,2.99,1300,0
RCFL4COCO.PL,D,20181009,000000,3.52,3.52,3.52,3.52,5,0
RCFL4COCO.PL,D,20181012,000000,3.44,3.44,3.44,3.44,10,0
RCFL4COCO.PL,D,20181017,000000,4.2,4.2,4.2,4.2,4,0
RCFL4COCO.PL,D,20181025,000000,3.72,3.72,3.72,3.72,5000,0
RCFL4COCO.PL,D,20181031,000000,4.1,4.18,4.1,4.18,2200,0
RCFL4COCO.PL,D,20181102,000000,4.61,4.61,4.61,4.61,10,0
RCFL4COCO.PL,D,20181105,000000,4.7,4.7,4.7,4.7,10,0
RCFL4COCO.PL,D,20181106,000000,5,5,5,5,10,0
RCFL4COCO.PL,D,20181107,000000,5.39,5.39,5.39,5.39,10,0
RCFL4COCO.PL,D,20181108,000000,5.59,5.59,5.59,5.59,10,0
RCFL4COCO.PL,D,20181109,000000,4.42,4.42,4.33,4.33,10000,0
RCFL4COCO.PL,D,20181115,000000,3.97,3.97,3.97,3.97,20,0
