<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4OIL.PL,D,20171214,000000,13.61,13.72,12.94,13.48,16651,0
RCFL4OIL.PL,D,20171215,000000,13.8,14.1,13.8,13.95,306,0
RCFL4OIL.PL,D,20171218,000000,14.38,14.45,13.99,14.07,3863,0
RCFL4OIL.PL,D,20171219,000000,14.2,14.2,14.2,14.2,950,0
RCFL4OIL.PL,D,20171220,000000,13.9,14,13.9,14,260,0
RCFL4OIL.PL,D,20171221,000000,14.78,14.83,14.3,14.3,6071,0
RCFL4OIL.PL,D,20171222,000000,14.85,14.85,14.77,14.77,983,0
RCFL4OIL.PL,D,20171227,000000,16.54,16.61,16.2,16.3,3790,0
RCFL4OIL.PL,D,20171228,000000,16.11,16.11,16.11,16.11,378,0
RCFL4OIL.PL,D,20171229,000000,16.75,16.75,16.37,16.37,1654,0
RCFL4OIL.PL,D,20180104,000000,17.65,17.65,17.65,17.65,490,0
RCFL4OIL.PL,D,20180105,000000,17.84,17.84,17.51,17.51,112,0
RCFL4OIL.PL,D,20180108,000000,18,18.18,18,18.18,732,0
RCFL4OIL.PL,D,20180109,000000,18.2,18.23,18.2,18.23,1396,0
RCFL4OIL.PL,D,20180110,000000,19.35,19.83,18.98,18.98,14026,0
RCFL4OIL.PL,D,20180111,000000,19.5,19.95,19.28,19.82,1398,0
RCFL4OIL.PL,D,20180112,000000,19.4,19.4,19.1,19.1,1427,0
RCFL4OIL.PL,D,20180115,000000,20.11,20.11,19.98,19.98,103,0
RCFL4OIL.PL,D,20180117,000000,19.2,19.2,19.2,19.2,301,0
RCFL4OIL.PL,D,20180119,000000,18,18.81,18,18.22,9294,0
RCFL4OIL.PL,D,20180123,000000,19.5,19.5,19.33,19.33,668,0
RCFL4OIL.PL,D,20180125,000000,20.33,20.95,20.06,20.5,1051,0
RCFL4OIL.PL,D,20180126,000000,19.77,19.77,19.5,19.5,360,0
RCFL4OIL.PL,D,20180129,000000,19.63,19.7,19.63,19.7,102,0
RCFL4OIL.PL,D,20180130,000000,18.5,18.5,18.5,18.5,90,0
RCFL4OIL.PL,D,20180201,000000,19.04,19.04,19.04,19.04,20,0
RCFL4OIL.PL,D,20180202,000000,19.9,19.9,19.18,19.18,9782,0
RCFL4OIL.PL,D,20180205,000000,18.03,18.03,17.15,17.15,150,0
RCFL4OIL.PL,D,20180206,000000,17.16,17.16,16.48,16.48,1800,0
RCFL4OIL.PL,D,20180208,000000,15,15,15,15,666,0
RCFL4OIL.PL,D,20180212,000000,14.1,14.1,14.1,14.1,50,0
RCFL4OIL.PL,D,20180213,000000,12.45,12.45,12.32,12.32,1887,0
RCFL4OIL.PL,D,20180214,000000,12.9,12.9,12.68,12.68,128,0
RCFL4OIL.PL,D,20180215,000000,14.33,14.33,13.5,13.5,528,0
RCFL4OIL.PL,D,20180216,000000,14.08,14.08,14.08,14.08,40,0
RCFL4OIL.PL,D,20180219,000000,14.88,14.88,14.88,14.88,4,0
RCFL4OIL.PL,D,20180223,000000,16.53,16.53,16.53,16.53,100,0
RCFL4OIL.PL,D,20180226,000000,16.58,16.58,16.46,16.46,678,0
RCFL4OIL.PL,D,20180227,000000,16.68,16.68,16.66,16.67,509,0
RCFL4OIL.PL,D,20180301,000000,14.5,14.5,14.02,14.02,350,0
RCFL4OIL.PL,D,20180307,000000,14.95,14.95,14.95,14.95,42,0
RCFL4OIL.PL,D,20180309,000000,13.97,13.97,13.97,13.97,250,0
RCFL4OIL.PL,D,20180312,000000,14.2,14.2,14.2,14.2,404,0
RCFL4OIL.PL,D,20180313,000000,14.04,14.04,14.02,14.02,513,0
RCFL4OIL.PL,D,20180314,000000,14.5,14.5,14.5,14.5,94,0
RCFL4OIL.PL,D,20180319,000000,15.62,15.62,15.59,15.59,663,0
RCFL4OIL.PL,D,20180320,000000,16.62,17.4,16.62,17.4,706,0
RCFL4OIL.PL,D,20180321,000000,17.01,17.01,17.01,17.01,508,0
RCFL4OIL.PL,D,20180322,000000,18.47,18.47,18.47,18.47,200,0
RCFL4OIL.PL,D,20180323,000000,18.12,18.96,18.12,18.65,152,0
RCFL4OIL.PL,D,20180326,000000,19.49,19.49,19.22,19.31,706,0
RCFL4OIL.PL,D,20180327,000000,19.31,19.31,19.31,19.31,300,0
RCFL4OIL.PL,D,20180329,000000,18.45,18.45,18.41,18.41,600,0
RCFL4OIL.PL,D,20180403,000000,18,18,18,18,200,0
RCFL4OIL.PL,D,20180409,000000,17,18.01,17,18.01,320,0
RCFL4OIL.PL,D,20180410,000000,19.5,19.5,19.23,19.24,326,0
RCFL4OIL.PL,D,20180411,000000,20.31,22.01,20.31,22.01,688,0
RCFL4OIL.PL,D,20180412,000000,21.51,22.16,21.51,22.16,402,0
RCFL4OIL.PL,D,20180416,000000,21.7,21.7,21.7,21.7,340,0
RCFL4OIL.PL,D,20180418,000000,22.79,23,22.79,23,1036,0
RCFL4OIL.PL,D,20180419,000000,24.04,24.86,24,24.86,940,0
RCFL4OIL.PL,D,20180420,000000,24,24.14,23.5,23.5,1021,0
RCFL4OIL.PL,D,20180423,000000,23.87,23.87,23.87,23.87,500,0
RCFL4OIL.PL,D,20180424,000000,26.35,26.35,26.35,26.35,100,0
RCFL4OIL.PL,D,20180425,000000,23.58,23.58,23.58,23.58,531,0
RCFL4OIL.PL,D,20180430,000000,24.34,24.43,24.34,24.43,470,0
RCFL4OIL.PL,D,20180502,000000,25,25,25,25,200,0
RCFL4OIL.PL,D,20180504,000000,26.39,26.39,26.39,26.39,339,0
