<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3CCC.PL,D,20171229,000000,10.63,10.63,10.63,10.63,65,0
RCFS3CCC.PL,D,20180110,000000,9.77,9.84,9.77,9.84,61,0
RCFS3CCC.PL,D,20180111,000000,9.9,9.9,9.67,9.67,1500,0
RCFS3CCC.PL,D,20180112,000000,10.21,10.22,9.43,9.43,371,0
RCFS3CCC.PL,D,20180116,000000,8.83,8.83,8.82,8.82,1500,0
RCFS3CCC.PL,D,20180117,000000,8.35,8.35,8.35,8.35,300,0
RCFS3CCC.PL,D,20180212,000000,12.6,12.6,12.6,12.6,20,0
RCFS3CCC.PL,D,20180227,000000,12.02,12.02,12.02,12.02,20,0
RCFS3CCC.PL,D,20180228,000000,13.92,13.92,12.92,12.92,500,0
RCFS3CCC.PL,D,20180302,000000,16,16,15.94,15.94,97,0
RCFS3CCC.PL,D,20180308,000000,14.61,14.61,13.59,13.64,1060,0
RCFS3CCC.PL,D,20180312,000000,12.08,12.29,12.08,12.29,1060,0
RCFS3CCC.PL,D,20180321,000000,15.31,15.31,15.31,15.31,400,0
RCFS3CCC.PL,D,20180323,000000,16.98,17.98,16.98,17.96,600,0
RCFS3CCC.PL,D,20180326,000000,15.91,17,15.91,17,2040,0
RCFS3CCC.PL,D,20180327,000000,14.89,14.89,14.89,14.89,300,0
RCFS3CCC.PL,D,20180404,000000,14.85,14.85,14.4,14.4,650,0
RCFS3CCC.PL,D,20180405,000000,13.86,13.86,12.8,12.8,630,0
RCFS3CCC.PL,D,20180406,000000,11.85,11.85,11.19,11.37,10752,0
RCFS3CCC.PL,D,20180409,000000,11.28,11.28,11.28,11.28,500,0
RCFS3CCC.PL,D,20180410,000000,11.46,11.46,11.46,11.46,1000,0
RCFS3CCC.PL,D,20180411,000000,12.33,12.39,12.33,12.39,2000,0
RCFS3CCC.PL,D,20180412,000000,12.31,12.36,11.4,11.4,11992,0
RCFS3CCC.PL,D,20180413,000000,10.52,10.52,10.52,10.52,220,0
RCFS3CCC.PL,D,20180416,000000,10.33,10.33,10.33,10.33,100,0
RCFS3CCC.PL,D,20180417,000000,10.39,10.39,10.39,10.39,50,0
RCFS3CCC.PL,D,20180423,000000,10.55,10.55,10.55,10.55,92,0
RCFS3CCC.PL,D,20180425,000000,10.84,10.84,10.84,10.84,100,0
RCFS3CCC.PL,D,20180430,000000,11.92,11.92,11.92,11.92,500,0
RCFS3CCC.PL,D,20180502,000000,11.47,11.47,10.62,10.62,1550,0
RCFS3CCC.PL,D,20180511,000000,9.12,9.12,9.1,9.1,2000,0
RCFS3CCC.PL,D,20180514,000000,9.6,9.6,9.1,9.1,250,0
RCFS3CCC.PL,D,20180516,000000,9.46,9.46,9.39,9.39,825,0
RCFS3CCC.PL,D,20180518,000000,10.23,10.23,10.23,10.23,50,0
RCFS3CCC.PL,D,20180524,000000,9.55,9.55,9.55,9.55,500,0
RCFS3CCC.PL,D,20180525,000000,9.39,9.48,9.39,9.48,1100,0
RCFS3CCC.PL,D,20180601,000000,9.91,11.7,9.91,11.7,2392,0
RCFS3CCC.PL,D,20180604,000000,12.57,12.57,12.57,12.57,825,0
RCFS3CCC.PL,D,20180606,000000,11.99,11.99,11.99,11.99,5,0
RCFS3CCC.PL,D,20180618,000000,13.3,13.3,13.3,13.3,15,0
RCFS3CCC.PL,D,20180627,000000,17.36,17.36,17.36,17.36,15,0
RCFS3CCC.PL,D,20180719,000000,24,24,24,24,831,0
RCFS3CCC.PL,D,20180720,000000,20.44,20.44,20.44,20.44,831,0
RCFS3CCC.PL,D,20180726,000000,14.85,14.85,14.85,14.85,150,0
RCFS3CCC.PL,D,20180727,000000,14.64,14.64,14.64,14.64,100,0
RCFS3CCC.PL,D,20180730,000000,14,14,14,14,1425,0
RCFS3CCC.PL,D,20180731,000000,14.26,14.78,14.26,14.68,1500,0
RCFS3CCC.PL,D,20180801,000000,15.16,16.24,15.16,16.24,450,0
RCFS3CCC.PL,D,20180803,000000,16.47,17.5,16.47,17.5,3125,0
RCFS3CCC.PL,D,20180806,000000,15.51,16.46,15.51,16.46,668,0
RCFS3CCC.PL,D,20180807,000000,15.85,15.85,15.85,15.85,68,0
RCFS3CCC.PL,D,20180813,000000,18.55,18.55,18.55,18.55,350,0
RCFS3CCC.PL,D,20180814,000000,18.03,18.03,18.03,18.03,68,0
RCFS3CCC.PL,D,20180816,000000,17.74,18.08,16.95,18.08,824,0
RCFS3CCC.PL,D,20180821,000000,17.24,17.24,17.24,17.24,100,0
RCFS3CCC.PL,D,20180824,000000,14.32,14.32,14.32,14.32,300,0
RCFS3CCC.PL,D,20180827,000000,12.99,12.99,12.86,12.86,820,0
RCFS3CCC.PL,D,20180831,000000,13.66,13.66,13.66,13.66,100,0
RCFS3CCC.PL,D,20180903,000000,15.63,15.63,15.63,15.63,600,0
RCFS3CCC.PL,D,20180904,000000,13.86,13.86,12.75,12.75,1960,0
RCFS3CCC.PL,D,20180906,000000,13.81,13.81,13.81,13.81,100,0
RCFS3CCC.PL,D,20180910,000000,15.85,15.85,15.85,15.85,465,0
RCFS3CCC.PL,D,20180911,000000,16.6,17.87,16.16,17.87,1020,0
RCFS3CCC.PL,D,20180917,000000,14.29,14.29,13.83,13.83,316,0
RCFS3CCC.PL,D,20180918,000000,14.03,14.55,14.03,14.15,658,0
RCFS3CCC.PL,D,20180919,000000,14.76,14.76,13.06,13.06,1300,0
RCFS3CCC.PL,D,20180920,000000,12.81,12.81,12.59,12.59,420,0
RCFS3CCC.PL,D,20180924,000000,12.43,12.43,10.22,10.61,1515,0
RCFS3CCC.PL,D,20180925,000000,10.38,11.32,10.38,11.32,120,0
RCFS3CCC.PL,D,20180926,000000,11.3,11.3,11.3,11.3,80,0
RCFS3CCC.PL,D,20180928,000000,12.01,12.01,12.01,12.01,95,0
