<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3COFF.PL,D,20180326,000000,15.9,15.9,15.9,15.9,126,0
RCFS3COFF.PL,D,20180430,000000,14.8,14.8,14.8,14.8,126,0
RCFS3COFF.PL,D,20180502,000000,14.26,14.26,14.26,14.26,10,0
RCFS3COFF.PL,D,20180619,000000,19.62,19.62,19.62,19.62,9,0
RCFS3COFF.PL,D,20180703,000000,21.38,21.38,21.38,21.38,240,0
RCFS3COFF.PL,D,20180709,000000,19.55,19.55,19.55,19.55,240,0
RCFS3COFF.PL,D,20180907,000000,28.81,28.81,28.81,28.81,1,0
RCFS3COFF.PL,D,20180910,000000,29,29,29,29,1,0
RCFS3COFF.PL,D,20181015,000000,18.54,18.54,17.94,17.94,100,0
RCFS3COFF.PL,D,20181022,000000,16.38,16.51,16.38,16.51,4925,0
RCFS3COFF.PL,D,20181023,000000,17.98,17.98,17.98,17.98,1,0
RCFS3COFF.PL,D,20181030,000000,19.03,19.03,19.03,19.03,2426,0
RCFS3COFF.PL,D,20181031,000000,20.52,20.52,20.52,20.52,2500,0
RCFS3COFF.PL,D,20190328,000000,36.16,36.16,36.16,36.16,20,0
RCFS3COFF.PL,D,20190417,000000,41.41,41.41,41.41,41.41,20,0
RCFS3COFF.PL,D,20190605,000000,25.09,25.17,25.05,25.17,3,0
RCFS3COFF.PL,D,20190611,000000,29.1,29.1,29.1,29.1,34,0
RCFS3COFF.PL,D,20190619,000000,31.5,31.5,31.5,31.5,34,0
RCFS3COFF.PL,D,20190621,000000,27.68,27.68,27.68,27.68,84,0
RCFS3COFF.PL,D,20190628,000000,21.42,21.42,21.42,21.42,265,0
RCFS3COFF.PL,D,20190709,000000,22.61,22.61,22.61,22.61,265,0
RCFS3COFF.PL,D,20190725,000000,26.3,26.3,26.3,26.3,25,0
RCFS3COFF.PL,D,20190801,000000,29.34,29.34,29.34,29.34,25,0
RCFS3COFF.PL,D,20190802,000000,29.39,29.39,29.39,29.39,84,0
RCFS3COFF.PL,D,20190816,000000,32.46,32.46,32.46,32.46,1,0
RCFS3COFF.PL,D,20190910,000000,30.84,30.84,30.84,30.84,220,0
RCFS3COFF.PL,D,20190918,000000,28.37,28.37,28.37,28.37,1,0
RCFS3COFF.PL,D,20190927,000000,27.92,27.92,27.92,27.92,1428,0
RCFS3COFF.PL,D,20190930,000000,28.16,28.16,28.16,28.16,44,0
RCFS3COFF.PL,D,20191002,000000,27.69,27.69,27.69,27.69,1428,0
RCFS3COFF.PL,D,20191007,000000,31.05,31.05,31.05,31.05,264,0
RCFS3COFF.PL,D,20191030,000000,27.79,27.79,27.79,27.79,120,0
RCFS3COFF.PL,D,20191104,000000,23.86,23.86,23.86,23.86,125,0
RCFS3COFF.PL,D,20191108,000000,20.9,20.9,20.69,20.69,958,0
