<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS3MBK.PL,D,20180104,000000,15.03,15.03,15.03,15.03,100,0
RCFS3MBK.PL,D,20180105,000000,15.03,15.03,15.03,15.03,100,0
RCFS3MBK.PL,D,20180111,000000,14.48,14.5,14.48,14.5,150,0
RCFS3MBK.PL,D,20180117,000000,12.35,12.35,12.35,12.35,100,0
RCFS3MBK.PL,D,20180124,000000,11.84,11.84,11.57,11.57,600,0
RCFS3MBK.PL,D,20180126,000000,11.64,11.64,11.64,11.64,600,0
RCFS3MBK.PL,D,20180226,000000,15.19,15.19,15.19,15.19,200,0
RCFS3MBK.PL,D,20180403,000000,18.44,18.44,18.44,18.44,814,0
RCFS3MBK.PL,D,20180405,000000,18.79,18.79,18.79,18.79,814,0
RCFS3MBK.PL,D,20180409,000000,18.96,18.96,18.96,18.96,50,0
RCFS3MBK.PL,D,20180424,000000,17.08,17.08,17.08,17.08,60,0
RCFS3MBK.PL,D,20180529,000000,17.5,17.5,17.5,17.5,60,0
RCFS3MBK.PL,D,20180627,000000,20.46,20.46,20.46,20.46,300,0
RCFS3MBK.PL,D,20180703,000000,19.92,19.92,19.92,19.92,300,0
RCFS3MBK.PL,D,20180719,000000,21.84,21.84,21.84,21.84,50,0
RCFS3MBK.PL,D,20180821,000000,20.04,20.04,20.04,20.04,50,0
RCFS3MBK.PL,D,20180822,000000,20.7,20.7,20.7,20.7,63,0
RCFS3MBK.PL,D,20180926,000000,13.12,13.12,13.12,13.12,400,0
RCFS3MBK.PL,D,20181005,000000,13.75,13.75,13.75,13.75,400,0
RCFS3MBK.PL,D,20181205,000000,12.92,12.92,11.83,11.83,7000,0
RCFS3MBK.PL,D,20181206,000000,12.12,12.12,12.12,12.12,1000,0
RCFS3MBK.PL,D,20181207,000000,13.02,13.27,12.85,13.27,8000,0
RCFS3MBK.PL,D,20181214,000000,13.1,13.1,13.01,13.01,2000,0
RCFS3MBK.PL,D,20181217,000000,13.04,13.04,13,13.01,3230,0
RCFS3MBK.PL,D,20181219,000000,11.86,11.86,11.58,11.58,740,0
RCFS3MBK.PL,D,20181221,000000,13.07,13.07,13.07,13.07,190,0
RCFS3MBK.PL,D,20181227,000000,13.08,13.27,13.07,13.27,5000,0
RCFS3MBK.PL,D,20190104,000000,12.62,12.62,12.62,12.62,700,0
RCFS3MBK.PL,D,20190108,000000,12.52,12.52,12.52,12.52,800,0
RCFS3MBK.PL,D,20190123,000000,10.2,10.2,10.2,10.2,400,0
RCFS3MBK.PL,D,20190124,000000,9.76,9.76,9.27,9.27,605,0
RCFS3MBK.PL,D,20190129,000000,10.38,10.38,10.31,10.31,170,0
RCFS3MBK.PL,D,20190130,000000,10.6,10.6,10.6,10.6,800,0
RCFS3MBK.PL,D,20190201,000000,9.89,9.89,9.89,9.89,105,0
RCFS3MBK.PL,D,20190305,000000,10.62,10.62,10.55,10.55,3000,0
RCFS3MBK.PL,D,20190307,000000,10.52,10.52,10.52,10.52,1000,0
RCFS3MBK.PL,D,20190311,000000,11.07,11.08,11.07,11.08,4000,0
RCFS3MBK.PL,D,20190314,000000,10.5,10.5,10.5,10.5,1000,0
RCFS3MBK.PL,D,20190315,000000,10.28,10.28,9.8,9.8,3180,0
RCFS3MBK.PL,D,20190318,000000,9.86,9.86,9.86,9.86,500,0
RCFS3MBK.PL,D,20190319,000000,10.12,10.12,10.12,10.12,4000,0
RCFS3MBK.PL,D,20190322,000000,10.1,10.1,10.1,10.1,180,0
RCFS3MBK.PL,D,20190325,000000,10.31,10.31,10.31,10.31,500,0
RCFS3MBK.PL,D,20190401,000000,10.94,10.94,10.94,10.94,200,0
RCFS3MBK.PL,D,20190403,000000,10.91,10.91,10.91,10.91,100,0
RCFS3MBK.PL,D,20190412,000000,10.34,10.34,10.34,10.34,500,0
RCFS3MBK.PL,D,20190416,000000,9.8,9.8,9.8,9.8,400,0
RCFS3MBK.PL,D,20190425,000000,10.42,10.42,10.42,10.42,400,0
RCFS3MBK.PL,D,20190429,000000,9.74,9.74,9.74,9.74,500,0
RCFS3MBK.PL,D,20190507,000000,10.37,10.37,10.37,10.37,500,0
RCFS3MBK.PL,D,20190513,000000,12.86,12.86,12.86,12.86,70,0
RCFS3MBK.PL,D,20190806,000000,24.22,24.22,24.22,24.22,50,0
RCFS3MBK.PL,D,20190807,000000,22.35,22.35,22.35,22.35,50,0
RCFS3MBK.PL,D,20190819,000000,23.02,23.02,23.02,23.02,50,0
RCFS3MBK.PL,D,20190821,000000,19.06,19.06,19.06,19.06,63,0
RCFS3MBK.PL,D,20190828,000000,22.77,22.77,22.77,22.77,50,0
RCFS3MBK.PL,D,20190829,000000,23.11,23.11,23.11,23.11,50,0
RCFS3MBK.PL,D,20190924,000000,16.18,16.18,16.18,16.18,200,0
RCFS3MBK.PL,D,20190925,000000,17.26,17.49,17.17,17.49,1012,0
RCFS3MBK.PL,D,20190926,000000,16.49,17.03,16.49,17.03,1000,0
RCFS3MBK.PL,D,20191001,000000,15.41,15.59,15.41,15.59,150,0
RCFS3MBK.PL,D,20191003,000000,15.25,18.09,14.3,16,744,0
RCFS3MBK.PL,D,20191007,000000,15.54,15.54,15.54,15.54,50,0
RCFS3MBK.PL,D,20191016,000000,11.19,11.19,10.97,10.97,252,0
RCFS3MBK.PL,D,20191017,000000,10.35,10.35,10.35,10.35,1901,0
RCFS3MBK.PL,D,20191018,000000,11.63,11.63,11.63,11.63,1901,0
RCFS3MBK.PL,D,20191023,000000,11.18,11.18,11.18,11.18,180,0
RCFS3MBK.PL,D,20191029,000000,11.58,11.58,11.58,11.58,100,0
RCFS3MBK.PL,D,20191030,000000,11.59,11.59,11.59,11.59,300,0
RCFS3MBK.PL,D,20191203,000000,12.68,12.68,12.68,12.68,13,0
