<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS6OIL.PL,D,20190409,000000,6.45,6.89,6.45,6.89,280,0
RCFS6OIL.PL,D,20190410,000000,6.45,6.45,6.45,6.45,200,0
RCFS6OIL.PL,D,20190411,000000,6.38,6.38,6.25,6.32,14090,0
RCFS6OIL.PL,D,20190412,000000,6.02,6.29,6.02,6.29,2600,0
RCFS6OIL.PL,D,20190415,000000,6.42,6.42,6.42,6.42,2500,0
RCFS6OIL.PL,D,20190417,000000,5.83,5.83,5.83,5.83,76,0
RCFS6OIL.PL,D,20190418,000000,6.22,6.22,6.22,6.22,100,0
RCFS6OIL.PL,D,20190423,000000,4.81,4.88,4.81,4.88,5000,0
RCFS6OIL.PL,D,20190424,000000,4.95,4.95,4.81,4.83,4143,0
RCFS6OIL.PL,D,20190425,000000,4.61,4.61,4.5,4.5,2700,0
RCFS6OIL.PL,D,20190502,000000,5.59,5.59,5.59,5.59,30,0
RCFS6OIL.PL,D,20190506,000000,6.74,6.74,6.74,6.74,30,0
RCFS6OIL.PL,D,20190508,000000,6.42,6.42,6.26,6.26,1546,0
RCFS6OIL.PL,D,20190510,000000,6.08,6.08,6.08,6.08,20,0
RCFS6OIL.PL,D,20190513,000000,5.62,5.62,5.03,5.03,1122,0
RCFS6OIL.PL,D,20190514,000000,6.16,6.16,6.16,6.16,1000,0
RCFS6OIL.PL,D,20190515,000000,5.78,5.78,5.61,5.61,1000,0
RCFS6OIL.PL,D,20190516,000000,5.09,5.09,4.99,4.99,2046,0
RCFS6OIL.PL,D,20190521,000000,5.41,5.41,5.4,5.4,3200,0
RCFS6OIL.PL,D,20190523,000000,6.16,7.05,6.16,7.05,498,0
RCFS6OIL.PL,D,20190524,000000,6.73,6.81,6.66,6.66,25158,0
RCFS6OIL.PL,D,20190529,000000,6.58,6.88,6.58,6.88,513,0
RCFS6OIL.PL,D,20190530,000000,6.11,6.11,6.11,6.11,353,0
RCFS6OIL.PL,D,20190531,000000,8.17,8.78,8.17,8.78,275,0
RCFS6OIL.PL,D,20190603,000000,10.73,11.01,9.44,9.8,3596,0
RCFS6OIL.PL,D,20190614,000000,9.62,9.62,9.62,9.62,500,0
RCFS6OIL.PL,D,20190617,000000,9.53,9.64,9.23,9.32,15819,0
RCFS6OIL.PL,D,20190618,000000,10.41,10.55,10.07,10.07,15826,0
RCFS6OIL.PL,D,20190621,000000,6.87,6.87,6.18,6.18,36702,0
RCFS6OIL.PL,D,20190625,000000,6.89,6.89,6.44,6.5,3401,0
RCFS6OIL.PL,D,20190626,000000,5.83,5.83,5.6,5.61,2253,0
RCFS6OIL.PL,D,20190627,000000,5.8,5.8,5.8,5.8,200,0
RCFS6OIL.PL,D,20190701,000000,5.15,5.15,5.13,5.13,287,0
RCFS6OIL.PL,D,20190702,000000,6.26,6.26,6.26,6.26,2000,0
RCFS6OIL.PL,D,20190703,000000,7.36,7.45,6.99,6.99,3811,0
RCFS6OIL.PL,D,20190710,000000,5.7,5.7,5.7,5.7,5000,0
RCFS6OIL.PL,D,20190711,000000,4.5,4.65,4.35,4.65,1060,0
RCFS6OIL.PL,D,20190712,000000,4.62,4.62,4.62,4.62,400,0
RCFS6OIL.PL,D,20190715,000000,4.67,4.67,4.67,4.67,300,0
RCFS6OIL.PL,D,20190716,000000,4.69,4.69,4.68,4.68,15924,0
RCFS6OIL.PL,D,20190717,000000,5.4,5.4,5.4,5.4,300,0
RCFS6OIL.PL,D,20190718,000000,6.02,6.55,6.02,6.55,44509,0
RCFS6OIL.PL,D,20190719,000000,6.35,6.35,6.35,6.35,155,0
RCFS6OIL.PL,D,20190722,000000,5.66,6.24,5.66,6.24,10250,0
RCFS6OIL.PL,D,20190723,000000,6.2,6.26,6.15,6.15,12950,0
RCFS6OIL.PL,D,20190724,000000,5.85,5.85,5.58,5.58,67839,0
RCFS6OIL.PL,D,20190725,000000,5.94,5.94,5.67,5.94,25788,0
RCFS6OIL.PL,D,20190726,000000,5.99,6.21,5.99,6.21,12688,0
RCFS6OIL.PL,D,20190730,000000,5.8,5.83,5.79,5.79,15289,0
RCFS6OIL.PL,D,20190731,000000,5.08,5.18,5.07,5.07,1309,0
RCFS6OIL.PL,D,20190801,000000,5.71,5.71,5.71,5.71,10937,0
RCFS6OIL.PL,D,20190802,000000,6.51,6.56,5.9,6.1,28111,0
RCFS6OIL.PL,D,20190805,000000,6.88,6.88,6.64,6.88,68534,0
RCFS6OIL.PL,D,20190806,000000,7.5,7.5,7.3,7.3,10671,0
RCFS6OIL.PL,D,20190807,000000,8.61,8.61,8.61,8.61,500,0
RCFS6OIL.PL,D,20190808,000000,9.24,10,9.15,9.17,3074,0
RCFS6OIL.PL,D,20190809,000000,8.8,8.8,7.8,7.8,914,0
RCFS6OIL.PL,D,20190812,000000,8.6,8.6,7.98,7.98,214,0
RCFS6OIL.PL,D,20190813,000000,6.5,6.5,6.5,6.5,14,0
RCFS6OIL.PL,D,20190814,000000,6.44,6.9,6.44,6.9,10000,0
RCFS6OIL.PL,D,20190816,000000,7.85,7.85,7.85,7.85,20000,0
RCFS6OIL.PL,D,20190820,000000,7,7,7,7,2800,0
RCFS6OIL.PL,D,20190821,000000,6.13,6.13,6.13,6.13,111,0
RCFS6OIL.PL,D,20190822,000000,6.65,6.65,6.65,6.65,111,0
RCFS6OIL.PL,D,20190827,000000,7.25,7.25,7.25,7.25,220,0
RCFS6OIL.PL,D,20190828,000000,6.05,6.05,6.03,6.03,23020,0
RCFS6OIL.PL,D,20190904,000000,6.8,6.8,6.8,6.8,541,0
RCFS6OIL.PL,D,20190906,000000,5.89,5.89,5.89,5.89,250,0
RCFS6OIL.PL,D,20190910,000000,4.24,4.24,4.22,4.24,30857,0
RCFS6OIL.PL,D,20190911,000000,4.42,4.42,4.42,4.42,4509,0
RCFS6OIL.PL,D,20190912,000000,5.16,5.18,5.16,5.18,31398,0
RCFS6OIL.PL,D,20190916,000000,1.6,1.62,1.4,1.5,358904,0
RCFS6OIL.PL,D,20190917,000000,1.24,1.57,1.2,1.57,9290,0
RCFS6OIL.PL,D,20190918,000000,1.63,1.72,1.61,1.72,147876,0
RCFS6OIL.PL,D,20190919,000000,1.72,1.72,1.48,1.58,166682,0
RCFS6OIL.PL,D,20190923,000000,1.7,1.7,1.7,1.7,777,0
RCFS6OIL.PL,D,20190925,000000,1.95,2.02,1.95,2.02,150655,0
RCFS6OIL.PL,D,20191001,000000,2.26,2.26,2.18,2.2,200171,0
RCFS6OIL.PL,D,20191007,000000,2.25,2.25,2.25,2.25,175321,0
RCFS6OIL.PL,D,20191008,000000,2.52,2.57,2.52,2.57,175321,0
RCFS6OIL.PL,D,20191011,000000,2.07,2.07,2.06,2.06,140000,0
RCFS6OIL.PL,D,20191014,000000,2.2,2.21,2.2,2.21,140000,0
RCFS6OIL.PL,D,20191015,000000,2.18,2.18,2.18,2.18,140000,0
RCFS6OIL.PL,D,20191016,000000,2.28,2.28,2.28,2.28,140000,0
RCFS6OIL.PL,D,20191017,000000,2.24,2.24,2.24,2.24,200,0
RCFS6OIL.PL,D,20191022,000000,2.16,2.16,2.16,2.16,140000,0
RCFS6OIL.PL,D,20191024,000000,1.74,1.74,1.73,1.73,263883,0
RCFS6OIL.PL,D,20191028,000000,1.65,1.65,1.65,1.65,500,0
RCFS6OIL.PL,D,20191029,000000,1.8,1.8,1.8,1.8,1500,0
RCFS6OIL.PL,D,20191031,000000,1.85,1.87,1.85,1.87,253233,0
RCFS6OIL.PL,D,20191104,000000,1.45,1.45,1.43,1.43,327657,0
RCFS6OIL.PL,D,20191108,000000,1.6,1.6,1.6,1.6,1500,0
RCFS6OIL.PL,D,20191112,000000,1.45,1.45,1.45,1.45,1000,0
RCFS6OIL.PL,D,20191114,000000,1.44,1.44,1.44,1.44,1000,0
RCFS6OIL.PL,D,20191120,000000,1.65,1.65,1.65,1.65,2000,0
RCFS6OIL.PL,D,20191121,000000,1.39,1.39,1.3,1.3,5001,0
RCFS6OIL.PL,D,20191122,000000,1.23,1.23,1.2,1.2,1665,0
RCFS6OIL.PL,D,20191204,000000,1.15,1.15,1.13,1.13,2850,0
RCFS6OIL.PL,D,20191205,000000,1.08,1.08,1.08,1.08,1000,0
RCFS6OIL.PL,D,20191206,000000,1,1,1,1,1000,0
