<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFS8SILVE.PL,D,20190813,000000,3.77,4.97,3.77,4.97,482,0
RCFS8SILVE.PL,D,20190829,000000,2.23,2.23,2.23,2.23,544,0
RCFS8SILVE.PL,D,20190903,000000,2.2,2.2,2.2,2.2,544,0
RCFS8SILVE.PL,D,20190905,000000,1.31,1.71,1.31,1.71,4000,0
RCFS8SILVE.PL,D,20190906,000000,2.03,2.2,1.8,1.8,2212,0
RCFS8SILVE.PL,D,20190909,000000,2.02,2.02,2.02,2.02,269,0
RCFS8SILVE.PL,D,20190910,000000,2.27,2.27,2.27,2.27,981,0
RCFS8SILVE.PL,D,20190912,000000,2.05,2.05,2.05,2.05,986,0
RCFS8SILVE.PL,D,20190913,000000,2.06,2.06,2.06,2.06,986,0
RCFS8SILVE.PL,D,20190926,000000,1.91,1.91,1.91,1.91,393,0
RCFS8SILVE.PL,D,20190930,000000,2.41,2.41,2.41,2.41,393,0
RCFS8SILVE.PL,D,20191001,000000,2.75,2.75,2.75,2.75,1850,0
RCFS8SILVE.PL,D,20191010,000000,1.88,1.88,1.88,1.88,300,0
RCFS8SILVE.PL,D,20191011,000000,1.92,1.92,1.92,1.92,300,0
RCFS8SILVE.PL,D,20191014,000000,1.95,1.95,1.95,1.95,1850,0
RCFS8SILVE.PL,D,20191106,000000,2,2,2,2,150,0
RCFS8SILVE.PL,D,20191108,000000,2.6,2.6,2.6,2.6,150,0
RCFS8SILVE.PL,D,20200219,000000,1.09,1.09,1.09,1.09,1000,0
RCFS8SILVE.PL,D,20200220,000000,1.1,1.1,1.1,1.1,1000,0
RCFS8SILVE.PL,D,20200221,000000,0.96,1.01,0.96,1.01,2000,0
RCFS8SILVE.PL,D,20200224,000000,0.92,0.92,0.9,0.9,2000,0
RCFS8SILVE.PL,D,20200225,000000,1.05,1.05,1.05,1.05,17530,0
RCFS8SILVE.PL,D,20200226,000000,1.08,1.22,1.08,1.22,3000,0
RCFS8SILVE.PL,D,20200227,000000,1.15,1.15,1.15,1.15,1000,0
RCFS8SILVE.PL,D,20200312,000000,2.47,2.47,2.47,2.47,17530,0
